id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_211653,14,0,2,5,0,7232,6,"[1, 1, 1, 1]","[-26, -26, -26, -26]"
20171012_211653,14,2,2,0,2,0,7,"[0, 1, 1, 1]","[999, -15, -20, -20]"
20171012_211653,14,0,4,0,2,0,7,"[0, 1, 1, 1]","[999, -7, -28, -28]"
20171012_211653,14,4,4,0,1,4,5,"[0, 1, 1, 1]","[999, -19, -12, 88]"
20171012_211653,13,6,4,0,0,8,5,"[1, 1, 1, 1]","[-14, -14, -1, 99]"
20171012_211653,13,1,4,0,2,8,6,"[1, 1, 1, 1]","[-10, -6, -21, -21]"
20171012_211653,13,6,8,5,2,8,6,"[1, 1, 1, 1]","[90, -2, -17, -1]"
20171012_211653,12,9,8,0,2,20,5,"[1, 1, 1, 1]","[9, 9, -2, 14]"
20171012_211653,11,5,8,0,0,28,5,"[1, 1, 1, 1]","[-6, 90, -3, 1]"
20171012_211653,12,3,16,0,0,28,4,"[1, 1, 1, 1]","[-3, 93, 2, 90]"
20171012_211653,11,5,16,0,0,44,4,"[1, 1, 1, 1]","[1, 89, 5, 101]"
20171012_211653,11,3,16,0,2,44,6,"[1, 1, 1, 1]","[1, 93, -7, 89]"
20171012_211653,11,6,16,0,0,48,4,"[1, 1, 1, 1]","[2, 110, 3, 103]"
20171012_211653,11,3,16,0,2,52,5,"[0, 1, 1, 1]","[999, 95, -5, 91]"
20171012_211653,11,8,16,0,2,52,4,"[0, 1, 1, 1]","[999, 110, 9, 113]"
20171012_211653,10,1,16,0,0,64,3,"[1, 1, 1, 1]","[4, 108, 18, 86]"
20171012_211653,10,4,16,0,2,72,3,"[1, 1, 1, 1]","[12, 116, 0, 100]"
20171012_211653,10,6,16,0,0,72,4,"[1, 1, 1, 1]","[6, 106, 8, 108]"
20171012_211653,9,3,16,0,0,76,4,"[1, 1, 1, 1]","[-2, 98, 3, 95]"
20171012_211653,9,7,16,0,0,80,3,"[1, 1, 1, 1]","[4, 104, 13, 113]"
