id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171014_150352,14,5,4,5,0,4812,6,"[1, 1, 1, 1]","[98.25830429732869, 98.25830429732869, 98.25830429732869, 98.25830429732869]"
20171014_150352,13,5,4,5,2,0,6,"[1, 1, 1, 1]","[98.3493612078978, 98.30058072009291, -1.6018583042973287, -1.6018583042973287]"
20171014_150352,12,4,4,0,1,0,6,"[1, 1, 0, 1]","[98.27619047619048, -1.723809523809524, 9999, 98.63205574912892]"
20171014_150352,12,1,4,0,1,0,6,"[1, 1, 1, 1]","[98.37375145180023, -1.6506387921022068, -1.6506387921022068, 98.37375145180023]"
20171014_150352,12,5,8,0,2,4,5,"[1, 1, 1, 1]","[98.5588850174216, -1.4167247386759583, -1.4655052264808361, 98.53449477351916]"
20171014_150352,11,3,8,0,1,12,5,"[1, 1, 0, 1]","[98.53449477351916, -1.4167247386759583, 9999, 98.74401858304297]"
20171014_150352,11,3,8,0,2,12,6,"[1, 0, 1, 1]","[98.71962833914054, 9999, -1.608362369337979, 98.36724738675959]"
20171014_150352,11,3,8,0,2,16,5,"[1, 0, 1, 1]","[98.76840882694542, 9999, -1.4655052264808361, 98.53449477351916]"
20171014_150352,11,1,8,0,1,20,6,"[1, 1, 1, 1]","[98.39163763066202, -1.657142857142857, -1.2982578397212543, 98.70174216027874]"
20171014_150352,11,2,8,0,1,28,5,"[1, 1, 1, 1]","[98.53449477351916, -1.4655052264808361, -1.4411149825783973, 98.60766550522648]"
20171014_150352,11,4,8,0,1,32,5,"[1, 1, 1, 1]","[98.60766550522648, -1.3679442508710802, -1.3679442508710802, 98.70522648083623]"
20171014_150352,11,10,16,0,2,40,5,"[1, 1, 1, 1]","[98.8171893147503, -1.2072009291521486, -1.3679442508710802, 98.58327526132405]"
20171014_150352,11,10,16,0,2,56,5,"[1, 1, 1, 1]","[98.79279907084785, -1.2072009291521486, -1.3012775842044135, 98.62555168408826]"
20171014_150352,10,8,16,0,1,60,4,"[1, 1, 0, 1]","[98.85946573751451, -1.0673635307781648, 9999, 98.88385598141696]"
20171014_150352,9,9,16,0,1,60,3,"[1, 1, 1, 1]","[99.06898954703833, -0.9066202090592335, -0.8822299651567944, 99.04459930313588]"
20171014_150352,8,3,16,0,2,60,4,"[1, 1, 1, 1]","[99.1177700348432, -0.9554006968641114, -1.140534262485482, 98.9082462253194]"
20171014_150352,9,5,16,0,3,60,4,"[1, 1, 0, 1]","[98.9082462253194, -1.0673635307781648, 9999, -1.0982578397212543]"
20171014_150352,8,4,16,0,1,68,4,"[1, 1, 1, 0]","[98.85946573751451, -1.18931475029036, -0.9096399535423925, 9999]"
20171014_150352,9,1,16,0,2,68,5,"[1, 1, 1, 1]","[98.8171893147503, -1.2559814169570265, -1.3077816492450638, 98.6678281068525]"
20171014_150352,9,5,16,0,1,80,4,"[1, 1, 1, 1]","[98.7862950058072, -1.18931475029036, -1.164924506387921, 98.85946573751451]"
20171014_150352,9,4,16,0,2,96,4,"[1, 1, 1, 1]","[98.85296167247387, -1.0982578397212543, -1.1096399535423924, 98.91475029036005]"
20171014_150352,10,12,32,0,1,100,4,"[1, 1, 1, 1]","[98.85946573751451, -1.0185830429732867, -0.9488966318234611, 99.07549361207897]"
20171014_150352,9,11,32,0,1,140,4,"[1, 1, 1, 1]","[98.88385598141696, -1.0673635307781648, -0.8578397212543554, 99.09337979094077]"
20171014_150352,9,11,32,0,1,140,4,"[1, 1, 1, 1]","[98.85946573751451, -1.116144018583043, -1.0429732868757258, 98.9082462253194]"
20171014_150352,9,5,32,0,2,144,5,"[1, 1, 1, 1]","[98.84157955865273, -1.1584204413472705, -1.3500580720092916, 98.64994192799071]"
20171014_150352,10,6,32,0,1,148,4,"[1, 1, 1, 1]","[98.96353077816492, -1.1096399535423924, -1.1096399535423924, 98.96353077816492]"
20171014_150352,10,10,32,0,1,164,4,"[1, 1, 1, 1]","[98.93914053426249, -1.1096399535423924, -0.9488966318234611, 99.05110336817654]"
20171014_150352,10,8,32,0,2,180,4,"[1, 0, 1, 1]","[99.03019744483159, 9999, -0.9941927990708478, 98.85946573751451]"
20171014_150352,9,12,32,0,2,184,4,"[1, 1, 1, 1]","[98.95052264808362, -1.0006968641114982, -1.0429732868757258, 98.9082462253194]"
20171014_150352,9,6,32,0,2,184,4,"[1, 0, 1, 1]","[99.06898954703833, 9999, -1.0917537746806039, 98.93263646922183]"
20171014_150352,9,8,32,0,1,188,5,"[1, 1, 1, 1]","[98.71660859465737, -1.2833914053426247, -1.0738675958188153, 98.90174216027874]"
20171014_150352,9,4,32,0,1,196,5,"[1, 1, 1, 1]","[98.71660859465737, -1.2833914053426247, -1.0185830429732867, 98.81068524970964]"
20171014_150352,9,6,32,0,1,212,4,"[1, 1, 1, 1]","[98.98141695702671, -1.0429732868757258, -0.8822299651567944, 99.1177700348432]"
20171014_150352,9,10,32,0,3,216,4,"[1, 1, 0, 1]","[99.09337979094077, -0.7846689895470382, 9999, -1.0250871080139372]"
20171014_150352,8,10,32,0,3,224,3,"[1, 1, 1, 1]","[99.14216027874565, -0.8334494773519163, -0.7667828106852497, -0.8643437862950057]"
20171014_150352,7,6,32,0,1,224,4,"[1, 1, 1, 1]","[99.02369337979094, -1.0250871080139372, -0.7180023228803716, -0.8399535423925668]"
20171014_150352,8,8,32,0,1,224,3,"[1, 1, 1, 1]","[99.3616724738676, -0.8578397212543554, -0.7667828106852497, -0.7667828106852497]"
20171014_150352,8,5,32,0,2,232,4,"[1, 1, 1, 1]","[99.28850174216028, -0.8578397212543554, -1.1470383275261322, 98.90174216027874]"
20171014_150352,8,3,32,0,2,240,4,"[1, 1, 1, 1]","[99.10336817653891, -1.116144018583043, -1.18931475029036, 98.88385598141696]"
20171014_150352,9,3,32,0,1,256,5,"[1, 1, 1, 1]","[98.6678281068525, -1.3321718931475028, -0.9941927990708478, 98.93263646922183]"
20171014_150352,9,4,32,0,1,292,4,"[1, 1, 1, 1]","[98.98141695702671, -1.0917537746806039, -1.0185830429732867, 99.00580720092915]"
20171014_150352,9,6,32,0,2,296,4,"[1, 0, 1, 1]","[99.16655052264808, 9999, -1.0185830429732867, 99.00580720092915]"
20171014_150352,9,11,64,0,1,304,4,"[1, 1, 1, 1]","[99.03019744483159, -1.0673635307781648, -1.0429732868757258, 99.00580720092915]"
20171014_150352,9,8,64,0,2,368,4,"[1, 0, 1, 1]","[99.04808362369339, 9999, -0.9941927990708478, 98.9082462253194]"
20171014_150352,9,14,64,0,1,372,3,"[1, 1, 1, 1]","[99.1177700348432, -0.8334494773519163, -0.8334494773519163, 99.1177700348432]"
20171014_150352,8,10,64,0,2,380,3,"[1, 1, 1, 1]","[99.16655052264808, -0.7846689895470382, -0.8578397212543554, 99.09337979094077]"
20171014_150352,8,9,64,0,1,380,3,"[1, 1, 1, 1]","[99.14216027874565, -0.8090592334494773, -0.8090592334494773, 99.14216027874565]"
20171014_150352,8,11,64,0,1,384,3,"[1, 1, 1, 1]","[99.18443670150987, -0.7180023228803716, -0.7180023228803716, -0.7180023228803716]"
20171014_150352,7,9,64,0,1,388,3,"[1, 1, 1, 1]","[99.18443670150987, -0.7667828106852497, -0.6269454123112659, -0.7488966318234611]"
20171014_150352,7,12,64,0,1,388,3,"[1, 1, 1, 1]","[99.14216027874565, -0.8578397212543554, -0.675725900116144, -0.675725900116144]"
20171014_150352,8,8,64,0,2,392,4,"[1, 0, 1, 1]","[99.42485481997677, 9999, -1.0006968641114982, 99.04808362369339]"
20171014_150352,8,8,64,0,1,404,4,"[1, 1, 1, 1]","[98.9082462253194, -1.0429732868757258, -0.7667828106852497, 99.23321718931476]"
20171014_150352,9,7,64,0,3,420,4,"[1, 0, 0, 1]","[99.14216027874565, 9999, 9999, -1.0494773519163763]"
20171014_150352,8,6,64,0,1,456,3,"[1, 1, 1, 0]","[99.19094076655053, -0.8822299651567944, -0.7667828106852497, 9999]"
20171014_150352,8,8,64,0,2,456,3,"[1, 1, 1, 1]","[99.47711962833914, -0.7667828106852497, -0.8822299651567944, -0.8578397212543554]"
20171014_150352,8,6,64,0,2,464,3,"[1, 1, 1, 1]","[99.16655052264808, -0.7846689895470382, -0.8334494773519163, -0.8334494773519163]"
20171014_150352,8,10,64,0,1,480,3,"[1, 1, 1, 1]","[-0.8090592334494773, -0.8822299651567944, -0.7423925667828106, -0.7667828106852497]"
20171014_150352,8,5,64,0,2,484,3,"[1, 1, 1, 1]","[-0.7667828106852497, -0.7667828106852497, -0.9488966318234611, 99.00232288037166]"
20171014_150352,9,8,64,0,1,488,3,"[1, 1, 1, 1]","[99.1486643437863, -0.900116144018583, -0.8578397212543554, 99.14216027874565]"
20171014_150352,9,10,64,0,3,500,4,"[1, 1, 0, 1]","[99.2397212543554, -0.7846689895470382, 9999, -0.8543554006968641]"
20171014_150352,8,15,64,0,2,508,4,"[1, 1, 1, 1]","[99.43484320557491, -0.7114982578397212, -0.7876887340301975, -0.7389082462253194]"
20171014_150352,7,11,64,0,3,508,3,"[1, 1, 1, 1]","[99.4492450638792, -0.5507549361207897, -0.5293844367015099, -0.7245063879210221]"
20171014_150352,6,11,64,0,1,508,3,"[1, 1, 1, 1]","[99.27549361207898, -0.7245063879210221, -0.4905923344947735, -0.5637630662020906]"
20171014_150352,6,9,64,0,2,508,2,"[1, 0, 1, 1]","[99.3177700348432, 9999, -0.4840882694541231, -0.4596980255516841]"
20171014_150352,6,12,64,0,3,512,2,"[1, 0, 0, 1]","[-0.3686411149825784, 9999, 9999, -0.41742160278745644]"
20171014_150352,5,10,64,0,3,516,2,"[1, 0, 1, 1]","[99.69802555168408, 9999, -0.41742160278745644, -0.46620209059233453]"
20171014_150352,5,13,64,0,1,516,2,"[1, 1, 1, 1]","[99.50940766550522, -0.4905923344947735, -0.20789779326364688, -0.25667828106852497]"
20171014_150352,5,9,64,0,2,520,2,"[1, 0, 1, 1]","[99.6492450638792, 9999, -0.39303135888501745, -0.39303135888501745]"
20171014_150352,5,12,64,0,1,528,2,"[1, 1, 0, 1]","[-0.13124274099883854, -0.3019744483159117, 9999, -0.3019744483159117]"
20171014_150352,4,15,64,0,3,544,2,"[1, 1, 1, 1]","[-0.18002322880371657, -0.35075493612078973, -0.2840882694541231, -0.3816492450638792]"
20171014_150352,3,8,64,0,1,544,2,"[1, 1, 1, 0]","[99.81649245063879, -0.3751451800232288, -0.02578397212543554, 9999]"
20171014_150352,4,13,64,0,1,544,2,"[1, 1, 1, 1]","[99.55168408826945, -0.35075493612078973, -0.26318234610917535, -0.1900116144018583]"
20171014_150352,4,12,64,0,2,580,2,"[1, 1, 1, 1]","[99.5760743321719, -0.3751451800232288, -0.46620209059233453, 99.50940766550522]"
20171014_150352,5,13,64,0,1,588,3,"[1, 1, 1, 1]","[99.25110336817654, -0.675725900116144, -0.3751451800232288, 99.6492450638792]"
20171014_150352,6,17,64,0,1,608,2,"[1, 1, 1, 1]","[99.467131242741, -0.5572590011614402, -0.4905923344947735, -0.3686411149825784]"
20171014_150352,6,7,64,0,3,620,3,"[1, 1, 1, 1]","[99.467131242741, -0.6060394889663182, -0.700116144018583, -0.7245063879210221]"
20171014_150352,6,9,64,0,1,628,3,"[1, 1, 1, 0]","[99.23321718931476, -0.6448315911730546, -0.41742160278745644, 9999]"
20171014_150352,7,12,64,0,2,644,3,"[1, 0, 1, 1]","[99.44622531939605, 9999, -0.7423925667828106, 99.30638792102206]"
20171014_150352,7,10,64,0,2,680,3,"[1, 0, 1, 1]","[-0.5293844367015099, 9999, -0.5960511033681766, 99.35516840882694]"
20171014_150352,7,14,128,0,0,744,3,"[1, 1, 1, 1]","[-0.675725900116144, -0.4806039488966318, -0.6692218350754936, 99.37955865272939]"
20171014_150352,6,9,128,0,2,872,4,"[0, 1, 1, 1]","[9999, -0.3686411149825784, -0.8787456445993032, 99.14564459930314]"
20171014_150352,8,14,128,0,0,872,3,"[1, 1, 1, 1]","[-0.6204413472706155, -0.5472706155632985, -0.6204413472706155, 99.33077816492451]"
20171014_150352,7,16,128,0,2,888,4,"[1, 1, 1, 1]","[-0.5960511033681766, -0.5228803716608594, -0.8852497096399535, 99.11475029036005]"
20171014_150352,7,11,128,0,2,888,4,"[1, 1, 1, 1]","[-0.7180023228803716, -0.5472706155632985, -0.9763066202090591, 99.09686411149826]"
20171014_150352,8,9,128,0,2,892,4,"[1, 1, 1, 1]","[99.21533101045296, -0.8578397212543554, -1.0250871080139372, 99.02369337979094]"
20171014_150352,8,6,128,0,1,904,4,"[1, 1, 1, 1]","[99.00580720092915, -1.0429732868757258, -0.9763066202090591, 99.07247386759582]"
20171014_150352,9,10,128,0,1,912,4,"[1, 1, 1, 1]","[99.05458768873403, -1.0917537746806039, -0.9275261324041811, 99.1212543554007]"
20171014_150352,9,8,128,0,2,932,4,"[1, 0, 1, 1]","[-0.8299651567944251, 9999, -0.9941927990708478, 99.03019744483159]"
20171014_150352,9,12,128,0,2,936,4,"[1, 1, 1, 1]","[-0.9275261324041811, -0.8787456445993032, -1.0185830429732867, 98.98141695702671]"
20171014_150352,9,11,128,0,0,944,4,"[1, 0, 0, 1]","[-0.9275261324041811, 9999, 9999, 99.07247386759582]"
20171014_150352,8,12,128,0,0,948,3,"[1, 1, 1, 1]","[-0.6692218350754936, -0.6448315911730546, -0.6692218350754936, 99.28199767711963]"
20171014_150352,7,16,128,0,2,948,4,"[1, 1, 1, 1]","[-0.5328687572590012, -0.4840882694541231, -0.8608594657375145, 99.13914053426248]"
20171014_150352,7,12,128,0,2,948,3,"[1, 1, 1, 1]","[-0.602555168408827, -0.602555168408827, -0.6936120789779325, 99.25760743321719]"
20171014_150352,7,9,128,0,1,952,4,"[1, 1, 0, 1]","[99.07247386759582, -1.0006968641114982, 9999, 99.51591173054588]"
20171014_150352,8,6,128,0,2,960,4,"[1, 1, 1, 1]","[99.1177700348432, -0.8090592334494773, -0.9519163763066202, 99.04808362369339]"
20171014_150352,8,12,128,0,1,980,4,"[1, 1, 0, 1]","[98.95052264808362, -0.9031358885017421, 9999, 99.33077816492451]"
20171014_150352,8,15,128,0,1,988,3,"[1, 1, 1, 1]","[99.35516840882694, -0.6448315911730546, -0.5995354239256678, 99.52241579558653]"
20171014_150352,7,17,128,0,2,1020,2,"[1, 0, 1, 1]","[99.3486643437863, 9999, -0.4840882694541231, 99.63786295005808]"
20171014_150352,6,13,128,0,1,1020,2,"[1, 1, 0, 1]","[99.56469221835076, -0.36213704994192797, 9999, -0.22229965156794423]"
20171014_150352,6,21,128,0,1,1020,2,"[1, 1, 1, 1]","[99.60696864111499, -0.34425087108013935, -0.31986062717770036, -0.2954703832752613]"
20171014_150352,5,16,128,0,2,1024,3,"[1, 1, 1, 1]","[99.93844367015099, -0.1103368176538908, -0.5358885017421603, -0.4139372822299652]"
20171014_150352,5,16,128,0,0,1024,2,"[1, 1, 1, 1]","[-0.43530778164924505, -0.36213704994192797, -0.31986062717770036, -0.2954703832752613]"
20171014_150352,6,17,128,0,2,1032,3,"[1, 1, 1, 1]","[-0.31986062717770036, -0.41742160278745644, -0.5602787456445992, 99.4397212543554]"
20171014_150352,5,13,128,0,2,1052,3,"[1, 1, 1, 1]","[-0.39303135888501745, -0.34425087108013935, -0.5114982578397212, 99.48850174216028]"
20171014_150352,5,15,128,0,2,1052,3,"[1, 1, 1, 1]","[-0.3019744483159117, -0.2288037166085946, -0.5602787456445992, 99.4397212543554]"
20171014_150352,5,13,128,0,0,1056,3,"[1, 1, 1, 1]","[-0.5846689895470383, -0.5602787456445992, -0.32636469221835074, 99.7711962833914]"
20171014_150352,5,12,128,0,1,1060,3,"[1, 1, 1, 1]","[-0.675725900116144, -0.7976771196283391, -0.27758420441347265, 99.7711962833914]"
20171014_150352,6,3,128,0,2,1068,3,"[1, 1, 1, 1]","[-0.5572590011614402, -0.6060394889663182, -0.7846689895470382, 99.06898954703833]"
20171014_150352,8,9,128,0,1,1088,3,"[1, 1, 0, 1]","[99.19094076655053, -0.7602787456445992, 9999, 99.20882694541231]"
20171014_150352,8,12,128,0,1,1188,4,"[1, 1, 1, 1]","[98.95052264808362, -0.9763066202090591, -0.6448315911730546, 99.18443670150987]"
20171014_150352,8,9,128,0,1,1196,4,"[1, 1, 0, 1]","[98.95052264808362, -0.9031358885017421, 9999, 99.20882694541231]"
20171014_150352,8,12,128,0,0,1200,4,"[1, 0, 0, 1]","[-0.8120789779326365, 9999, 9999, 99.47363530778165]"
20171014_150352,7,11,128,0,2,1208,2,"[0, 1, 1, 1]","[9999, -0.5781649245063879, -0.5995354239256678, 99.40046457607433]"
20171014_150352,7,11,128,0,1,1208,3,"[1, 1, 0, 1]","[-0.7180023228803716, -0.7423925667828106, 9999, 99.78420441347271]"
20171014_150352,7,11,128,0,2,1212,3,"[1, 1, 1, 1]","[-0.5049941927990709, -0.6269454123112659, -0.6448315911730546, 99.37955865272939]"
20171014_150352,7,17,128,0,0,1220,3,"[1, 1, 1, 1]","[-0.700116144018583, -0.5293844367015099, -0.6448315911730546, 99.42833914053426]"
20171014_150352,6,6,128,0,2,1236,3,"[1, 1, 1, 1]","[-0.675725900116144, -0.5781649245063879, -0.700116144018583, 99.27549361207898]"
20171014_150352,6,12,128,0,2,1236,3,"[1, 1, 1, 1]","[-0.43530778164924505, -0.43530778164924505, -0.7488966318234611, 99.2267131242741]"
20171014_150352,6,8,128,0,2,1240,3,"[1, 1, 1, 1]","[-0.5084785133565621, -0.43530778164924505, -0.675725900116144, 99.29988385598142]"
20171014_150352,6,9,128,0,1,1244,3,"[1, 1, 1, 1]","[-0.602555168408827, -0.700116144018583, -0.6269454123112659, 99.37305458768873]"
20171014_150352,6,10,128,0,2,1252,3,"[1, 1, 1, 1]","[-0.6513356562137049, -0.6513356562137049, -0.700116144018583, 99.32427409988385]"
20171014_150352,6,6,128,0,2,1256,3,"[1, 1, 1, 1]","[-0.5393728222996516, -0.5393728222996516, -0.7180023228803716, 99.20882694541231]"
20171014_150352,7,14,128,0,1,1260,3,"[1, 1, 1, 1]","[-0.6269454123112659, -0.675725900116144, -0.6269454123112659, 99.29988385598142]"
20171014_150352,6,11,128,0,2,1272,2,"[1, 1, 1, 1]","[-0.4418118466898955, -0.41742160278745644, -0.5816492450638792, 99.54030197444831]"
20171014_150352,6,9,128,0,0,1272,3,"[1, 1, 1, 1]","[-0.7245063879210221, -0.6513356562137049, -0.4905923344947735, 99.58257839721254]"
20171014_150352,6,6,128,0,0,1288,3,"[1, 1, 1, 1]","[-0.7488966318234611, -0.700116144018583, -0.6304297328687573, 99.51591173054588]"
20171014_150352,6,8,128,0,2,1292,3,"[1, 1, 1, 1]","[-0.5084785133565621, -0.4840882694541231, -0.6513356562137049, 99.3486643437863]"
20171014_150352,6,7,128,0,0,1296,3,"[1, 1, 1, 1]","[-0.7245063879210221, -0.675725900116144, -0.6060394889663182, 99.51591173054588]"
20171014_150352,6,9,128,0,2,1304,4,"[1, 1, 1, 1]","[-0.46620209059233453, -0.41742160278745644, -0.9340301974448315, 99.11475029036005]"
20171014_150352,7,10,128,0,2,1312,4,"[1, 1, 1, 1]","[99.40394889663182, -0.6204413472706155, -0.9584204413472706, 99.04157955865273]"
20171014_150352,7,8,128,0,1,1332,3,"[1, 1, 0, 1]","[99.37955865272939, -0.6692218350754936, 9999, 99.37305458768873]"
20171014_150352,7,10,128,0,1,1340,3,"[1, 1, 1, 1]","[99.33077816492451, -0.6936120789779325, -0.6727061556329849, 99.42485481997677]"
20171014_150352,7,13,128,0,2,1372,3,"[1, 1, 1, 1]","[99.44622531939605, -0.602555168408827, -0.7423925667828106, 99.33077816492451]"
20171014_150352,7,15,128,0,1,1376,3,"[1, 1, 1, 1]","[99.16004645760744, -0.8155632984901278, -0.5572590011614402, 99.467131242741]"
20171014_150352,7,9,128,0,2,1440,4,"[1, 1, 1, 1]","[99.26411149825783, -0.7846689895470382, -0.9828106852497096, 99.18792102206736]"
20171014_150352,7,7,128,0,2,1568,3,"[1, 1, 1, 1]","[99.52241579558653, -0.5507549361207897, -0.8155632984901278, 99.50150987224158]"
20171014_150352,7,4,128,0,2,1576,3,"[1, 1, 1, 1]","[99.19094076655053, -0.7846689895470382, -0.8155632984901278, 99.42833914053426]"
20171014_150352,7,4,128,0,1,1592,4,"[1, 1, 1, 1]","[99.07247386759582, -0.9519163763066202, -0.8399535423925668, 99.35516840882694]"
20171014_150352,8,11,256,0,2,1596,3,"[1, 1, 1, 1]","[99.28199767711963, -0.7180023228803716, -0.7602787456445992, 99.19094076655053]"
20171014_150352,8,13,256,0,1,1884,3,"[1, 1, 1, 1]","[99.25760743321719, -0.6692218350754936, -0.6692218350754936, 99.23321718931476]"
20171014_150352,7,13,256,0,0,1888,3,"[1, 0, 0, 1]","[-0.5781649245063879, 9999, 9999, -0.5572590011614402]"
20171014_150352,6,17,256,0,1,1888,3,"[1, 1, 1, 1]","[-0.5293844367015099, -0.6269454123112659, -0.5781649245063879, 99.44622531939605]"
20171014_150352,6,10,256,0,2,1888,3,"[1, 0, 1, 1]","[-0.5358885017421603, 9999, -0.7423925667828106, 99.23321718931476]"
20171014_150352,7,11,256,0,2,1892,3,"[1, 1, 1, 1]","[-0.602555168408827, -0.6269454123112659, -0.7180023228803716, 99.18443670150987]"
20171014_150352,7,14,256,0,2,1904,3,"[1, 1, 1, 1]","[-0.675725900116144, -0.602555168408827, -0.7846689895470382, 99.21533101045296]"
20171014_150352,8,12,256,0,2,1912,3,"[1, 1, 1, 1]","[99.28850174216028, -0.7114982578397212, -0.8090592334494773, 99.14216027874565]"
20171014_150352,8,10,256,0,1,1932,3,"[1, 1, 1, 1]","[99.26411149825783, -0.7602787456445992, -0.7602787456445992, 99.21533101045296]"
20171014_150352,8,13,256,0,2,1936,3,"[1, 1, 1, 1]","[99.52241579558653, -0.5019744483159116, -0.6448315911730546, 99.23321718931476]"
20171014_150352,7,17,256,0,0,1944,3,"[1, 1, 1, 1]","[-0.675725900116144, -0.5537746806039489, -0.6692218350754936, 99.28199767711963]"
20171014_150352,6,10,256,0,2,1944,2,"[0, 1, 1, 1]","[9999, -0.34425087108013935, -0.4596980255516841, 99.29988385598142]"
20171014_150352,6,15,256,0,0,1944,2,"[1, 1, 1, 1]","[-0.41742160278745644, -0.41742160278745644, -0.22578397212543555, 99.82299651567945]"
20171014_150352,5,13,256,0,2,1948,2,"[0, 1, 1, 1]","[9999, -0.25319396051103366, -0.39303135888501745, 99.65574912891987]"
