ai_id,move_count,heuristics_empty_cells_count,heuristics_neighbour_difference,highest_tile,heuristics_highest_tile_in_corner,heuristics_monotonous_row,best_move,score,heuristics_combineable_cells_count,coefficient_0_act,coefficient_1_ndh,coefficient_2_ecc,coefficient_3_htic,coefficient_4_morow
20171018_013556,0,0.93,0.1,2,0.0,16,0,0,0.0,-1,3,-1,3,-1
20171018_013556,1,0.93,0.12,4,0.0,1,2,0,0.0,-1,3,-1,3,-1
20171018_013556,2,0.87,0.02,4,0.0,0,2,0,0.0,-1,3,-1,3,-1
20171018_013556,3,0.87,0.05,4,0.0,1,0,4,0.14,-1,3,-1,3,-1
20171018_013556,4,0.87,0.1,8,0.0,1,0,4,0.0,-1,3,-1,3,-1
20171018_013556,5,0.87,0.1,8,0.0,1,2,8,0.0,-1,3,-1,3,-1
20171018_013556,6,0.8,0.12,8,0.0,1,0,16,0.0,-1,3,-1,3,-1
20171018_013556,7,0.8,0.07,8,0.0,1,0,20,0.0,-1,3,-1,3,-1
20171018_013556,8,0.8,0.0,8,0.0,1,2,20,0.14,-1,3,-1,3,-1
20171018_013556,9,0.8,0.12,16,0.0,1,2,24,0.0,-1,3,-1,3,-1
20171018_013556,10,0.87,0.15,16,0.0,1,0,32,0.0,-1,3,-1,3,-1
20171018_013556,11,0.8,0.12,16,1.0,0,3,48,0.0,-1,3,-1,3,-1
20171018_013556,12,0.73,0.15,16,0.0,3,2,56,0.0,-1,3,-1,3,-1
20171018_013556,13,0.67,0.12,16,0.0,1,2,56,0.0,-1,3,-1,3,-1
20171018_013556,14,0.67,0.15,16,0.0,1,0,56,0.14,-1,3,-1,3,-1
20171018_013556,15,0.67,0.07,16,0.0,1,2,56,0.14,-1,3,-1,3,-1
20171018_013556,16,0.73,0.07,16,0.0,1,0,60,0.0,-1,3,-1,3,-1
20171018_013556,17,0.73,0.15,16,0.0,1,2,64,0.0,-1,3,-1,3,-1
20171018_013556,18,0.67,0.17,16,0.0,1,0,80,0.0,-1,3,-1,3,-1
20171018_013556,19,0.6,0.12,16,0.0,1,0,84,0.0,-1,3,-1,3,-1
20171018_013556,20,0.53,0.15,16,0.0,1,0,84,0.0,-1,3,-1,3,-1
20171018_013556,21,0.53,0.15,16,0.0,1,0,84,0.14,-1,3,-1,3,-1
20171018_013556,22,0.6,0.15,16,0.0,1,0,84,0.0,-1,3,-1,3,-1
20171018_013556,23,0.67,0.12,16,0.0,1,2,88,0.14,-1,3,-1,3,-1
20171018_013556,24,0.67,0.12,32,0.0,1,2,100,0.0,-1,3,-1,3,-1
20171018_013556,25,0.6,0.15,32,0.0,1,2,120,0.0,-1,3,-1,3,-1
20171018_013556,26,0.6,0.12,32,0.0,0,1,152,0.0,-1,3,-1,3,-1
20171018_013556,27,0.53,0.12,32,0.0,1,1,152,0.0,-1,3,-1,3,-1
20171018_013556,28,0.6,0.15,32,0.0,1,2,160,0.14,-1,3,-1,3,-1
20171018_013556,29,0.6,0.1,32,0.0,1,0,160,0.14,-1,3,-1,3,-1
20171018_013556,30,0.6,0.1,32,0.0,1,2,168,0.0,-1,3,-1,3,-1
20171018_013556,31,0.67,0.05,32,0.0,1,0,176,0.14,-1,3,-1,3,-1
20171018_013556,32,0.67,0.12,32,0.0,1,2,180,0.14,-1,3,-1,3,-1
20171018_013556,33,0.67,0.15,32,0.0,1,2,204,0.0,-1,3,-1,3,-1
20171018_013556,34,0.6,0.2,32,0.0,1,2,212,0.0,-1,3,-1,3,-1
20171018_013556,35,0.6,0.15,32,0.0,1,2,228,0.0,-1,3,-1,3,-1
20171018_013556,36,0.67,0.17,32,0.0,1,0,228,0.0,-1,3,-1,3,-1
20171018_013556,37,0.6,0.15,32,1.0,0,3,232,0.0,-1,3,-1,3,-1
20171018_013556,38,0.53,0.27,32,0.0,1,2,244,0.0,-1,3,-1,3,-1
20171018_013556,39,0.47,0.05,32,0.0,0,1,244,0.0,-1,3,-1,3,-1
20171018_013556,40,0.6,0.15,32,0.0,1,2,244,0.0,-1,3,-1,3,-1
20171018_013556,41,0.6,0.24,64,0.0,1,0,244,0.0,-1,3,-1,3,-1
20171018_013556,42,0.6,0.17,64,0.0,1,2,296,0.0,-1,3,-1,3,-1
20171018_013556,43,0.6,0.15,64,0.0,0,1,360,0.0,-1,3,-1,3,-1
20171018_013556,44,0.6,0.17,64,0.0,1,2,364,0.0,-1,3,-1,3,-1
20171018_013556,45,0.6,0.15,64,0.0,1,2,372,0.14,-1,3,-1,3,-1
20171018_013556,46,0.6,0.2,64,0.0,1,0,376,0.0,-1,3,-1,3,-1
20171018_013556,47,0.53,0.17,64,0.0,1,0,380,0.0,-1,3,-1,3,-1
20171018_013556,48,0.53,0.2,64,0.0,1,2,388,0.14,-1,3,-1,3,-1
20171018_013556,49,0.47,0.15,64,0.0,0,1,388,0.0,-1,3,-1,3,-1
20171018_013556,50,0.53,0.17,64,0.0,1,2,392,0.0,-1,3,-1,3,-1
20171018_013556,51,0.67,0.12,64,0.0,1,0,392,0.14,-1,3,-1,3,-1
20171018_013556,52,0.67,0.15,64,0.0,1,2,416,0.0,-1,3,-1,3,-1
20171018_013556,53,0.67,0.22,64,0.0,1,0,460,0.0,-1,3,-1,3,-1
