id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_221641,14,4,2,0,0,3344,6,"[1, 1, 1, 1]","[16, 66, 16, 66]"
20171012_221641,13,7,4,5,2,0,6,"[1, 1, 1, 1]","[112, 112, 24, 24]"
20171012_221641,13,5,4,0,0,0,6,"[1, 1, 0, 1]","[16, 66, 999, 70]"
20171012_221641,13,6,8,0,0,4,5,"[1, 1, 1, 1]","[8, 58, 24, 124]"
20171012_221641,12,4,8,0,2,12,6,"[0, 1, 1, 1]","[999, 108, 16, 112]"
20171012_221641,12,6,8,0,2,12,6,"[1, 1, 1, 1]","[24, 124, 12, 104]"
20171012_221641,12,5,8,0,0,16,5,"[1, 1, 1, 1]","[20, 112, 20, 112]"
20171012_221641,11,7,8,0,0,20,4,"[1, 1, 1, 1]","[12, 104, 24, 124]"
20171012_221641,10,5,8,0,0,20,4,"[1, 1, 1, 1]","[12, 108, 12, 108]"
20171012_221641,10,2,8,0,0,20,4,"[1, 1, 1, 1]","[8, 104, 16, 104]"
20171012_221641,10,3,8,0,2,24,6,"[0, 1, 1, 1]","[999, 112, 12, 62]"
20171012_221641,10,6,8,0,0,28,4,"[1, 1, 1, 1]","[8, 108, 16, 124]"
20171012_221641,9,3,8,0,2,36,6,"[0, 1, 1, 1]","[999, 120, 8, 8]"
20171012_221641,11,4,16,0,0,36,5,"[1, 1, 1, 1]","[16, 112, 20, 112]"
20171012_221641,10,5,16,0,2,64,4,"[0, 1, 1, 1]","[999, 128, 28, 132]"
20171012_221641,10,5,16,0,0,64,4,"[1, 1, 1, 1]","[24, 124, 36, 104]"
20171012_221641,10,4,16,0,0,72,4,"[1, 1, 0, 1]","[20, 120, 999, 116]"
20171012_221641,10,6,16,0,0,76,4,"[1, 1, 0, 1]","[28, 116, 999, 124]"
20171012_221641,9,9,16,0,0,80,4,"[1, 1, 1, 1]","[20, 112, 32, 120]"
20171012_221641,8,5,16,0,0,80,4,"[1, 1, 1, 1]","[20, 112, 28, 112]"
20171012_221641,8,7,16,0,0,80,4,"[1, 1, 1, 1]","[12, 108, 24, 120]"
20171012_221641,8,3,16,0,2,84,5,"[1, 1, 1, 1]","[20, 108, 16, 66]"
20171012_221641,9,6,16,0,2,92,5,"[0, 1, 1, 1]","[999, 124, 28, 128]"
20171012_221641,9,9,32,0,2,112,4,"[1, 1, 1, 1]","[36, 136, 32, 124]"
20171012_221641,8,10,32,0,1,144,3,"[1, 1, 1, 1]","[40, 24, 24, 132]"
20171012_221641,7,8,32,0,2,144,4,"[1, 1, 1, 1]","[44, 28, 20, 82]"
20171012_221641,9,4,32,0,2,144,4,"[1, 1, 1, 1]","[28, 116, 12, 74]"
