id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_222600,14,0,2,5,0,3144,6,"[1, 1, 1, 1]","[-20, -20, 81, 81]"
20171012_222600,13,2,2,0,0,0,6,"[1, 1, 1, 1]","[-18, -18, -15, 35]"
20171012_222600,13,1,4,5,3,0,6,"[1, 1, 1, 1]","[84, 84, 84, -18]"
20171012_222600,12,3,4,0,0,4,6,"[1, 1, 1, 0]","[-13, 83, 88, 999]"
20171012_222600,12,8,8,0,0,4,5,"[1, 1, 1, 1]","[-13, 85, 85, -13]"
20171012_222600,11,7,8,0,0,12,5,"[1, 1, 1, 1]","[-11, 88, 89, -10]"
20171012_222600,10,7,8,0,3,12,5,"[1, 1, 1, 1]","[-10, 88, 88, -12]"
20171012_222600,10,5,8,0,0,12,5,"[1, 1, 1, 0]","[-14, 88, 93, 999]"
20171012_222600,11,4,8,0,3,16,6,"[0, 1, 1, 1]","[999, 85, 85, -15]"
20171012_222600,11,3,16,0,0,28,6,"[1, 1, 1, 1]","[-13, 85, 87, -12]"
20171012_222600,11,7,16,0,3,44,5,"[0, 1, 1, 1]","[999, 91, 86, -10]"
20171012_222600,10,8,16,0,0,48,5,"[1, 1, 1, 1]","[-13, 87, 90, -6]"
20171012_222600,10,2,16,0,0,48,5,"[1, 1, 1, 1]","[-12, 88, 88, -11]"
20171012_222600,11,7,16,0,0,52,5,"[1, 1, 1, 1]","[-10, 90, 88, -10]"
20171012_222600,10,8,16,0,3,64,4,"[1, 1, 1, 1]","[-7, 91, 90, -8]"
20171012_222600,9,5,16,0,0,64,5,"[1, 1, 1, 0]","[-11, 90, 92, 999]"
20171012_222600,9,3,16,0,0,64,5,"[1, 1, 1, 0]","[-11, 87, 90, 999]"
20171012_222600,10,7,16,0,0,68,4,"[1, 1, 1, 1]","[-8, 92, 89, -7]"
20171012_222600,9,5,16,0,3,80,4,"[1, 1, 1, 1]","[-6, 90, 87, -8]"
20171012_222600,9,5,16,0,0,80,5,"[1, 1, 1, 0]","[-11, 86, 89, 999]"
20171012_222600,9,6,16,0,0,84,4,"[1, 1, 1, 1]","[-10, 38, 89, -8]"
20171012_222600,9,6,16,0,0,92,4,"[1, 1, 1, 0]","[-7, 91, -5, 999]"
20171012_222600,9,6,32,0,0,108,4,"[1, 1, 1, 0]","[-9, 90, -5, 999]"
20171012_222600,9,7,32,0,0,140,4,"[1, 1, 1, 1]","[-11, 89, -5, -5]"
20171012_222600,9,4,32,0,3,144,6,"[0, 1, 1, 1]","[999, 92, 87, -11]"
20171012_222600,10,8,32,0,3,148,5,"[1, 1, 1, 1]","[-6, 90, 92, -8]"
20171012_222600,10,6,32,0,0,164,5,"[1, 1, 1, 1]","[-10, 90, 93, -7]"
20171012_222600,10,8,32,0,3,180,5,"[1, 1, 1, 1]","[-6, 94, 87, -11]"
