id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_224312,14,4,2,5,0,3220,6,"[1, 1, 1, 1]","[2, 2, 86, 86]"
20171012_224312,13,6,2,0,2,0,6,"[1, 1, 1, 1]","[-5, 45, -6, 44]"
20171012_224312,13,4,4,0,2,0,5,"[1, 1, 1, 1]","[3, 103, -9, 41]"
20171012_224312,12,3,4,0,2,4,5,"[1, 1, 1, 1]","[-5, 45, -9, 41]"
20171012_224312,12,0,4,0,2,4,5,"[1, 1, 1, 1]","[11, 95, -13, 37]"
20171012_224312,12,0,4,0,2,8,5,"[1, 1, 1, 1]","[-1, 49, -9, -9]"
20171012_224312,12,3,8,5,0,12,6,"[1, 1, 1, 1]","[-5, -5, 100, 100]"
20171012_224312,12,4,8,0,2,20,5,"[1, 1, 1, 1]","[15, 115, 4, 120]"
20171012_224312,11,6,8,0,2,28,5,"[1, 1, 1, 1]","[24, 108, -3, 89]"
20171012_224312,10,4,8,0,2,28,4,"[1, 1, 1, 1]","[20, 116, -10, 90]"
20171012_224312,9,2,8,0,2,28,4,"[1, 1, 1, 1]","[20, 104, -2, 98]"
20171012_224312,9,2,8,0,2,28,4,"[1, 1, 1, 1]","[13, 113, 6, 106]"
20171012_224312,9,6,8,0,2,32,4,"[1, 1, 1, 1]","[22, 106, -2, 98]"
20171012_224312,9,4,8,0,2,36,4,"[1, 1, 1, 1]","[13, 13, -5, 103]"
20171012_224312,8,3,8,0,2,40,4,"[1, 1, 1, 1]","[5, 5, -4, 96]"
20171012_224312,7,3,8,0,2,40,3,"[1, 1, 1, 1]","[10, 18, 1, 105]"
20171012_224312,6,1,8,0,2,40,3,"[1, 1, 1, 1]","[2, 6, -3, 113]"
20171012_224312,6,3,8,0,2,40,3,"[1, 1, 1, 1]","[6, 6, 1, 113]"
20171012_224312,6,1,8,0,2,44,4,"[1, 1, 1, 1]","[11, 7, 0, 112]"
20171012_224312,7,2,8,0,2,48,4,"[1, 1, 1, 1]","[10, 118, -1, 49]"
20171012_224312,8,1,8,0,2,60,4,"[1, 1, 1, 1]","[14, 98, -7, 43]"
20171012_224312,10,3,16,0,2,76,4,"[1, 1, 1, 1]","[25, 109, -3, 59]"
20171012_224312,10,4,16,0,1,112,6,"[1, 1, 0, 1]","[7, 3, 999, 96]"
20171012_224312,12,7,32,5,0,120,5,"[1, 1, 1, 1]","[-4, 96, 116, 128]"
20171012_224312,11,4,32,0,0,172,4,"[1, 1, 1, 1]","[1, 101, 12, 112]"
20171012_224312,10,5,32,0,0,172,3,"[1, 1, 1, 1]","[10, 106, 21, 133]"
20171012_224312,9,4,32,0,0,172,3,"[1, 1, 1, 1]","[6, 102, 30, 106]"
20171012_224312,9,8,32,0,2,172,3,"[1, 1, 1, 1]","[11, 103, 6, 114]"
20171012_224312,9,6,32,0,2,176,3,"[1, 1, 1, 1]","[18, 114, 14, 122]"
20171012_224312,9,7,32,0,1,184,4,"[0, 1, 1, 1]","[999, 19, 23, 115]"
20171012_224312,8,11,32,0,1,188,4,"[1, 1, 1, 1]","[24, 16, 28, 94]"
20171012_224312,7,7,32,0,2,188,3,"[1, 0, 1, 1]","[21, 999, 16, 82]"
20171012_224312,7,8,32,0,0,188,2,"[1, 1, 1, 1]","[4, 108, 27, 85]"
20171012_224312,7,5,32,0,2,192,4,"[1, 1, 1, 1]","[8, 116, 3, 115]"
20171012_224312,8,2,32,0,0,200,5,"[1, 1, 0, 1]","[5, 55, 999, 108]"
20171012_224312,10,6,32,0,2,220,4,"[1, 1, 1, 1]","[21, 79, 14, 126]"
20171012_224312,9,7,32,0,0,264,4,"[1, 1, 0, 1]","[14, 118, 999, 27]"
20171012_224312,9,8,64,0,0,264,4,"[1, 1, 1, 1]","[22, 126, 34, 26]"
20171012_224312,9,11,64,0,3,328,4,"[1, 1, 1, 1]","[27, 123, 35, 19]"
20171012_224312,8,5,64,0,0,332,3,"[1, 1, 1, 0]","[14, 56, 32, 999]"
20171012_224312,9,5,64,0,2,332,4,"[0, 1, 1, 1]","[999, 85, 13, 105]"
20171012_224312,10,7,64,0,0,344,5,"[1, 1, 0, 1]","[29, 121, 999, 122]"
20171012_224312,10,12,64,0,0,364,4,"[1, 1, 0, 1]","[38, 114, 999, 122]"
20171012_224312,9,14,64,0,0,372,4,"[1, 1, 1, 1]","[27, 115, 31, 111]"
20171012_224312,8,9,64,0,2,372,4,"[1, 1, 1, 1]","[27, 111, 26, 106]"
20171012_224312,9,9,64,0,1,372,4,"[0, 1, 0, 1]","[999, 119, 999, 127]"
20171012_224312,8,8,64,5,0,380,3,"[1, 0, 1, 1]","[24, 999, 111, 115]"
20171012_224312,7,10,64,0,0,380,3,"[1, 1, 1, 1]","[16, 112, 28, 128]"
20171012_224312,7,8,64,0,2,380,3,"[1, 1, 1, 1]","[28, 124, 15, 111]"
20171012_224312,8,8,64,0,2,384,3,"[1, 1, 1, 1]","[24, 28, 14, 110]"
20171012_224312,9,8,64,0,2,400,3,"[1, 1, 1, 1]","[22, 126, 19, 123]"
20171012_224312,8,9,64,0,2,420,3,"[1, 1, 1, 1]","[31, 127, 15, 111]"
20171012_224312,8,8,64,0,2,420,3,"[1, 1, 1, 1]","[31, 119, 23, 123]"
20171012_224312,8,10,64,0,2,424,3,"[1, 1, 1, 1]","[36, 36, 20, 120]"
20171012_224312,7,11,64,0,1,432,4,"[1, 1, 1, 1]","[28, 20, 21, 113]"
20171012_224312,7,11,64,0,1,432,3,"[1, 1, 1, 1]","[37, 17, 28, 66]"
20171012_224312,6,8,64,0,2,436,3,"[1, 1, 1, 1]","[38, 26, 24, 148]"
20171012_224312,7,11,64,0,0,436,3,"[1, 1, 1, 1]","[24, 120, 25, 125]"
20171012_224312,7,9,64,0,2,448,4,"[1, 1, 1, 1]","[32, 132, 16, 44]"
20171012_224312,7,7,64,0,0,464,3,"[1, 1, 0, 1]","[16, 116, 999, 49]"
20171012_224312,7,5,64,0,0,496,3,"[1, 1, 1, 1]","[11, 111, 21, 45]"
20171012_224312,8,7,64,0,0,500,2,"[1, 1, 1, 1]","[16, 124, 35, 123]"
20171012_224312,7,10,64,0,0,512,2,"[1, 1, 1, 1]","[21, 121, 36, 112]"
20171012_224312,6,9,64,0,2,512,2,"[0, 1, 1, 1]","[999, 26, 21, 133]"
20171012_224312,6,9,64,0,1,512,3,"[1, 1, 1, 1]","[36, 12, 18, 126]"
20171012_224312,7,3,64,0,1,528,3,"[1, 1, 1, 1]","[32, 8, 11, 57]"
20171012_224312,7,5,64,0,2,540,4,"[1, 0, 1, 1]","[37, 999, 7, 65]"
20171012_224312,8,6,64,0,2,544,4,"[1, 1, 1, 1]","[23, 107, 3, 69]"
20171012_224312,8,3,64,0,0,584,5,"[1, 1, 1, 1]","[2, 102, 3, 69]"
20171012_224312,9,7,64,0,2,600,3,"[1, 1, 1, 1]","[21, 109, -1, 103]"
20171012_224312,8,4,64,0,2,668,4,"[1, 1, 1, 1]","[25, 117, 3, 103]"
20171012_224312,8,6,64,0,2,668,3,"[1, 1, 1, 1]","[26, 122, 7, 111]"
20171012_224312,8,4,64,0,0,672,5,"[1, 1, 1, 1]","[14, 122, 16, 104]"
20171012_224312,9,9,128,0,0,680,4,"[1, 1, 1, 1]","[23, 123, 26, 142]"
20171012_224312,8,8,128,0,2,812,3,"[0, 1, 1, 1]","[999, 24, 23, 135]"
20171012_224312,8,6,128,0,2,812,3,"[1, 1, 1, 1]","[31, 31, 19, 123]"
20171012_224312,8,8,128,0,1,820,4,"[1, 1, 0, 1]","[39, 35, 999, 116]"
20171012_224312,8,10,128,0,0,824,4,"[1, 1, 1, 1]","[27, 27, 36, 98]"
20171012_224312,8,11,128,0,0,840,3,"[1, 1, 1, 1]","[35, 35, 44, 108]"
20171012_224312,8,10,128,0,2,844,3,"[1, 1, 1, 1]","[44, 40, 27, 27]"
20171012_224312,8,11,128,0,2,852,3,"[1, 1, 1, 1]","[35, 123, 32, 40]"
20171012_224312,7,9,128,0,0,856,3,"[1, 1, 1, 1]","[28, 112, 28, 28]"
20171012_224312,7,11,128,0,0,856,3,"[1, 1, 1, 1]","[24, 116, 44, 36]"
20171012_224312,7,13,128,0,0,864,3,"[1, 1, 1, 1]","[16, 120, 24, 20]"
20171012_224312,7,8,128,0,0,868,3,"[1, 1, 1, 1]","[17, 109, 27, 119]"
20171012_224312,6,8,128,0,2,876,3,"[1, 1, 1, 1]","[29, 121, 28, 136]"
20171012_224312,7,11,128,0,1,876,4,"[1, 1, 1, 1]","[20, 16, 27, 131]"
20171012_224312,7,10,128,0,1,896,3,"[1, 1, 1, 1]","[29, 21, 43, 105]"
20171012_224312,6,9,128,0,1,900,3,"[1, 1, 1, 1]","[29, 17, 52, 152]"
20171012_224312,6,8,128,0,2,900,3,"[1, 0, 1, 1]","[58, 999, 44, 106]"
20171012_224312,7,17,128,0,0,904,3,"[1, 1, 1, 1]","[25, 49, 37, 129]"
20171012_224312,6,11,128,0,0,944,2,"[1, 1, 1, 1]","[26, 54, 36, 152]"
20171012_224312,5,8,128,0,0,944,2,"[1, 1, 1, 1]","[30, 46, 41, 165]"
20171012_224312,5,13,128,0,2,944,3,"[1, 1, 1, 1]","[35, 59, 25, 117]"
20171012_224312,6,10,128,0,0,948,2,"[1, 1, 1, 1]","[16, 128, 44, 120]"
20171012_224312,7,8,128,0,2,968,3,"[1, 1, 1, 1]","[24, 132, 23, 51]"
20171012_224312,8,9,128,0,1,1008,3,"[1, 1, 0, 1]","[28, 16, 999, 52]"
20171012_224312,7,8,128,0,1,1076,2,"[1, 1, 1, 1]","[37, 21, 27, 171]"
20171012_224312,6,6,128,0,1,1076,3,"[1, 1, 1, 1]","[25, 17, 20, 124]"
20171012_224312,6,10,128,0,2,1076,3,"[1, 1, 1, 1]","[33, 33, 28, 128]"
20171012_224312,7,8,128,0,0,1080,4,"[1, 1, 0, 1]","[4, 20, 999, 113]"
20171012_224312,7,2,128,0,2,1092,4,"[1, 1, 1, 1]","[20, 20, 14, 114]"
20171012_224312,9,8,128,0,1,1100,4,"[0, 1, 0, 1]","[999, 23, 999, 131]"
20171012_224312,8,10,128,0,0,1128,3,"[1, 1, 1, 1]","[32, 32, 32, 82]"
20171012_224312,7,8,128,0,1,1128,2,"[0, 1, 1, 1]","[999, 17, 20, 148]"
20171012_224312,6,8,128,0,1,1128,2,"[1, 1, 1, 1]","[33, 21, 29, 133]"
20171012_224312,6,13,128,0,2,1128,4,"[1, 1, 1, 1]","[26, 26, 13, 113]"
20171012_224312,6,7,128,0,2,1132,3,"[1, 1, 1, 1]","[21, 13, 9, 137]"
20171012_224312,6,6,128,0,0,1136,3,"[1, 1, 1, 1]","[16, 16, 17, 145]"
20171012_224312,7,8,128,0,0,1144,3,"[1, 1, 1, 1]","[24, 24, 28, 140]"
20171012_224312,7,10,128,0,1,1168,3,"[1, 1, 1, 1]","[29, 21, 33, 45]"
20171012_224312,6,9,128,0,2,1172,2,"[1, 0, 1, 1]","[26, 999, 25, 99]"
20171012_224312,6,10,128,0,2,1172,2,"[1, 1, 1, 1]","[33, 37, 21, 91]"
20171012_224312,6,8,128,0,1,1176,3,"[1, 1, 0, 1]","[33, 29, 999, 122]"
20171012_224312,6,8,128,0,2,1180,3,"[1, 1, 1, 1]","[26, 38, 21, 105]"
20171012_224312,6,9,128,0,0,1188,4,"[1, 1, 0, 1]","[13, 25, 999, 126]"
20171012_224312,6,3,128,0,0,1192,3,"[1, 1, 1, 1]","[13, 25, 23, 139]"
20171012_224312,6,7,128,0,0,1200,3,"[1, 1, 1, 1]","[25, 37, 25, 117]"
20171012_224312,6,8,128,0,0,1216,3,"[1, 1, 1, 1]","[33, 33, 45, 177]"
20171012_224312,6,11,128,0,1,1248,2,"[0, 1, 0, 1]","[999, 34, 999, 50]"
20171012_224312,5,12,128,0,1,1252,2,"[1, 1, 1, 1]","[35, 31, 43, 163]"
20171012_224312,4,11,128,0,0,1252,2,"[1, 0, 1, 1]","[32, 999, 35, 151]"
20171012_224312,3,11,128,0,0,1252,1,"[1, 1, 1, 1]","[37, 57, 39, 155]"
20171012_224312,2,13,128,0,0,1252,0,"[1, 1, 1, 1]","[34, 38, 44, 168]"
20171012_224312,1,10,128,0,0,1252,0,"[1, 1, 1, 1]","[34, 50, 40, 156]"
20171012_224312,1,10,128,0,0,1252,1,"[1, 1, 1, 1]","[26, 38, 56, 156]"
20171012_224312,1,10,128,0,0,1256,0,"[1, 1, 1, 1]","[26, 42, 52, 168]"
20171012_224312,1,8,128,0,1,1260,0,"[0, 1, 1, 1]","[999, 43, 43, 131]"
20171012_224312,0,7,128,0,0,1268,0,"[1, 1, 1, 1]","[35, 39, 49, 169]"
20171012_224312,0,6,128,0,2,1268,1,"[1, 1, 1, 1]","[31, 43, 28, 136]"
20171012_224312,3,12,128,0,0,1272,1,"[1, 1, 1, 1]","[36, 48, 44, 144]"
20171012_224312,3,9,128,0,0,1304,1,"[1, 1, 1, 1]","[32, 44, 64, 152]"
20171012_224312,3,10,128,0,1,1308,1,"[0, 1, 1, 1]","[999, 41, 44, 144]"
20171012_224312,2,17,128,0,0,1312,1,"[1, 1, 1, 1]","[46, 46, 65, 169]"
20171012_224312,1,15,128,0,1,1312,0,"[0, 1, 1, 1]","[999, 43, 78, 178]"
