id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_231907,14,4,2,0,2,7076,7,"[1, 0, 1, 1]","[90, 999, -17, 83]"
20171012_231907,14,5,4,0,1,0,7,"[1, 1, 0, 1]","[80, -20, 999, 94]"
20171012_231907,13,1,4,0,2,4,6,"[1, 1, 1, 1]","[79, -13, -26, 74]"
20171012_231907,13,1,4,0,1,4,7,"[1, 1, 0, 1]","[88, -12, 999, 81]"
20171012_231907,13,6,8,0,1,8,6,"[1, 1, 1, 1]","[99, -1, 1, 101]"
20171012_231907,12,9,8,0,1,16,5,"[1, 1, 1, 1]","[102, 2, 2, 90]"
20171012_231907,11,8,8,0,1,16,5,"[1, 1, 1, 1]","[90, -2, 9, 97]"
20171012_231907,11,6,8,0,2,16,5,"[1, 0, 1, 1]","[103, 999, -1, 83]"
20171012_231907,10,7,8,0,1,20,4,"[1, 1, 1, 1]","[94, -2, 6, 86]"
20171012_231907,9,6,8,0,1,20,4,"[1, 1, 1, 1]","[86, -14, 0, 96]"
20171012_231907,9,1,8,0,2,20,6,"[1, 1, 1, 1]","[101, -7, -19, 89]"
20171012_231907,10,4,8,0,2,24,5,"[1, 1, 1, 1]","[101, -7, -9, 87]"
20171012_231907,10,5,8,0,2,36,5,"[1, 1, 1, 1]","[103, 3, -9, 99]"
20171012_231907,10,3,16,0,2,44,5,"[1, 1, 1, 1]","[93, 1, -1, 103]"
20171012_231907,10,6,16,0,0,60,5,"[1, 1, 0, 1]","[-12, 4, 999, 102]"
20171012_231907,9,4,16,0,2,64,4,"[0, 1, 1, 1]","[999, 15, -7, 93]"
20171012_231907,10,2,16,0,2,64,4,"[1, 1, 1, 1]","[83, -13, -15, 85]"
20171012_231907,10,1,16,0,1,76,6,"[1, 1, 1, 1]","[84, -12, -11, 101]"
20171012_231907,11,5,16,0,1,80,6,"[1, 1, 0, 1]","[100, 0, 999, 91]"
20171012_231907,11,8,32,0,1,104,6,"[1, 1, 1, 1]","[88, -12, 11, 111]"
20171012_231907,11,4,32,0,2,136,5,"[1, 0, 1, 1]","[107, 999, 10, 94]"
20171012_231907,11,13,32,0,1,140,5,"[1, 1, 1, 1]","[95, 7, 13, 97]"
20171012_231907,10,9,32,0,2,148,4,"[1, 1, 1, 1]","[106, 18, 14, 106]"
20171012_231907,9,10,32,0,2,148,3,"[1, 1, 1, 1]","[94, 14, 9, 109]"
20171012_231907,8,6,32,0,2,148,3,"[1, 1, 1, 1]","[109, 21, 17, 113]"
20171012_231907,8,7,32,0,0,148,3,"[1, 1, 1, 1]","[6, 18, 9, 113]"
20171012_231907,7,7,32,0,2,152,4,"[0, 1, 1, 1]","[999, 11, 3, 123]"
20171012_231907,8,3,32,0,0,152,5,"[1, 1, 1, 1]","[4, 4, 7, 103]"
20171012_231907,9,8,32,0,1,172,4,"[1, 1, 1, 1]","[15, 11, 11, 131]"
20171012_231907,8,8,32,0,0,184,3,"[1, 1, 0, 1]","[10, 10, 999, 118]"
20171012_231907,7,8,32,0,1,184,2,"[1, 1, 1, 1]","[13, 9, 10, 126]"
20171012_231907,6,9,32,0,2,184,4,"[1, 1, 1, 1]","[25, 9, 0, 116]"
20171012_231907,7,10,32,0,2,184,3,"[1, 1, 1, 1]","[112, 12, 2, 114]"
20171012_231907,7,3,32,0,2,192,3,"[1, 1, 1, 1]","[95, 3, -2, 106]"
20171012_231907,7,4,32,0,1,200,4,"[1, 1, 1, 1]","[103, 11, 14, 118]"
20171012_231907,8,8,32,0,0,204,3,"[1, 0, 0, 1]","[102, 999, 999, 110]"
20171012_231907,7,8,32,5,1,228,3,"[0, 1, 1, 1]","[999, 23, 115, 115]"
20171012_231907,6,8,32,0,2,228,2,"[1, 1, 1, 1]","[123, 15, 13, 133]"
20171012_231907,6,7,32,0,1,228,4,"[1, 1, 1, 1]","[103, 7, 9, 137]"
20171012_231907,8,4,64,0,2,260,5,"[1, 1, 1, 1]","[102, 18, -5, 95]"
20171012_231907,10,6,64,0,1,332,4,"[1, 1, 1, 1]","[117, 13, 17, 109]"
20171012_231907,10,9,64,0,2,352,3,"[1, 0, 1, 1]","[26, 999, 20, 120]"
20171012_231907,9,11,64,0,1,368,4,"[1, 1, 1, 1]","[22, 18, 25, 121]"
20171012_231907,9,12,64,0,1,368,4,"[1, 1, 1, 1]","[14, 10, 16, 112]"
20171012_231907,9,9,64,0,2,372,3,"[1, 1, 1, 1]","[25, 21, 4, 96]"
20171012_231907,9,7,64,0,1,380,4,"[1, 1, 1, 1]","[110, 6, 9, 109]"
20171012_231907,9,8,64,0,3,384,4,"[1, 1, 1, 1]","[98, 22, 15, 3]"
20171012_231907,8,7,64,0,1,392,4,"[1, 1, 1, 1]","[122, 6, 26, 14]"
20171012_231907,9,8,64,0,1,392,4,"[1, 1, 1, 1]","[111, -1, 10, 114]"
20171012_231907,8,6,64,0,2,412,4,"[1, 0, 1, 1]","[130, 999, 14, 110]"
20171012_231907,9,7,64,0,3,412,4,"[1, 0, 0, 1]","[129, 999, 999, 7]"
20171012_231907,8,10,64,0,3,448,3,"[1, 1, 1, 1]","[101, 33, 10, 2]"
20171012_231907,7,6,64,0,2,448,3,"[1, 1, 1, 1]","[149, 25, 10, 10]"
20171012_231907,7,5,64,0,1,448,3,"[1, 1, 1, 1]","[125, 1, 17, 17]"
20171012_231907,8,6,64,0,1,452,3,"[1, 1, 1, 1]","[138, 6, 8, 100]"
20171012_231907,7,3,64,0,1,464,3,"[1, 1, 1, 1]","[130, 2, 17, 105]"
20171012_231907,7,8,64,0,1,464,2,"[1, 1, 1, 1]","[117, 9, 25, 117]"
20171012_231907,6,7,64,0,1,468,2,"[1, 1, 1, 1]","[102, 6, 18, 110]"
20171012_231907,5,6,64,0,1,468,2,"[1, 1, 1, 1]","[110, 10, 26, 110]"
20171012_231907,5,6,64,0,1,468,2,"[1, 1, 1, 1]","[38, 22, 33, 113]"
20171012_231907,5,10,64,0,2,472,3,"[1, 1, 1, 1]","[26, 14, 11, 15]"
20171012_231907,6,6,64,0,3,480,3,"[1, 1, 1, 1]","[126, 18, 15, 11]"
20171012_231907,6,8,64,0,3,500,3,"[1, 1, 1, 1]","[161, 29, 35, 27]"
20171012_231907,6,14,64,0,3,504,3,"[1, 1, 1, 1]","[138, 38, 28, 20]"
20171012_231907,5,10,64,0,2,512,2,"[1, 1, 1, 0]","[138, 34, 27, 999]"
20171012_231907,4,11,64,0,2,512,1,"[1, 1, 1, 1]","[139, 35, 34, 50]"
20171012_231907,3,18,64,0,2,512,0,"[1, 1, 1, 1]","[143, 43, 25, 25]"
20171012_231907,2,7,64,0,2,512,1,"[1, 1, 1, 1]","[158, 50, 19, 19]"
20171012_231907,2,6,64,0,2,512,1,"[1, 1, 1, 1]","[148, 40, 22, 34]"
