id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_210922,14,5,4,5,2,2168,6,"[1, 1, 1, 1]","[82, 82, -6, -6]"
20171012_210922,13,4,4,0,0,0,6,"[1, 1, 0, 1]","[-13, 79, 999, 91]"
20171012_210922,12,4,4,0,1,0,5,"[0, 1, 1, 1]","[999, -6, -6, -6]"
20171012_210922,12,3,4,0,2,0,5,"[1, 1, 1, 1]","[-9, -9, -10, -10]"
20171012_210922,12,4,4,0,2,0,4,"[1, 1, 1, 1]","[-2, -2, -4, -4]"
20171012_210922,11,6,8,0,0,4,5,"[1, 0, 1, 1]","[3, 999, 5, 105]"
20171012_210922,10,4,8,0,0,12,4,"[1, 1, 1, 1]","[-2, -2, 6, -2]"
20171012_210922,10,2,8,0,2,12,4,"[1, 1, 1, 1]","[3, 11, -2, 90]"
20171012_210922,11,2,8,0,3,12,4,"[1, 1, 1, 1]","[10, 2, -7, -11]"
20171012_210922,10,3,8,0,0,16,5,"[1, 1, 1, 1]","[-9, -3, 10, -6]"
20171012_210922,11,3,8,0,3,28,5,"[1, 1, 1, 1]","[-3, 97, 91, -9]"
20171012_210922,10,3,16,0,3,36,5,"[1, 1, 1, 1]","[9, 97, 92, -8]"
20171012_210922,10,6,16,0,3,52,5,"[1, 1, 1, 1]","[10, 102, 104, 4]"
20171012_210922,9,3,16,0,0,52,3,"[1, 1, 1, 0]","[5, 105, 95, 999]"
20171012_210922,10,2,16,0,3,56,5,"[1, 1, 1, 1]","[13, 113, 88, -12]"
20171012_210922,10,3,16,0,3,56,4,"[1, 1, 1, 1]","[4, -4, 102, -6]"
20171012_210922,9,10,16,0,0,64,5,"[1, 1, 1, 0]","[-1, 103, 125, 999]"
20171012_210922,10,7,16,0,0,72,4,"[1, 1, 1, 1]","[5, 113, 94, 10]"
20171012_210922,11,8,32,0,0,96,4,"[1, 1, 1, 1]","[-2, 98, 109, 13]"
20171012_210922,11,6,32,0,3,128,5,"[1, 1, 1, 1]","[6, 102, 95, 3]"
20171012_210922,10,8,32,0,0,128,4,"[1, 1, 1, 1]","[10, 114, 114, 14]"
20171012_210922,9,8,32,0,0,136,4,"[1, 1, 1, 0]","[6, 122, 15, 999]"
20171012_210922,11,4,32,0,3,136,5,"[1, 1, 1, 1]","[2, 114, 91, -5]"
20171012_210922,11,8,32,0,3,144,4,"[0, 1, 1, 1]","[999, 118, 113, 13]"
20171012_210922,11,6,32,0,3,164,4,"[1, 1, 1, 1]","[13, 121, 105, 5]"
20171012_210922,10,7,32,0,0,172,3,"[1, 1, 1, 1]","[0, 108, 114, 10]"
20171012_210922,10,8,32,0,3,176,4,"[0, 1, 1, 1]","[999, 105, 106, 14]"
20171012_210922,9,9,32,0,0,176,3,"[1, 1, 1, 1]","[17, 117, 113, 21]"
20171012_210922,8,9,32,0,2,180,3,"[1, 1, 1, 1]","[13, 105, 10, 22]"
20171012_210922,8,7,32,0,2,180,3,"[1, 1, 1, 1]","[8, 24, 2, 14]"
20171012_210922,7,10,32,0,0,180,4,"[1, 1, 1, 1]","[-1, 115, 7, 27]"
20171012_210922,10,6,32,0,3,184,4,"[1, 1, 1, 1]","[10, 142, 114, 6]"
20171012_210922,9,8,32,0,0,196,4,"[1, 1, 1, 1]","[9, 129, 117, 17]"
20171012_210922,11,12,32,0,0,220,4,"[1, 1, 1, 1]","[18, 126, 117, 29]"
20171012_210922,10,11,32,0,0,256,4,"[1, 1, 1, 1]","[10, 134, 110, 26]"
20171012_210922,11,5,32,0,3,256,5,"[0, 1, 1, 1]","[999, 99, 95, -1]"
20171012_210922,11,9,64,0,0,260,5,"[1, 1, 1, 1]","[4, 104, 113, 17]"
20171012_210922,10,11,64,0,0,328,5,"[1, 1, 1, 1]","[-4, 96, 98, 26]"
20171012_210922,10,9,64,0,0,328,5,"[1, 1, 1, 1]","[-4, 96, 118, 18]"
20171012_210922,11,10,64,0,0,332,4,"[1, 1, 1, 1]","[3, 115, 119, 19]"
20171012_210922,10,12,64,0,3,340,4,"[0, 1, 1, 1]","[999, 114, 98, 30]"
20171012_210922,9,10,64,0,0,340,3,"[1, 1, 1, 1]","[25, 105, 101, 25]"
20171012_210922,9,10,64,0,0,364,3,"[1, 1, 1, 1]","[17, 113, 105, 25]"
20171012_210922,10,9,64,0,3,364,4,"[1, 1, 1, 1]","[25, 121, 98, 18]"
20171012_210922,9,10,64,0,0,368,4,"[1, 1, 1, 1]","[19, 111, 105, 25]"
20171012_210922,8,5,64,0,2,376,3,"[0, 1, 1, 0]","[999, 110, 6, 999]"
20171012_210922,7,11,64,0,0,376,4,"[1, 1, 1, 1]","[7, 11, 13, 33]"
20171012_210922,8,11,64,0,2,376,3,"[1, 1, 1, 1]","[17, 17, 14, 30]"
20171012_210922,7,11,64,0,0,388,3,"[1, 1, 1, 1]","[6, 34, 21, 33]"
20171012_210922,9,4,64,0,3,388,5,"[1, 1, 1, 1]","[15, 139, 97, -3]"
20171012_210922,9,3,64,0,3,396,4,"[1, 1, 1, 1]","[9, 129, 103, -5]"
20171012_210922,8,4,64,0,0,416,4,"[1, 1, 1, 1]","[2, 122, 118, 2]"
20171012_210922,11,9,64,0,3,448,4,"[0, 1, 1, 1]","[999, 117, 113, 17]"
20171012_210922,10,11,64,0,3,460,4,"[0, 1, 1, 1]","[999, 126, 106, 26]"
20171012_210922,9,8,64,0,0,480,4,"[1, 1, 1, 1]","[11, 107, 103, 15]"
20171012_210922,9,11,64,0,0,480,3,"[1, 1, 1, 1]","[18, 110, 101, 29]"
20171012_210922,8,9,64,0,0,480,3,"[1, 1, 1, 1]","[10, 114, 20, 20]"
20171012_210922,9,9,64,0,0,480,3,"[1, 1, 1, 1]","[14, 110, 111, 19]"
20171012_210922,8,7,64,0,3,484,3,"[1, 1, 1, 1]","[25, 109, 122, 14]"
20171012_210922,8,7,64,0,3,488,3,"[1, 1, 1, 1]","[18, 114, 110, 14]"
20171012_210922,8,8,64,0,0,496,3,"[1, 1, 1, 1]","[18, 110, 124, 20]"
20171012_210922,7,9,64,0,0,500,3,"[1, 1, 1, 1]","[10, 110, 117, 25]"
20171012_210922,7,7,64,0,3,508,2,"[1, 1, 1, 1]","[24, 128, 117, 17]"
20171012_210922,7,5,64,0,3,516,3,"[1, 1, 1, 1]","[21, 125, 107, 7]"
20171012_210922,7,9,64,0,3,516,3,"[1, 1, 1, 1]","[29, 121, 151, 23]"
20171012_210922,7,10,64,0,0,520,2,"[1, 1, 1, 1]","[25, 37, 177, 29]"
20171012_210922,7,9,64,0,2,528,3,"[1, 1, 1, 1]","[26, 42, -5, 23]"
20171012_210922,6,15,64,0,2,544,2,"[1, 1, 1, 1]","[7, 131, 6, 50]"
20171012_210922,5,14,64,0,0,560,3,"[1, 1, 0, 1]","[18, 18, 999, 47]"
20171012_210922,9,5,64,0,3,560,4,"[0, 1, 1, 1]","[999, 111, 111, 3]"
20171012_210922,9,12,64,0,0,604,3,"[1, 1, 1, 1]","[10, 138, 125, 33]"
20171012_210922,8,11,64,0,0,672,2,"[1, 1, 1, 1]","[9, 109, 130, 30]"
20171012_210922,8,10,64,0,0,672,2,"[1, 1, 1, 1]","[9, 109, 122, 26]"
20171012_210922,8,14,64,0,0,672,1,"[1, 1, 1, 1]","[16, 116, 140, 40]"
20171012_210922,7,16,64,0,0,676,1,"[1, 1, 1, 1]","[8, 112, 147, 51]"
20171012_210922,8,12,64,0,0,676,1,"[1, 1, 1, 1]","[13, 121, 122, 34]"
20171012_210922,7,11,64,0,3,680,3,"[0, 1, 1, 1]","[999, 122, 159, 31]"
20171012_210922,6,12,128,0,0,680,3,"[1, 1, 1, 1]","[19, 119, 146, 38]"
20171012_210922,7,7,128,0,3,824,2,"[1, 1, 1, 1]","[29, 121, 133, 17]"
20171012_210922,6,6,128,0,0,828,4,"[1, 1, 1, 0]","[15, 131, 116, 999]"
20171012_210922,10,11,128,0,3,844,4,"[0, 1, 1, 1]","[999, 142, 122, 26]"
20171012_210922,10,11,128,0,0,892,4,"[1, 1, 1, 1]","[23, 127, 110, 26]"
20171012_210922,9,10,128,0,3,912,3,"[0, 1, 1, 1]","[999, 114, 121, 25]"
20171012_210922,9,9,128,0,3,912,3,"[0, 1, 1, 1]","[999, 118, 125, 21]"
20171012_210922,8,11,128,0,0,916,3,"[1, 1, 1, 1]","[26, 110, 110, 30]"
20171012_210922,7,5,128,0,2,924,3,"[0, 1, 1, 0]","[999, 121, 7, 999]"
20171012_210922,6,9,128,0,0,924,4,"[1, 1, 1, 1]","[8, 120, 18, 26]"
20171012_210922,9,10,128,0,0,924,4,"[1, 1, 1, 1]","[4, 108, 125, 25]"
20171012_210922,9,4,128,0,3,944,3,"[1, 1, 1, 1]","[22, 122, 113, 1]"
20171012_210922,8,13,128,0,0,948,4,"[1, 1, 1, 0]","[18, 146, 38, 999]"
20171012_210922,10,10,128,0,0,988,4,"[1, 1, 1, 1]","[15, 111, 22, 22]"
20171012_210922,8,10,128,0,0,1056,3,"[1, 1, 1, 1]","[22, 106, 26, 26]"
20171012_210922,7,6,128,0,3,1056,3,"[1, 1, 1, 1]","[26, 110, 27, 11]"
20171012_210922,7,7,128,0,0,1056,4,"[1, 1, 1, 1]","[3, 99, 15, 15]"
20171012_210922,9,6,128,0,2,1056,4,"[0, 1, 1, 1]","[999, 118, 3, 7]"
20171012_210922,9,9,128,0,2,1072,3,"[1, 1, 1, 1]","[29, 53, 17, 21]"
20171012_210922,8,7,128,0,3,1080,3,"[0, 1, 0, 1]","[999, 30, 999, 14]"
20171012_210922,7,9,128,0,0,1096,3,"[1, 1, 1, 0]","[14, 114, 23, 999]"
20171012_210922,8,6,128,0,2,1096,4,"[1, 1, 1, 1]","[26, 126, 8, 8]"
20171012_210922,8,10,128,0,0,1100,3,"[1, 1, 1, 1]","[10, 18, 22, 26]"
20171012_210922,7,7,128,0,2,1104,3,"[1, 1, 1, 1]","[34, 170, 15, 15]"
20171012_210922,7,9,128,0,2,1112,3,"[1, 1, 1, 1]","[34, 30, 7, 23]"
20171012_210922,6,10,128,0,2,1112,2,"[1, 1, 1, 1]","[38, 158, 14, 30]"
20171012_210922,6,6,128,0,2,1116,2,"[1, 1, 1, 1]","[31, 119, 10, 14]"
20171012_210922,6,10,128,0,2,1116,2,"[1, 1, 1, 1]","[25, 53, 22, 30]"
20171012_210922,5,10,128,0,3,1120,2,"[1, 1, 0, 1]","[36, 132, 999, 31]"
20171012_210922,4,11,128,0,2,1128,1,"[1, 1, 1, 1]","[62, 86, 34, 38]"
20171012_210922,3,8,128,0,3,1128,1,"[1, 1, 1, 1]","[35, 167, 39, 27]"
20171012_210922,2,7,128,0,2,1128,0,"[1, 1, 1, 1]","[58, 178, 26, 26]"
