id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_212243,14,6,2,5,0,5436,6,"[1, 1, 1, 1]","[-26, -26, -26, -26]"
20171012_212243,13,2,2,0,0,0,5,"[1, 1, 1, 1]","[-23, 52, -6, 69]"
20171012_212243,12,2,2,0,0,0,5,"[1, 1, 1, 1]","[-19, -19, -9, 66]"
20171012_212243,12,1,4,5,2,0,6,"[1, 1, 1, 1]","[81, 81, -21, -21]"
20171012_212243,12,3,4,0,0,4,5,"[1, 1, 1, 1]","[-14, 94, 1, 76]"
20171012_212243,11,4,4,0,0,8,5,"[1, 1, 1, 1]","[-17, 79, -6, 86]"
20171012_212243,10,3,4,0,0,8,5,"[1, 1, 1, 1]","[-13, 87, 2, 102]"
20171012_212243,10,4,4,0,0,8,4,"[1, 1, 1, 1]","[-7, 97, 7, 107]"
20171012_212243,10,5,8,5,2,12,4,"[1, 1, 1, 1]","[101, 105, 93, 93]"
20171012_212243,10,4,8,5,0,20,5,"[1, 1, 1, 1]","[91, 91, 93, 93]"
20171012_212243,10,5,8,5,0,24,5,"[1, 1, 1, 1]","[-22, -22, 102, 110]"
20171012_212243,11,2,8,0,0,28,5,"[1, 1, 1, 1]","[-14, 69, 10, 94]"
20171012_212243,11,4,8,0,2,40,5,"[1, 1, 1, 1]","[-3, 64, -14, 61]"
20171012_212243,11,4,16,0,2,48,5,"[1, 1, 1, 1]","[2, 102, -6, 94]"
20171012_212243,11,6,16,0,2,64,4,"[1, 1, 1, 1]","[5, 113, 1, 101]"
20171012_212243,10,7,16,0,2,68,4,"[1, 1, 1, 1]","[10, 22, -7, 93]"
20171012_212243,10,5,16,0,2,68,4,"[1, 1, 1, 1]","[13, 109, -2, 98]"
20171012_212243,9,8,16,0,2,72,4,"[1, 1, 1, 1]","[6, 118, -5, 91]"
20171012_212243,8,5,16,0,0,72,4,"[1, 1, 0, 1]","[14, 118, 999, 94]"
20171012_212243,9,10,16,0,0,72,4,"[1, 1, 1, 1]","[10, 110, 25, 117]"
20171012_212243,9,9,16,0,0,84,4,"[1, 1, 1, 1]","[15, 123, 21, 109]"
20171012_212243,8,9,16,0,1,88,3,"[0, 1, 0, 1]","[999, 106, 999, 110]"
20171012_212243,7,7,16,5,0,88,2,"[1, 1, 1, 1]","[29, 109, 111, 119]"
20171012_212243,6,8,16,0,3,88,3,"[1, 1, 1, 1]","[17, 117, 15, 7]"
20171012_212243,6,6,16,0,0,88,4,"[1, 1, 1, 0]","[0, 83, 26, 999]"
20171012_212243,7,8,16,0,2,92,3,"[1, 1, 1, 1]","[-1, 82, -10, 98]"
20171012_212243,7,3,16,0,0,104,3,"[1, 1, 1, 1]","[9, 117, 21, 109]"
20171012_212243,8,8,16,0,2,120,3,"[0, 1, 1, 1]","[999, 114, 1, 97]"
20171012_212243,8,6,32,0,0,132,3,"[1, 1, 1, 1]","[8, 120, 9, 109]"
20171012_212243,9,8,32,0,2,164,4,"[1, 1, 1, 1]","[13, 121, -2, -2]"
20171012_212243,9,6,32,0,0,184,4,"[1, 1, 1, 1]","[-3, 97, 3, 11]"
20171012_212243,10,5,32,0,2,188,5,"[0, 1, 1, 1]","[999, 110, 7, 103]"
20171012_212243,10,9,32,0,0,200,4,"[1, 1, 1, 1]","[18, 122, 18, 98]"
20171012_212243,9,11,32,0,3,208,4,"[1, 1, 1, 1]","[11, 103, 27, -9]"
20171012_212243,8,4,32,0,0,208,4,"[1, 1, 1, 1]","[2, 118, 18, 2]"
20171012_212243,9,7,32,0,0,208,4,"[1, 1, 1, 1]","[-1, 135, -1, 83]"
20171012_212243,8,8,32,0,0,228,4,"[1, 1, 1, 1]","[-8, 92, 4, 88]"
