id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_213708,14,0,2,0,0,2460,6,"[1, 0, 1, 1]","[-6, 999, 7, 27]"
20171012_213708,13,2,2,0,0,0,6,"[1, 1, 1, 1]","[-6, 14, 26, 46]"
20171012_213708,13,4,4,0,0,0,6,"[1, 1, 0, 1]","[3, 87, 999, 111]"
20171012_213708,12,2,4,0,2,4,6,"[0, 1, 1, 1]","[999, 90, -17, 3]"
20171012_213708,12,3,4,0,0,4,5,"[1, 1, 1, 1]","[2, 126, 2, 22]"
20171012_213708,11,5,4,0,0,8,5,"[1, 1, 1, 1]","[-5, 95, 26, 110]"
20171012_213708,10,2,4,0,0,8,5,"[1, 1, 1, 1]","[3, 23, 46, 138]"
20171012_213708,10,2,4,0,0,8,5,"[1, 1, 1, 1]","[10, 30, 31, 123]"
20171012_213708,11,1,8,0,0,12,4,"[1, 1, 1, 1]","[-20, 0, 4, 92]"
20171012_213708,11,1,8,0,1,24,4,"[0, 1, 1, 1]","[999, 29, 75, 115]"
20171012_213708,10,5,8,0,1,32,4,"[1, 1, 1, 1]","[33, -11, 93, 209]"
20171012_213708,10,3,8,0,1,32,4,"[1, 1, 1, 1]","[2, -18, 86, 62]"
20171012_213708,9,0,8,0,1,36,4,"[1, 1, 1, 1]","[10, -10, 54, 34]"
20171012_213708,9,3,8,0,1,36,4,"[1, 1, 1, 1]","[142, 10, 91, 91]"
20171012_213708,9,6,8,0,1,40,4,"[1, 1, 1, 1]","[79, 11, 69, 129]"
20171012_213708,8,4,8,0,1,48,4,"[1, 1, 1, 1]","[128, 28, 86, 146]"
20171012_213708,7,2,8,0,1,48,4,"[1, 1, 1, 1]","[124, 24, 46, 106]"
20171012_213708,7,3,8,0,1,48,4,"[1, 1, 1, 1]","[152, 52, 93, 75]"
20171012_213708,7,7,8,0,2,52,3,"[1, 0, 1, 1]","[123, 999, 98, 102]"
20171012_213708,7,7,16,0,1,56,4,"[1, 1, 1, 1]","[166, 82, 118, 182]"
20171012_213708,9,5,16,0,2,72,5,"[1, 0, 1, 1]","[143, 999, 0, 100]"
20171012_213708,9,4,16,0,1,88,5,"[1, 1, 1, 1]","[95, -5, 114, 214]"
20171012_213708,10,3,16,0,1,104,4,"[1, 1, 1, 1]","[130, 62, 170, 238]"
20171012_213708,9,4,16,0,2,116,4,"[1, 0, 1, 1]","[245, 999, 157, 353]"
20171012_213708,10,12,32,0,2,116,4,"[1, 1, 1, 1]","[212, 144, 137, 333]"
20171012_213708,10,10,32,0,1,156,4,"[1, 1, 1, 1]","[185, 85, 148, 344]"
20171012_213708,10,8,32,0,0,160,4,"[1, 0, 0, 1]","[162, 999, 999, 258]"
20171012_213708,9,7,32,5,2,164,3,"[0, 1, 1, 1]","[999, 235, 196, 208]"
20171012_213708,9,6,32,5,0,164,4,"[1, 1, 0, 1]","[162, 190, 999, 297]"
20171012_213708,9,8,32,5,0,180,3,"[1, 1, 1, 1]","[173, 201, 178, 294]"
20171012_213708,8,6,32,5,2,184,3,"[0, 1, 1, 1]","[999, 218, 189, 261]"
20171012_213708,8,6,32,5,1,184,4,"[1, 1, 1, 1]","[167, 159, 209, 285]"
20171012_213708,8,7,32,5,0,192,4,"[1, 1, 0, 1]","[207, 223, 999, 398]"
20171012_213708,8,6,32,5,2,196,3,"[1, 1, 1, 1]","[227, 219, 205, 237]"
20171012_213708,8,11,32,5,3,204,3,"[1, 1, 1, 1]","[190, 190, 222, 166]"
20171012_213708,7,6,32,5,0,208,5,"[1, 1, 1, 0]","[237, 315, 241, 999]"
20171012_213708,8,8,32,5,1,208,4,"[1, 1, 1, 1]","[283, 227, 236, 236]"
20171012_213708,8,6,32,5,3,228,4,"[1, 0, 1, 1]","[182, 999, 350, 142]"
20171012_213708,9,8,32,5,3,236,3,"[1, 1, 1, 1]","[240, 324, 337, 153]"
20171012_213708,8,6,32,5,3,272,3,"[1, 1, 1, 1]","[267, 307, 317, 133]"
20171012_213708,8,7,32,5,3,272,3,"[1, 1, 1, 1]","[182, 294, 326, 142]"
20171012_213708,7,7,32,5,0,276,5,"[1, 1, 1, 0]","[265, 265, 309, 999]"
20171012_213708,8,9,64,5,2,276,3,"[1, 1, 1, 0]","[343, 367, 314, 999]"
20171012_213708,7,11,64,5,3,348,2,"[1, 1, 1, 1]","[326, 358, 317, 265]"
20171012_213708,6,8,64,5,2,348,2,"[1, 1, 1, 0]","[336, 396, 278, 999]"
20171012_213708,5,10,64,5,2,348,2,"[1, 1, 1, 1]","[379, 351, 298, 298]"
20171012_213708,5,12,64,5,3,348,2,"[1, 1, 1, 1]","[414, 398, 307, 291]"
20171012_213708,4,9,64,5,2,352,2,"[1, 1, 1, 1]","[360, 392, 275, 311]"
20171012_213708,4,10,64,5,2,352,2,"[1, 1, 1, 1]","[371, 383, 267, 279]"
20171012_213708,4,11,64,5,2,356,2,"[1, 1, 1, 1]","[408, 416, 275, 331]"
20171012_213708,4,9,64,5,2,360,2,"[1, 1, 1, 1]","[325, 373, 276, 308]"
20171012_213708,3,7,64,5,2,368,2,"[1, 1, 1, 1]","[344, 386, 292, 304]"
20171012_213708,3,12,64,5,2,368,1,"[1, 1, 1, 1]","[349, 393, 302, 366]"
20171012_213708,3,13,64,5,2,372,1,"[1, 1, 1, 1]","[406, 402, 287, 423]"
20171012_213708,2,7,64,5,2,380,1,"[1, 1, 1, 1]","[371, 421, 339, 459]"
20171012_213708,2,9,64,5,2,380,1,"[1, 1, 1, 1]","[419, 385, 367, 439]"
20171012_213708,2,14,64,5,3,388,1,"[1, 1, 0, 1]","[474, 466, 999, 384]"
20171012_213708,1,17,64,5,3,392,0,"[1, 1, 1, 1]","[402, 482, 419, 363]"
20171012_213708,0,11,64,5,2,392,0,"[1, 1, 1, 1]","[395, 469, 383, 391]"
20171012_213708,0,13,64,5,2,392,1,"[1, 1, 1, 1]","[388, 396, 321, 385]"
20171012_213708,0,10,64,5,0,396,2,"[1, 1, 1, 1]","[388, 424, 439, 427]"
20171012_213708,3,13,64,5,2,404,2,"[1, 1, 1, 1]","[464, 392, 387, 387]"
20171012_213708,4,15,64,5,2,448,2,"[0, 1, 1, 1]","[999, 464, 431, 455]"
20171012_213708,4,17,64,5,2,468,2,"[1, 1, 1, 1]","[443, 475, 411, 435]"
20171012_213708,4,15,64,5,0,500,3,"[1, 1, 1, 1]","[425, 457, 435, 427]"
20171012_213708,4,16,64,5,2,504,1,"[1, 1, 1, 1]","[503, 507, 438, 450]"
20171012_213708,3,15,64,5,3,508,2,"[1, 1, 1, 1]","[498, 510, 428, 392]"
20171012_213708,3,14,64,5,3,508,1,"[1, 1, 1, 1]","[437, 481, 486, 406]"
