id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_214158,14,0,2,5,2,6464,7,"[0, 1, 1, 1]","[999, 74, -17, -17]"
20171012_214158,14,2,4,0,3,0,6,"[0, 1, 0, 1]","[999, 80, 999, -8]"
20171012_214158,13,4,4,0,0,4,6,"[1, 1, 1, 1]","[-9, 91, 3, -7]"
20171012_214158,12,6,4,0,0,4,6,"[1, 1, 1, 1]","[-17, -7, 90, -2]"
20171012_214158,12,4,4,0,3,4,5,"[1, 1, 1, 1]","[-7, 3, 98, -10]"
20171012_214158,11,7,4,0,3,8,4,"[1, 1, 1, 1]","[-9, 91, 93, -15]"
20171012_214158,10,3,4,0,3,8,4,"[1, 1, 1, 1]","[2, -2, 93, -11]"
20171012_214158,10,4,4,0,0,8,4,"[1, 1, 1, 1]","[-7, 89, 98, -6]"
20171012_214158,10,7,8,0,3,12,4,"[1, 1, 1, 1]","[1, 101, 85, -7]"
20171012_214158,10,5,8,0,0,20,5,"[1, 1, 1, 1]","[-5, 91, 100, 0]"
20171012_214158,10,6,8,0,0,24,4,"[1, 1, 1, 1]","[-15, -5, 100, 0]"
20171012_214158,10,1,8,0,3,28,6,"[1, 1, 1, 1]","[0, 10, 89, -19]"
20171012_214158,10,0,8,0,3,36,6,"[1, 1, 1, 1]","[-13, 1, -10, -20]"
20171012_214158,11,3,8,0,3,40,6,"[1, 1, 1, 1]","[-2, 8, 92, -8]"
20171012_214158,11,3,16,0,3,52,6,"[0, 1, 1, 1]","[999, 99, 84, -16]"
20171012_214158,11,3,16,0,0,68,5,"[1, 1, 1, 0]","[-2, 90, 103, 999]"
20171012_214158,11,7,16,0,1,72,4,"[0, 1, 1, 0]","[999, 113, 113, 999]"
20171012_214158,10,6,16,5,0,80,4,"[1, 1, 1, 1]","[5, 105, 102, 122]"
20171012_214158,10,8,16,0,3,80,3,"[1, 1, 1, 1]","[12, 112, 100, 0]"
20171012_214158,9,4,16,0,3,84,3,"[1, 1, 1, 1]","[10, 98, 108, 8]"
20171012_214158,9,8,16,0,3,84,3,"[1, 1, 1, 1]","[11, 15, 100, 0]"
20171012_214158,9,5,16,0,0,88,4,"[1, 1, 1, 0]","[-2, 94, 5, 999]"
20171012_214158,9,6,16,0,0,92,4,"[1, 1, 1, 1]","[-2, 0, 23, 7]"
20171012_214158,9,6,16,0,0,100,4,"[1, 1, 1, 1]","[-3, 19, 11, 11]"
20171012_214158,10,6,32,0,0,116,4,"[1, 1, 1, 1]","[-7, 3, 103, 3]"
20171012_214158,10,4,32,0,3,152,6,"[1, 1, 1, 1]","[-3, 7, 93, -7]"
20171012_214158,10,5,32,0,3,156,5,"[0, 1, 1, 1]","[999, 110, 91, -1]"
20171012_214158,10,7,32,0,3,164,5,"[1, 1, 1, 1]","[10, 114, 99, -9]"
20171012_214158,10,5,32,0,3,180,5,"[1, 1, 1, 1]","[11, 111, 87, -13]"
20171012_214158,10,4,32,0,0,184,5,"[1, 1, 1, 1]","[3, 103, 103, 3]"
20171012_214158,10,4,32,0,3,188,4,"[1, 1, 1, 1]","[7, 107, 98, -2]"
20171012_214158,9,4,32,0,0,196,5,"[1, 1, 1, 1]","[4, 96, 101, 9]"
20171012_214158,9,8,32,0,0,196,4,"[1, 1, 1, 0]","[15, 115, 117, 999]"
20171012_214158,8,7,32,0,0,200,4,"[1, 1, 1, 1]","[3, 103, 113, 13]"
20171012_214158,8,7,32,0,3,200,4,"[1, 1, 1, 1]","[21, 121, 98, 2]"
20171012_214158,9,5,32,0,3,204,4,"[0, 1, 1, 1]","[999, 115, 98, 18]"
20171012_214158,9,9,32,0,1,216,4,"[0, 1, 1, 0]","[999, 7, 105, 999]"
20171012_214158,8,8,32,0,3,232,4,"[1, 1, 1, 1]","[16, 12, 37, 7]"
20171012_214158,8,8,32,0,0,232,3,"[1, 1, 1, 1]","[-3, 109, 27, 25]"
20171012_214158,8,5,32,0,0,236,3,"[1, 1, 1, 1]","[5, 101, 130, 10]"
20171012_214158,8,9,32,0,3,244,4,"[1, 1, 1, 1]","[12, 108, 127, -5]"
20171012_214158,8,5,32,0,0,248,4,"[1, 1, 1, 1]","[2, 102, 130, 2]"
20171012_214158,9,8,64,0,0,280,4,"[1, 1, 1, 1]","[14, 106, 114, 26]"
20171012_214158,9,10,64,0,2,348,4,"[0, 1, 1, 0]","[999, 105, 19, 999]"
20171012_214158,8,11,64,0,2,356,4,"[1, 1, 1, 1]","[30, 122, 11, 19]"
20171012_214158,8,9,64,0,0,356,4,"[1, 1, 1, 1]","[15, 33, 18, 26]"
20171012_214158,8,9,64,0,3,360,4,"[0, 1, 1, 1]","[999, 40, 27, 19]"
20171012_214158,8,10,64,0,2,368,4,"[0, 1, 1, 0]","[999, 128, 32, 999]"
20171012_214158,7,13,64,0,3,384,3,"[1, 1, 0, 1]","[33, 63, 999, 23]"
20171012_214158,6,8,64,0,3,384,4,"[1, 1, 1, 1]","[26, 114, 25, 13]"
20171012_214158,6,10,64,0,3,384,3,"[1, 1, 1, 1]","[26, 138, 27, 19]"
20171012_214158,6,10,64,0,0,388,2,"[1, 1, 1, 1]","[20, 120, 46, 30]"
20171012_214158,7,10,64,0,3,396,4,"[1, 1, 1, 1]","[25, 133, 124, 20]"
20171012_214158,7,8,64,0,3,404,3,"[1, 1, 1, 1]","[12, 120, 110, 10]"
20171012_214158,7,6,64,0,0,412,4,"[1, 1, 1, 1]","[7, 95, 118, 18]"
20171012_214158,8,4,64,0,0,428,3,"[1, 1, 1, 1]","[1, 121, 103, 11]"
20171012_214158,8,6,64,0,0,464,3,"[1, 1, 1, 1]","[9, 133, 108, 12]"
20171012_214158,8,8,64,0,3,472,3,"[1, 1, 1, 1]","[14, 122, 13, 9]"
20171012_214158,8,8,64,0,2,476,3,"[1, 1, 1, 1]","[21, 125, 17, 17]"
20171012_214158,8,10,64,0,3,492,3,"[0, 1, 1, 1]","[999, 162, 22, 18]"
20171012_214158,7,7,64,0,0,496,3,"[1, 1, 1, 1]","[10, 26, 25, 25]"
20171012_214158,7,8,64,0,0,496,3,"[1, 1, 1, 1]","[15, 39, 110, 22]"
20171012_214158,6,11,64,0,0,500,3,"[1, 1, 1, 1]","[12, 28, 121, 33]"
20171012_214158,5,7,64,0,3,500,2,"[0, 1, 1, 1]","[999, 27, 121, 25]"
