id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_214406,14,0,2,5,0,1932,6,"[1, 1, 1, 1]","[-26, -26, 83, 83]"
20171012_214406,13,2,2,0,0,0,5,"[1, 1, 1, 1]","[-23, -23, -18, -18]"
20171012_214406,12,0,2,0,2,0,7,"[0, 1, 1, 1]","[999, -20, -28, -28]"
20171012_214406,13,2,4,0,0,0,5,"[1, 1, 1, 1]","[-15, -15, -2, -2]"
20171012_214406,12,4,4,0,0,8,4,"[1, 1, 1, 1]","[-20, -20, -1, 99]"
20171012_214406,11,2,4,0,0,8,4,"[1, 1, 1, 1]","[-15, -11, -9, -9]"
20171012_214406,10,3,4,0,0,8,4,"[1, 1, 1, 1]","[-18, 82, 2, -2]"
20171012_214406,9,0,4,0,3,8,6,"[1, 1, 1, 1]","[-14, 90, -8, -16]"
20171012_214406,11,4,8,5,0,8,6,"[1, 1, 1, 1]","[-21, -13, -5, 95]"
20171012_214406,12,3,8,0,0,24,6,"[1, 1, 1, 1]","[-16, 84, 1, 1]"
20171012_214406,11,3,8,0,3,36,5,"[0, 1, 1, 1]","[999, 91, -2, -6]"
20171012_214406,11,6,16,0,2,36,5,"[1, 1, 1, 1]","[2, 90, -10, 2]"
20171012_214406,11,2,16,0,0,52,6,"[1, 1, 0, 1]","[-9, 87, 999, -9]"
20171012_214406,12,4,16,0,1,56,5,"[0, 1, 0, 1]","[999, 94, 999, 102]"
20171012_214406,11,6,16,5,0,68,4,"[1, 1, 0, 1]","[101, 105, 999, 113]"
20171012_214406,10,7,16,5,0,68,3,"[1, 1, 1, 1]","[100, 104, 112, 112]"
20171012_214406,9,5,16,5,2,68,5,"[0, 1, 1, 1]","[999, 105, 96, 104]"
20171012_214406,9,3,16,5,0,68,4,"[1, 1, 1, 1]","[94, 98, 104, 104]"
20171012_214406,9,5,16,5,0,72,4,"[1, 1, 1, 1]","[114, 114, 114, 118]"
20171012_214406,9,12,16,5,0,76,3,"[1, 1, 1, 1]","[121, 121, 125, 125]"
20171012_214406,8,12,16,5,0,84,3,"[1, 1, 1, 1]","[117, 117, 122, 122]"
20171012_214406,8,10,16,5,0,84,3,"[1, 1, 1, 1]","[113, 113, 141, 137]"
20171012_214406,8,9,16,5,0,92,3,"[1, 1, 1, 1]","[118, 118, 137, 125]"
20171012_214406,7,10,16,5,3,96,3,"[1, 1, 1, 1]","[115, 127, 133, 109]"
20171012_214406,8,4,16,5,2,96,2,"[1, 1, 1, 0]","[122, 122, 104, 999]"
