id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_214942,14,4,2,5,0,2652,6,"[1, 1, 1, 1]","[-10, -10, 83, 83]"
20171012_214942,13,2,2,0,2,0,6,"[1, 1, 1, 1]","[-6, -6, -18, -18]"
20171012_214942,13,1,4,0,0,0,7,"[1, 1, 0, 1]","[-28, -28, 999, -19]"
20171012_214942,13,2,4,0,2,4,5,"[1, 1, 1, 1]","[-2, -2, -19, -19]"
20171012_214942,12,3,4,0,2,8,4,"[1, 1, 1, 1]","[-1, 99, -20, -20]"
20171012_214942,11,2,4,0,2,8,4,"[1, 1, 1, 1]","[-9, -9, -16, -16]"
20171012_214942,11,0,4,0,2,8,4,"[1, 1, 1, 1]","[-2, 86, -20, -20]"
20171012_214942,11,2,4,0,0,12,6,"[1, 1, 1, 1]","[-17, -17, -15, -11]"
20171012_214942,12,6,8,0,2,16,6,"[1, 1, 1, 1]","[-11, -11, -24, 76]"
20171012_214942,11,0,8,0,2,32,5,"[1, 1, 1, 1]","[-9, -9, -13, 79]"
20171012_214942,10,4,8,0,2,32,4,"[1, 1, 1, 1]","[2, 102, -18, 82]"
20171012_214942,9,0,8,0,2,32,4,"[1, 1, 1, 1]","[-4, 88, -10, 90]"
20171012_214942,9,1,8,0,2,32,4,"[1, 1, 1, 1]","[3, 103, -18, 82]"
20171012_214942,9,0,8,0,0,36,6,"[1, 1, 0, 1]","[-8, -8, 999, 91]"
20171012_214942,11,6,16,0,0,40,5,"[1, 1, 1, 1]","[3, 103, 3, 91]"
20171012_214942,10,8,16,0,0,68,4,"[1, 1, 1, 1]","[-2, 94, 10, 106]"
20171012_214942,9,3,16,0,2,68,6,"[1, 1, 1, 1]","[-2, 106, -15, 89]"
20171012_214942,10,4,16,0,0,68,5,"[1, 1, 1, 1]","[-1, 91, 3, 99]"
20171012_214942,10,7,16,0,0,76,4,"[1, 1, 1, 1]","[6, 90, 14, 102]"
20171012_214942,9,9,16,0,3,84,4,"[1, 1, 1, 1]","[13, 105, 23, 11]"
20171012_214942,8,11,16,0,0,84,3,"[1, 1, 1, 1]","[5, 5, 22, 6]"
20171012_214942,8,7,16,0,2,84,5,"[1, 1, 1, 1]","[21, 137, -4, 84]"
20171012_214942,9,5,16,0,2,88,4,"[0, 1, 1, 1]","[999, 91, -2, -2]"
20171012_214942,9,8,16,0,0,100,3,"[1, 1, 1, 1]","[-3, 97, 10, 106]"
20171012_214942,8,5,16,0,2,116,5,"[1, 1, 1, 1]","[5, 101, 0, 100]"
20171012_214942,9,6,32,0,0,116,5,"[1, 1, 1, 1]","[3, 87, 7, 99]"
20171012_214942,10,7,32,0,1,152,5,"[0, 1, 0, 1]","[999, 8, 999, 102]"
20171012_214942,9,9,32,0,0,164,4,"[1, 1, 0, 1]","[3, 19, 999, 119]"
20171012_214942,8,7,32,0,2,164,4,"[1, 1, 1, 1]","[14, 30, 5, 121]"
20171012_214942,10,8,32,0,1,164,5,"[1, 1, 0, 1]","[7, -9, 999, 138]"
20171012_214942,10,4,32,0,2,192,4,"[1, 0, 1, 1]","[4, 999, -3, 13]"
20171012_214942,10,6,32,0,0,196,5,"[1, 1, 1, 1]","[-17, 83, 6, 146]"
20171012_214942,10,1,32,0,0,204,4,"[1, 1, 1, 1]","[-19, -19, -7, 105]"
20171012_214942,10,0,32,0,2,220,5,"[1, 1, 1, 1]","[0, 0, -9, 123]"
20171012_214942,10,5,32,0,0,252,5,"[1, 1, 1, 1]","[-2, 10, 2, 118]"
20171012_214942,11,7,64,0,2,256,5,"[1, 1, 1, 1]","[5, 17, 2, 98]"
20171012_214942,11,8,64,0,2,324,5,"[1, 1, 1, 1]","[18, 110, 10, 106]"
20171012_214942,11,7,64,0,0,332,5,"[1, 1, 0, 1]","[18, 106, 999, 105]"
20171012_214942,11,12,64,0,2,336,4,"[0, 1, 1, 1]","[999, 117, 25, 109]"
20171012_214942,10,13,64,0,0,344,4,"[1, 1, 1, 1]","[17, 113, 34, 110]"
