id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_215717,14,4,2,5,2,6784,6,"[1, 1, 1, 1]","[74, 74, -26, -26]"
20171012_215717,13,2,2,0,1,0,6,"[1, 1, 1, 1]","[32, -18, 35, 35]"
20171012_215717,13,4,4,0,1,0,6,"[1, 1, 1, 1]","[24, -26, -9, 91]"
20171012_215717,13,1,4,0,2,4,6,"[1, 0, 1, 1]","[37, 999, -10, 40]"
20171012_215717,13,6,8,0,1,8,6,"[1, 1, 1, 1]","[99, -1, 1, 51]"
20171012_215717,12,4,8,0,2,16,6,"[1, 1, 1, 1]","[103, 3, -9, 91]"
20171012_215717,12,6,8,0,1,16,5,"[1, 1, 1, 1]","[86, -14, -2, 98]"
20171012_215717,11,2,8,0,2,20,5,"[1, 0, 1, 1]","[89, 999, -6, 90]"
20171012_215717,11,6,8,0,1,20,4,"[1, 1, 1, 1]","[85, -7, 5, 105]"
20171012_215717,10,4,8,0,2,24,6,"[1, 0, 1, 1]","[94, 999, -11, 85]"
20171012_215717,10,2,8,0,1,24,5,"[1, 1, 1, 1]","[83, -17, -9, 33]"
20171012_215717,10,3,8,0,2,28,5,"[1, 1, 1, 1]","[101, -7, -14, 36]"
20171012_215717,11,0,8,0,1,32,6,"[1, 1, 1, 1]","[84, -16, -11, 39]"
20171012_215717,11,2,16,0,2,48,6,"[1, 1, 1, 1]","[87, -5, -8, 92]"
20171012_215717,11,6,16,0,2,64,5,"[1, 1, 1, 1]","[103, 3, -1, 91]"
20171012_215717,10,4,16,0,1,68,6,"[1, 1, 0, 1]","[93, -11, 999, 94]"
20171012_215717,10,5,16,0,2,68,4,"[1, 1, 1, 1]","[91, 7, -2, 106]"
20171012_215717,9,5,16,0,1,72,4,"[1, 1, 0, 1]","[90, 14, 999, 105]"
20171012_215717,9,12,16,0,2,72,3,"[1, 1, 1, 1]","[90, 10, 9, 93]"
20171012_215717,8,6,16,0,1,80,4,"[1, 1, 1, 1]","[86, 6, 17, 97]"
20171012_215717,9,8,16,0,1,80,4,"[1, 1, 1, 1]","[95, 11, 11, 95]"
20171012_215717,8,11,16,0,1,88,3,"[1, 1, 1, 1]","[102, 18, 20, 120]"
20171012_215717,7,12,16,0,2,88,2,"[1, 0, 1, 1]","[131, 999, 17, 109]"
20171012_215717,6,8,16,0,3,88,2,"[1, 1, 0, 1]","[95, 15, 999, -2]"
20171012_215717,5,8,16,0,3,88,2,"[1, 1, 1, 1]","[112, 14, 22, 2]"
20171012_215717,5,5,16,0,1,88,3,"[1, 1, 1, 0]","[116, 6, 19, 999]"
20171012_215717,7,3,16,0,1,96,3,"[1, 1, 1, 1]","[113, 5, 6, 118]"
20171012_215717,8,6,16,0,2,124,3,"[1, 0, 1, 1]","[118, 999, 9, 113]"
20171012_215717,8,6,32,0,3,144,3,"[1, 1, 0, 1]","[109, 25, 999, 2]"
20171012_215717,7,7,32,0,1,176,4,"[1, 1, 1, 1]","[65, 7, 11, 7]"
20171012_215717,8,4,32,0,1,176,4,"[1, 1, 1, 1]","[53, -5, 15, 15]"
20171012_215717,8,5,32,0,1,188,3,"[1, 1, 1, 1]","[76, 2, 8, 104]"
20171012_215717,7,5,32,0,2,196,5,"[1, 1, 1, 1]","[119, 7, 0, 96]"
20171012_215717,9,9,32,0,1,196,4,"[1, 1, 1, 1]","[106, -2, 2, 52]"
20171012_215717,9,6,32,0,2,224,4,"[1, 1, 1, 1]","[117, 9, -2, 40]"
20171012_215717,9,7,32,0,2,228,4,"[1, 0, 1, 1]","[15, 999, 6, 102]"
20171012_215717,9,7,64,0,0,260,4,"[1, 1, 0, 1]","[22, 22, 999, 117]"
20171012_215717,9,12,64,0,1,324,4,"[1, 1, 0, 1]","[27, 3, 999, 141]"
20171012_215717,8,7,64,0,1,332,3,"[1, 1, 1, 1]","[22, 6, 9, 113]"
20171012_215717,7,7,64,0,1,332,3,"[1, 1, 1, 1]","[26, 18, 21, 125]"
20171012_215717,7,9,64,0,2,332,3,"[1, 0, 1, 1]","[27, 999, 18, 30]"
20171012_215717,7,7,64,0,0,336,3,"[1, 1, 1, 1]","[9, 9, 26, 30]"
20171012_215717,8,8,64,0,0,352,3,"[1, 1, 1, 1]","[14, 18, 25, 141]"
20171012_215717,7,9,64,0,0,360,3,"[1, 1, 1, 1]","[10, 10, 30, 142]"
20171012_215717,7,8,64,0,0,360,3,"[1, 1, 1, 1]","[22, 22, 25, 129]"
20171012_215717,7,10,64,0,2,364,4,"[0, 1, 1, 1]","[999, 35, 3, 57]"
20171012_215717,8,6,64,0,1,372,4,"[0, 1, 1, 1]","[999, 12, 26, 84]"
20171012_215717,7,9,64,0,2,384,3,"[1, 0, 1, 1]","[31, 999, 14, 114]"
20171012_215717,7,12,64,0,2,384,3,"[1, 1, 1, 1]","[31, 19, 18, 142]"
20171012_215717,7,7,64,0,1,400,3,"[1, 1, 1, 1]","[10, 2, 6, 126]"
20171012_215717,7,3,64,0,0,432,3,"[1, 0, 1, 1]","[7, 999, 14, 114]"
20171012_215717,6,7,64,0,1,436,2,"[1, 1, 1, 1]","[14, 6, 10, 122]"
20171012_215717,5,3,64,0,1,436,2,"[1, 1, 1, 1]","[6, 2, 17, 129]"
20171012_215717,5,3,64,0,1,436,2,"[1, 1, 1, 1]","[11, -1, 22, 142]"
20171012_215717,4,2,64,0,1,440,2,"[1, 1, 1, 1]","[7, 3, 18, 138]"
20171012_215717,4,3,64,0,1,440,2,"[1, 1, 1, 1]","[15, 11, 17, 125]"
20171012_215717,4,9,64,0,1,444,2,"[1, 1, 1, 1]","[16, 12, 15, 35]"
20171012_215717,3,5,64,0,2,452,2,"[1, 1, 1, 1]","[24, 24, 22, 42]"
20171012_215717,5,9,64,0,0,452,3,"[1, 1, 1, 1]","[3, 15, 19, 43]"
20171012_215717,6,6,64,0,0,468,2,"[1, 1, 1, 1]","[14, 38, 26, 146]"
20171012_215717,5,6,64,0,0,480,2,"[1, 1, 1, 1]","[19, 35, 22, 88]"
20171012_215717,4,11,64,0,0,480,2,"[1, 1, 1, 1]","[15, 35, 30, 122]"
20171012_215717,4,11,64,0,0,480,2,"[1, 1, 1, 1]","[27, 47, 30, 130]"
20171012_215717,4,13,64,0,2,484,2,"[1, 1, 1, 1]","[22, 42, 19, 127]"
20171012_215717,4,7,64,0,0,492,2,"[1, 1, 1, 1]","[26, 34, 27, 127]"
20171012_215717,5,13,64,0,0,508,2,"[1, 1, 1, 1]","[19, 23, 32, 98]"
20171012_215717,4,11,64,0,1,520,2,"[1, 1, 1, 1]","[27, 23, 34, 126]"
20171012_215717,4,5,64,0,0,520,2,"[1, 1, 1, 1]","[19, 19, 26, 118]"
20171012_215717,4,8,64,0,2,524,2,"[0, 1, 1, 1]","[999, 38, 30, 84]"
20171012_215717,5,14,64,0,0,528,2,"[1, 1, 1, 1]","[22, 22, 35, 131]"
20171012_215717,5,12,64,0,1,552,2,"[1, 1, 1, 1]","[18, 6, 34, 130]"
20171012_215717,5,5,64,0,2,556,2,"[1, 1, 1, 1]","[22, 26, 9, 133]"
20171012_215717,6,3,64,0,1,560,5,"[1, 1, 1, 1]","[97, 1, 5, 109]"
20171012_215717,8,7,64,0,2,600,3,"[1, 1, 1, 1]","[111, 19, 13, 105]"
20171012_215717,8,7,64,0,1,688,4,"[1, 1, 0, 1]","[123, 19, 999, 102]"
20171012_215717,8,10,128,0,2,692,4,"[1, 1, 1, 1]","[126, 30, 15, 111]"
20171012_215717,8,11,128,0,2,820,4,"[1, 1, 1, 1]","[122, 26, 19, 103]"
20171012_215717,8,11,128,0,3,824,4,"[1, 0, 1, 1]","[126, 999, 39, 7]"
20171012_215717,8,8,128,0,3,832,4,"[1, 1, 1, 1]","[89, 23, 35, 11]"
20171012_215717,8,9,128,0,1,848,4,"[1, 1, 1, 1]","[81, 15, 36, 16]"
20171012_215717,8,6,128,0,1,852,4,"[1, 1, 1, 1]","[111, 3, 15, 15]"
20171012_215717,8,5,128,0,2,856,5,"[1, 1, 1, 1]","[119, 11, 0, 108]"
20171012_215717,9,7,128,0,2,864,5,"[1, 1, 1, 1]","[128, 16, -5, 111]"
20171012_215717,10,6,128,0,2,884,4,"[1, 1, 1, 1]","[107, 7, 6, 134]"
20171012_215717,9,9,128,0,1,920,5,"[1, 1, 1, 1]","[108, 8, 9, 129]"
20171012_215717,9,6,128,0,2,920,4,"[1, 0, 1, 1]","[115, 999, 2, 102]"
20171012_215717,9,8,128,0,1,928,4,"[1, 1, 0, 1]","[114, 18, 999, 135]"
20171012_215717,9,11,128,0,3,932,4,"[1, 1, 1, 1]","[137, 29, 27, 19]"
20171012_215717,8,13,128,0,3,940,3,"[1, 1, 1, 1]","[59, 41, 22, 14]"
20171012_215717,7,7,128,0,3,940,3,"[1, 1, 1, 1]","[67, 37, 30, 22]"
20171012_215717,7,11,128,0,2,940,3,"[1, 1, 1, 1]","[158, 38, 27, 27]"
20171012_215717,6,12,128,0,3,944,2,"[1, 1, 0, 1]","[113, 33, 999, 30]"
20171012_215717,5,14,128,0,1,944,2,"[1, 1, 1, 1]","[84, 18, 46, 22]"
20171012_215717,5,9,128,0,3,944,2,"[1, 1, 1, 1]","[99, 29, 34, 26]"
20171012_215717,5,11,128,0,3,948,2,"[1, 1, 1, 1]","[134, 26, 34, 22]"
20171012_215717,5,9,128,0,1,952,3,"[1, 1, 1, 0]","[123, 23, 35, 999]"
20171012_215717,6,8,128,0,1,956,3,"[1, 1, 1, 1]","[126, 22, 27, 139]"
20171012_215717,7,11,128,0,2,972,4,"[1, 0, 1, 1]","[161, 999, 11, 11]"
20171012_215717,8,9,128,0,3,996,4,"[1, 1, 1, 1]","[146, 22, 23, 19]"
20171012_215717,8,11,128,0,2,1016,4,"[1, 1, 1, 1]","[158, 34, 12, 24]"
20171012_215717,7,8,128,0,1,1048,3,"[1, 1, 0, 1]","[150, 10, 999, 39]"
20171012_215717,7,9,128,0,2,1048,3,"[1, 1, 1, 1]","[143, 7, 2, 2]"
20171012_215717,7,6,128,0,2,1112,3,"[1, 1, 1, 1]","[154, 18, 10, 18]"
20171012_215717,7,5,128,0,1,1116,4,"[1, 1, 1, 1]","[132, 0, 6, 6]"
20171012_215717,7,4,128,0,2,1124,3,"[1, 1, 1, 1]","[112, 12, 10, 22]"
20171012_215717,7,5,128,0,1,1132,4,"[1, 1, 1, 1]","[111, 7, 15, 15]"
20171012_215717,8,7,128,0,3,1136,4,"[1, 0, 1, 1]","[112, 999, 15, 7]"
20171012_215717,8,8,128,0,1,1156,4,"[1, 1, 1, 1]","[127, 15, 26, 18]"
