id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_220513,14,4,2,5,2,6084,6,"[1, 1, 1, 1]","[86, 86, 2, 2]"
20171012_220513,13,6,2,0,2,0,5,"[1, 1, 1, 1]","[6, 56, -5, 45]"
20171012_220513,12,4,2,0,0,0,6,"[1, 1, 1, 1]","[3, 53, 3, 53]"
20171012_220513,12,5,4,0,2,0,6,"[1, 1, 1, 1]","[-4, 92, -9, 99]"
20171012_220513,12,3,4,0,0,4,6,"[1, 1, 1, 1]","[-6, 44, 0, 108]"
20171012_220513,13,4,8,0,0,8,6,"[1, 1, 1, 1]","[-1, 53, 3, 103]"
20171012_220513,12,2,8,0,0,20,6,"[1, 1, 1, 1]","[-9, 41, -4, 96]"
20171012_220513,12,5,8,0,0,20,6,"[1, 1, 1, 1]","[-5, 111, 4, 96]"
20171012_220513,12,4,8,0,2,24,5,"[1, 1, 1, 1]","[4, 120, -1, 49]"
20171012_220513,12,7,16,0,2,32,4,"[1, 1, 1, 1]","[11, 103, 0, 50]"
20171012_220513,11,5,16,0,2,48,4,"[1, 1, 1, 1]","[12, 116, 4, 54]"
20171012_220513,11,6,16,0,0,48,6,"[1, 1, 0, 1]","[4, 100, 999, 105]"
20171012_220513,11,6,16,0,2,52,4,"[1, 1, 1, 1]","[12, 112, 9, 109]"
20171012_220513,10,5,16,0,0,56,5,"[1, 1, 1, 1]","[13, 109, 21, 121]"
20171012_220513,10,5,16,0,2,56,5,"[0, 1, 1, 1]","[999, 114, 5, 101]"
20171012_220513,10,6,16,0,2,64,4,"[1, 1, 1, 1]","[17, 121, -2, 98]"
20171012_220513,9,3,16,0,0,68,4,"[1, 1, 0, 1]","[13, 113, 999, 111]"
20171012_220513,10,8,16,0,0,68,4,"[1, 1, 1, 1]","[9, 109, 18, 122]"
20171012_220513,10,9,16,0,2,80,3,"[1, 1, 1, 1]","[18, 106, 14, 114]"
20171012_220513,9,5,16,0,2,84,3,"[1, 1, 1, 1]","[19, 11, 10, 110]"
20171012_220513,9,7,16,0,0,84,5,"[1, 1, 1, 1]","[10, 114, 19, 115]"
20171012_220513,9,8,16,0,2,92,3,"[1, 1, 1, 1]","[22, 130, 15, 111]"
20171012_220513,8,8,16,0,2,108,3,"[1, 1, 1, 1]","[11, 123, 7, 111]"
20171012_220513,8,6,16,0,2,108,3,"[1, 1, 1, 1]","[26, 126, 12, 124]"
20171012_220513,7,2,16,0,0,112,4,"[1, 1, 0, 1]","[18, 114, 999, 109]"
20171012_220513,9,9,32,0,2,112,3,"[1, 1, 1, 1]","[23, 127, 15, 99]"
20171012_220513,8,8,32,0,0,156,4,"[1, 1, 1, 1]","[23, 107, 23, 103]"
20171012_220513,8,10,32,0,0,156,3,"[1, 1, 1, 1]","[28, 104, 28, 128]"
20171012_220513,7,7,32,0,3,160,3,"[1, 1, 1, 1]","[16, 108, 20, 8]"
20171012_220513,7,6,32,0,3,160,3,"[1, 1, 1, 1]","[18, 80, 37, 13]"
20171012_220513,6,7,32,0,0,168,3,"[1, 1, 1, 0]","[27, 53, 30, 999]"
20171012_220513,8,11,32,0,2,168,4,"[1, 1, 1, 1]","[36, 136, 19, 23]"
20171012_220513,8,9,32,0,2,196,4,"[1, 1, 1, 1]","[28, 136, 24, 24]"
20171012_220513,7,10,32,0,2,200,4,"[1, 1, 1, 1]","[29, 133, 16, 16]"
20171012_220513,7,7,32,0,3,200,3,"[0, 1, 1, 1]","[999, 121, 36, 24]"
20171012_220513,7,10,32,0,0,204,3,"[1, 1, 1, 1]","[19, 85, 45, 33]"
20171012_220513,8,9,32,0,0,212,2,"[1, 1, 1, 1]","[20, 90, 23, 119]"
20171012_220513,7,8,32,0,2,232,5,"[1, 1, 1, 1]","[17, 95, 11, 103]"
20171012_220513,8,4,32,0,0,232,3,"[1, 1, 1, 1]","[23, 131, 23, 111]"
20171012_220513,8,7,32,0,2,268,4,"[1, 1, 1, 1]","[15, 123, 6, 126]"
20171012_220513,9,6,64,0,0,276,4,"[1, 1, 0, 1]","[29, 129, 999, 135]"
20171012_220513,10,12,64,0,1,344,4,"[0, 1, 0, 1]","[999, 106, 999, 110]"
20171012_220513,9,8,64,5,0,368,3,"[1, 1, 1, 1]","[7, 115, 122, 126]"
20171012_220513,8,4,64,0,0,368,3,"[1, 1, 1, 1]","[15, 119, 26, 122]"
20171012_220513,8,8,64,0,0,368,2,"[1, 1, 1, 1]","[20, 124, 23, 135]"
20171012_220513,7,9,64,0,0,372,2,"[1, 1, 1, 1]","[12, 116, 28, 40]"
20171012_220513,7,5,64,0,0,372,2,"[1, 1, 1, 1]","[17, 125, 31, 131]"
20171012_220513,6,10,64,0,0,376,2,"[1, 1, 1, 1]","[14, 118, 40, 136]"
20171012_220513,5,7,64,0,0,376,2,"[1, 1, 1, 1]","[18, 122, 32, 124]"
20171012_220513,5,6,64,0,0,376,2,"[1, 1, 1, 1]","[26, 118, 45, 161]"
20171012_220513,5,8,64,0,3,380,3,"[1, 1, 1, 1]","[34, 126, 37, 29]"
20171012_220513,6,10,64,0,2,388,2,"[1, 1, 1, 1]","[39, 85, 34, 34]"
20171012_220513,5,14,64,0,0,396,2,"[1, 1, 1, 1]","[34, 122, 39, 35]"
20171012_220513,5,9,64,0,0,396,2,"[1, 1, 1, 1]","[22, 122, 42, 34]"
20171012_220513,5,10,64,0,2,400,3,"[1, 1, 1, 1]","[46, 162, 37, 49]"
20171012_220513,6,9,64,0,2,408,3,"[0, 1, 1, 1]","[999, 46, 32, 44]"
20171012_220513,7,12,64,0,1,432,3,"[1, 1, 1, 1]","[37, 33, 37, 41]"
20171012_220513,6,12,64,0,1,468,2,"[1, 1, 1, 1]","[46, 38, 46, 170]"
20171012_220513,5,10,64,0,2,468,3,"[1, 0, 1, 1]","[35, 999, 26, 100]"
20171012_220513,5,6,64,0,0,468,3,"[1, 1, 1, 1]","[21, 29, 38, 80]"
20171012_220513,6,9,64,0,0,472,3,"[1, 1, 1, 1]","[26, 26, 27, 139]"
20171012_220513,5,10,64,0,1,484,2,"[0, 1, 1, 1]","[999, 19, 53, 125]"
20171012_220513,4,4,64,0,2,484,3,"[1, 0, 1, 1]","[48, 999, 20, 90]"
20171012_220513,7,9,64,0,0,484,3,"[1, 1, 1, 1]","[20, 28, 25, 133]"
20171012_220513,7,9,64,0,2,516,4,"[1, 1, 1, 1]","[28, 36, 24, 128]"
20171012_220513,7,12,64,0,2,532,4,"[1, 1, 1, 1]","[29, 17, 16, 116]"
20171012_220513,7,8,64,0,1,536,3,"[1, 1, 1, 1]","[36, 12, 24, 124]"
20171012_220513,7,11,64,0,1,544,2,"[1, 1, 1, 1]","[37, 9, 19, 131]"
20171012_220513,6,6,64,0,1,548,2,"[1, 1, 1, 1]","[29, 5, 24, 118]"
20171012_220513,6,6,64,0,2,548,4,"[1, 1, 1, 1]","[37, 9, 3, 115]"
20171012_220513,8,5,64,0,2,552,4,"[1, 1, 1, 1]","[39, 119, 15, 123]"
20171012_220513,8,4,64,0,2,600,4,"[1, 1, 1, 1]","[19, 107, 11, 115]"
20171012_220513,8,7,64,0,0,616,4,"[1, 1, 0, 1]","[15, 115, 999, 148]"
20171012_220513,8,7,64,0,0,620,4,"[1, 1, 0, 1]","[14, 118, 999, 152]"
20171012_220513,9,10,128,0,0,684,3,"[1, 1, 1, 1]","[19, 123, 22, 130]"
20171012_220513,8,8,128,0,2,816,4,"[1, 1, 1, 1]","[24, 128, 23, 135]"
20171012_220513,8,6,128,0,2,816,4,"[1, 1, 1, 1]","[39, 107, 19, 131]"
20171012_220513,8,9,128,0,2,824,4,"[1, 1, 1, 1]","[43, 119, 11, 123]"
20171012_220513,8,7,128,0,2,828,3,"[1, 1, 1, 1]","[39, 111, 23, 127]"
20171012_220513,8,10,128,0,1,832,4,"[1, 1, 0, 1]","[43, 19, 999, 128]"
20171012_220513,8,11,128,0,2,840,3,"[1, 1, 1, 1]","[44, 24, 23, 77]"
20171012_220513,8,6,128,0,1,856,3,"[1, 1, 1, 1]","[32, 16, 18, 76]"
20171012_220513,7,6,128,0,2,860,3,"[1, 1, 1, 1]","[40, 24, 23, 85]"
20171012_220513,8,10,128,0,0,860,4,"[1, 1, 1, 1]","[19, 107, 32, 78]"
20171012_220513,8,7,128,0,0,872,3,"[1, 1, 1, 1]","[23, 119, 27, 107]"
20171012_220513,8,7,128,0,0,888,4,"[1, 1, 1, 1]","[15, 115, 31, 111]"
20171012_220513,8,10,128,0,0,920,3,"[1, 1, 1, 1]","[23, 119, 39, 115]"
20171012_220513,8,8,128,0,0,924,3,"[1, 1, 1, 1]","[31, 127, 31, 119]"
20171012_220513,8,14,128,0,0,932,2,"[1, 1, 1, 1]","[24, 120, 24, 36]"
20171012_220513,7,10,128,0,0,936,2,"[1, 1, 1, 1]","[29, 121, 32, 44]"
20171012_220513,6,9,128,0,2,936,2,"[1, 1, 1, 1]","[37, 125, 29, 41]"
20171012_220513,6,10,128,0,1,936,2,"[1, 1, 0, 1]","[29, 17, 999, 30]"
20171012_220513,6,8,128,0,2,940,4,"[1, 0, 1, 1]","[22, 999, 16, 120]"
20171012_220513,7,8,128,0,0,944,4,"[1, 1, 0, 1]","[7, 123, 999, 145]"
20171012_220513,8,8,128,0,0,956,3,"[1, 1, 1, 1]","[15, 115, 23, 123]"
20171012_220513,8,10,128,0,2,980,5,"[1, 1, 1, 1]","[16, 116, 10, 110]"
20171012_220513,9,6,128,0,0,1012,4,"[1, 1, 0, 1]","[10, 102, 999, 123]"
20171012_220513,9,5,128,0,2,1080,5,"[1, 1, 1, 1]","[26, 122, 18, 118]"
20171012_220513,9,9,128,0,1,1084,4,"[0, 1, 0, 1]","[999, 11, 999, 115]"
20171012_220513,8,7,128,0,2,1092,4,"[0, 0, 1, 1]","[999, 999, 23, 115]"
20171012_220513,8,10,128,0,1,1092,3,"[0, 1, 1, 1]","[999, 16, 19, 111]"
20171012_220513,7,8,128,0,1,1096,3,"[1, 1, 1, 1]","[36, 20, 26, 108]"
20171012_220513,7,6,128,0,0,1096,2,"[1, 0, 1, 1]","[21, 999, 23, 121]"
20171012_220513,6,8,128,0,2,1100,4,"[0, 1, 1, 1]","[999, 30, 21, 145]"
20171012_220513,6,9,128,0,2,1100,3,"[1, 1, 1, 1]","[26, 34, 21, 105]"
20171012_220513,6,9,128,0,1,1104,2,"[1, 1, 1, 1]","[25, 21, 30, 150]"
20171012_220513,6,11,128,0,2,1112,4,"[1, 1, 1, 1]","[33, 33, 25, 133]"
20171012_220513,6,6,128,0,0,1128,3,"[1, 1, 1, 1]","[16, 28, 24, 124]"
