id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_221003,14,4,2,5,2,12616,6,"[1, 1, 1, 1]","[97, 97, 2, 2]"
20171012_221003,13,6,2,0,0,0,6,"[1, 1, 1, 1]","[6, 56, 6, 56]"
20171012_221003,13,3,4,0,2,0,6,"[1, 1, 1, 1]","[10, 60, -1, 91]"
20171012_221003,12,5,4,0,0,4,5,"[1, 1, 1, 1]","[-4, 92, 8, 100]"
20171012_221003,11,4,4,0,2,4,5,"[1, 1, 1, 1]","[4, 96, 0, 50]"
20171012_221003,11,5,4,0,0,4,5,"[1, 1, 1, 1]","[-4, 46, 3, 53]"
20171012_221003,11,2,4,0,2,8,5,"[1, 1, 1, 1]","[8, 58, 0, 100]"
20171012_221003,11,5,8,0,2,12,5,"[1, 1, 1, 1]","[4, 54, -7, 101]"
20171012_221003,10,1,8,0,0,20,6,"[1, 1, 0, 1]","[-4, 46, 999, 94]"
20171012_221003,11,4,8,0,2,20,5,"[1, 1, 1, 1]","[12, 66, 5, 105]"
20171012_221003,10,6,8,0,2,32,5,"[1, 1, 1, 1]","[9, 109, -3, 97]"
20171012_221003,10,4,8,0,2,32,5,"[1, 1, 1, 1]","[12, 124, 1, 101]"
20171012_221003,10,6,8,0,2,36,4,"[1, 1, 1, 1]","[4, 104, -2, 98]"
20171012_221003,9,1,8,0,2,40,4,"[1, 1, 1, 1]","[1, 121, -10, 90]"
20171012_221003,9,2,8,0,2,40,4,"[1, 1, 1, 1]","[8, 0, -5, 99]"
20171012_221003,8,3,8,0,2,44,4,"[1, 1, 1, 1]","[17, 17, -9, 91]"
20171012_221003,8,2,8,0,2,44,3,"[1, 1, 1, 1]","[13, 5, 3, 69]"
20171012_221003,8,4,8,0,1,48,4,"[1, 1, 0, 1]","[18, 10, 999, 62]"
20171012_221003,9,7,16,5,0,56,4,"[1, 1, 1, 1]","[14, 118, 122, 118]"
20171012_221003,9,8,16,0,1,80,4,"[0, 1, 0, 1]","[999, 7, 999, 127]"
20171012_221003,8,5,16,0,2,84,4,"[1, 0, 1, 1]","[28, 999, 18, 68]"
20171012_221003,9,7,16,0,0,84,4,"[1, 1, 1, 1]","[15, 23, 22, 88]"
20171012_221003,8,7,16,0,1,104,3,"[0, 1, 1, 1]","[999, 24, 26, 126]"
20171012_221003,7,10,16,0,2,104,4,"[1, 1, 1, 1]","[21, 25, 7, 57]"
20171012_221003,8,6,16,0,2,104,3,"[1, 1, 1, 1]","[23, 35, 14, 72]"
20171012_221003,9,5,16,0,2,112,4,"[1, 1, 1, 1]","[11, 11, 6, 60]"
20171012_221003,9,6,16,0,1,128,4,"[1, 1, 1, 1]","[19, 11, 18, 114]"
20171012_221003,8,4,16,0,2,132,4,"[1, 0, 1, 1]","[8, 999, 6, 56]"
20171012_221003,9,6,16,0,2,132,4,"[1, 0, 1, 1]","[15, 999, 6, 56]"
20171012_221003,9,6,16,0,2,144,4,"[1, 1, 1, 1]","[22, 72, 15, 123]"
20171012_221003,8,7,16,0,0,160,3,"[1, 1, 0, 1]","[15, 65, 999, 140]"
20171012_221003,8,8,32,5,1,160,3,"[1, 1, 1, 1]","[123, 23, 119, 107]"
20171012_221003,8,10,32,0,1,192,3,"[1, 1, 1, 1]","[112, 28, 32, 120]"
20171012_221003,7,10,32,0,2,196,4,"[1, 1, 1, 1]","[113, 33, 16, 120]"
20171012_221003,7,7,32,0,2,196,4,"[1, 1, 1, 1]","[136, 36, 24, 32]"
20171012_221003,7,10,32,0,2,200,3,"[1, 1, 1, 1]","[117, 29, 24, 44]"
20171012_221003,7,6,32,0,1,208,4,"[1, 1, 1, 1]","[103, 7, 24, 44]"
20171012_221003,8,6,32,0,2,224,3,"[1, 1, 1, 1]","[130, 18, 15, 115]"
20171012_221003,8,8,32,0,1,260,5,"[1, 1, 1, 1]","[121, 17, 23, 123]"
20171012_221003,10,11,64,0,2,268,5,"[1, 1, 1, 1]","[126, 22, 9, 105]"
20171012_221003,10,9,64,0,1,340,4,"[1, 1, 1, 1]","[110, 14, 25, 109]"
20171012_221003,9,8,64,0,1,344,4,"[1, 1, 1, 1]","[106, 6, 34, 30]"
20171012_221003,9,6,64,0,1,344,4,"[1, 1, 1, 1]","[119, 11, 21, 109]"
20171012_221003,8,9,64,0,1,348,4,"[1, 1, 1, 1]","[108, 8, 26, 102]"
20171012_221003,7,6,64,0,1,348,3,"[1, 1, 1, 1]","[117, 13, 18, 114]"
20171012_221003,6,10,64,0,2,348,4,"[1, 1, 1, 1]","[117, 21, 19, 115]"
20171012_221003,8,6,64,0,2,348,4,"[1, 0, 1, 1]","[28, 999, 14, 110]"
20171012_221003,9,8,64,0,1,368,5,"[1, 1, 1, 1]","[118, 18, 19, 119]"
20171012_221003,9,10,64,0,2,388,3,"[1, 1, 1, 1]","[118, 22, 11, 123]"
20171012_221003,8,7,64,0,2,396,2,"[1, 1, 1, 1]","[118, 30, 20, 132]"
20171012_221003,7,9,64,0,2,396,2,"[1, 1, 1, 1]","[107, 35, 16, 124]"
20171012_221003,7,6,64,0,2,396,2,"[1, 1, 1, 1]","[103, 39, 24, 132]"
20171012_221003,7,9,64,0,1,400,3,"[1, 1, 0, 1]","[120, 36, 999, 129]"
20171012_221003,7,12,64,0,1,404,4,"[1, 1, 1, 1]","[120, 24, 41, 121]"
20171012_221003,7,9,64,0,2,420,4,"[1, 1, 1, 1]","[112, 32, 15, 119]"
20171012_221003,8,7,64,0,3,424,4,"[1, 1, 1, 1]","[119, 31, 23, 19]"
20171012_221003,8,9,64,0,1,436,4,"[1, 1, 1, 1]","[131, 23, 32, 28]"
20171012_221003,8,10,64,0,1,444,4,"[1, 1, 1, 1]","[116, 16, 31, 43]"
20171012_221003,7,8,64,0,1,460,4,"[1, 1, 1, 1]","[124, 24, 35, 31]"
20171012_221003,7,10,64,0,1,460,3,"[1, 1, 1, 1]","[161, 33, 44, 36]"
20171012_221003,6,8,64,0,3,464,2,"[1, 1, 1, 1]","[157, 33, 33, 29]"
20171012_221003,6,9,64,0,3,464,2,"[1, 1, 1, 1]","[90, 40, 45, 37]"
20171012_221003,6,12,64,0,2,496,2,"[1, 1, 1, 0]","[95, 37, 30, 999]"
20171012_221003,5,11,64,0,1,500,3,"[1, 1, 1, 1]","[156, 24, 34, 34]"
20171012_221003,7,12,64,0,2,500,3,"[1, 1, 1, 1]","[137, 29, 19, 135]"
20171012_221003,8,13,64,0,1,516,4,"[1, 1, 0, 1]","[127, 19, 999, 132]"
20171012_221003,8,9,64,0,2,528,4,"[1, 1, 1, 1]","[144, 28, 27, 27]"
20171012_221003,8,11,64,0,2,536,4,"[1, 1, 1, 1]","[128, 36, 31, 31]"
20171012_221003,8,12,64,0,2,552,4,"[1, 1, 1, 1]","[124, 36, 28, 28]"
20171012_221003,7,11,64,0,3,556,3,"[1, 1, 1, 1]","[129, 37, 33, 25]"
20171012_221003,6,10,64,0,2,556,2,"[1, 1, 1, 0]","[79, 29, 22, 999]"
20171012_221003,5,13,64,0,1,556,4,"[1, 1, 1, 1]","[144, 12, 27, 47]"
