id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171013_024131,15,3,4,0,3,5412,7,"[1, 0, 1, 1]","[496, 9999, 496, -4]"
20171013_024131,14,0,4,0,3,0,6,"[1, 1, 1, 1]","[497, 497, 494, -6]"
20171013_024131,14,4,8,0,1,4,6,"[1, 1, 1, 1]","[497, -3, 497, -3]"
20171013_024131,13,2,8,0,1,4,5,"[1, 1, 1, 1]","[495, -5, 995, -5]"
20171013_024131,13,4,8,0,3,12,6,"[1, 1, 1, 1]","[498, -2, 997, -3]"
20171013_024131,12,2,8,5,2,12,5,"[1, 0, 1, 0]","[996, 9999, 993, 9999]"
20171013_024131,12,4,8,0,3,16,5,"[1, 1, 1, 1]","[995, 995, 996, -4]"
20171013_024131,12,2,8,0,1,16,5,"[1, 1, 1, 1]","[995, -5, 995, -5]"
20171013_024131,11,3,8,0,1,20,5,"[1, 1, 1, 1]","[996, -4, 497, -3]"
20171013_024131,11,2,8,0,1,24,5,"[1, 1, 1, 1]","[994, -6, 494, -6]"
20171013_024131,12,2,8,0,3,24,5,"[1, 1, 1, 1]","[1001, 1, 498, -2]"
20171013_024131,12,2,16,0,1,28,6,"[1, 1, 1, 1]","[996, -4, 497, -3]"
20171013_024131,11,4,16,0,1,44,5,"[1, 1, 1, 1]","[998, -3, 999, -1]"
20171013_024131,10,2,16,0,1,60,4,"[1, 1, 1, 1]","[994, -7, 997, -5]"
20171013_024131,9,3,16,0,1,60,3,"[1, 1, 1, 1]","[997, -4, 996, -4]"
20171013_024131,10,4,16,0,3,60,4,"[1, 1, 1, 1]","[999, -3, 996, -4]"
20171013_024131,11,5,16,0,1,60,5,"[1, 1, 1, 1]","[995, -5, 995, -5]"
20171013_024131,10,4,16,0,1,68,4,"[1, 1, 1, 1]","[996, -4, 997, -3]"
20171013_024131,9,5,16,0,1,80,4,"[1, 1, 1, 1]","[998, -2, 998, -2]"
20171013_024131,9,4,16,0,1,80,4,"[1, 1, 1, 1]","[994, -6, 994, -4]"
20171013_024131,9,8,16,0,1,80,4,"[1, 1, 1, 1]","[996, -3, 997, -3]"
20171013_024131,8,2,16,0,2,84,3,"[1, 0, 1, 1]","[997, 9999, -3, -3]"
20171013_024131,10,2,16,0,1,92,4,"[1, 1, 1, 1]","[498, -2, -1, -1]"
20171013_024131,11,5,32,5,2,92,5,"[1, 0, 1, 1]","[496, 9999, -4, -4]"
20171013_024131,10,4,32,0,3,120,4,"[1, 1, 1, 1]","[1001, 1001, 998, -4]"
20171013_024131,9,5,32,0,3,168,4,"[1, 1, 1, 1]","[1000, 0, 998, -2]"
20171013_024131,9,5,32,0,1,168,4,"[1, 1, 1, 1]","[995, -4, 998, -3]"
20171013_024131,10,8,32,0,1,168,4,"[1, 1, 1, 1]","[1000, -1, 999, -1]"
20171013_024131,9,7,32,0,1,172,3,"[1, 1, 1, 1]","[998, -2, 998, -2]"
20171013_024131,9,4,32,0,2,184,4,"[1, 0, 1, 1]","[999, 9999, -4, -3]"
20171013_024131,8,6,32,0,3,184,4,"[1, 1, 0, 1]","[503, 3, 9999, 1]"
20171013_024131,8,7,32,0,1,188,3,"[1, 1, 1, 1]","[998, -5, -1, -1]"
20171013_024131,8,5,32,0,1,188,3,"[1, 1, 1, 1]","[997, -3, 0, 0]"
20171013_024131,8,4,32,0,1,196,3,"[1, 1, 1, 1]","[1003, -1, 1000, 0]"
20171013_024131,8,6,32,0,1,200,2,"[1, 1, 1, 1]","[997, -3, 997, -2]"
20171013_024131,8,8,32,0,3,204,3,"[1, 1, 1, 1]","[999, -1, 0, -2]"
20171013_024131,7,9,32,0,0,212,3,"[1, 1, 1, 0]","[-4, -4, -4, 9999]"
20171013_024131,7,14,32,0,3,228,2,"[1, 1, 1, 1]","[5, 7, 1002, 1]"
20171013_024131,7,15,32,0,3,228,2,"[1, 1, 1, 1]","[4, 3, 998, -2]"
20171013_024131,6,16,32,0,0,236,2,"[1, 1, 1, 0]","[1, 1, 1001, 9999]"
20171013_024131,5,6,32,0,1,240,1,"[0, 1, 1, 0]","[9999, -1, 499, 9999]"
20171013_024131,5,14,32,0,0,240,1,"[1, 1, 1, 1]","[1, 1, 1002, 2]"
20171013_024131,5,13,32,0,0,240,1,"[1, 1, 1, 1]","[4, 4, 1003, 4]"
20171013_024131,4,7,32,0,1,244,1,"[0, 1, 1, 0]","[9999, -1, 503, 9999]"
20171013_024131,6,8,32,0,3,248,3,"[1, 0, 1, 1]","[4, 9999, 1002, 3]"
20171013_024131,6,8,32,0,3,248,3,"[1, 1, 1, 1]","[1003, 2, 1002, -1]"
20171013_024131,7,10,64,0,1,292,2,"[1, 1, 1, 0]","[1001, 1, 1005, 9999]"
20171013_024131,7,15,64,0,3,300,3,"[1, 0, 1, 1]","[999, 9999, 1002, 2]"
20171013_024131,6,12,64,0,1,380,2,"[1, 1, 1, 0]","[0, -1, 999, 9999]"
20171013_024131,7,7,64,0,3,384,2,"[1, 0, 1, 1]","[2, 9999, 1002, -1]"
