id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171014_143648,14,0,2,0,1,3876,7,"[1, 1, 0, 1]","[83, -17, 9999, 74]"
20171014_143648,14,5,4,0,1,0,7,"[1, 1, 0, 1]","[80, -20, 9999, 94]"
20171014_143648,13,5,4,0,1,4,6,"[1, 1, 1, 1]","[87, -21, -11, 89]"
20171014_143648,12,4,4,0,1,4,5,"[1, 1, 1, 1]","[86, -18, 5, 105]"
20171014_143648,11,3,4,0,2,4,5,"[1, 1, 1, 1]","[99, -13, -14, 86]"
20171014_143648,11,4,8,0,1,4,5,"[1, 1, 1, 1]","[86, -6, -6, 86]"
20171014_143648,11,3,8,0,1,12,5,"[1, 1, 0, 1]","[86, -14, 9999, 93]"
20171014_143648,11,4,8,0,2,16,4,"[1, 1, 1, 1]","[94, -2, -3, 109]"
20171014_143648,10,9,8,0,2,24,4,"[1, 1, 1, 1]","[109, 9, -6, 110]"
20171014_143648,9,5,8,0,2,24,3,"[1, 1, 1, 1]","[109, -3, -11, 105]"
20171014_143648,8,1,8,0,2,24,3,"[1, 1, 1, 1]","[91, 3, -3, 105]"
20171014_143648,8,8,8,0,2,24,3,"[1, 1, 1, 1]","[116, 8, 1, 105]"
20171014_143648,8,3,8,0,1,28,4,"[1, 1, 1, 1]","[102, 2, 13, 109]"
20171014_143648,9,8,16,0,2,36,4,"[1, 1, 1, 1]","[94, 10, -2, 98]"
20171014_143648,9,5,16,0,1,56,5,"[1, 1, 0, 1]","[16, -4, 9999, 95]"
20171014_143648,9,6,16,0,2,64,4,"[1, 0, 1, 1]","[15, 9999, 6, 102]"
20171014_143648,9,8,32,0,0,80,4,"[1, 1, 1, 1]","[10, 26, 14, 106]"
20171014_143648,9,5,32,0,2,112,4,"[0, 1, 1, 1]","[9999, 13, 9, 109]"
20171014_143648,10,8,32,0,1,116,4,"[0, 1, 0, 1]","[9999, 18, 9999, 108]"
20171014_143648,9,13,32,0,0,128,3,"[1, 1, 1, 1]","[13, 17, 25, 105]"
20171014_143648,8,9,32,0,2,128,4,"[1, 1, 1, 1]","[13, 17, 11, 107]"
20171014_143648,8,10,32,0,2,128,4,"[1, 1, 1, 1]","[4, 8, -2, 110]"
20171014_143648,9,6,32,0,2,132,4,"[1, 1, 1, 1]","[104, 4, 2, 110]"
20171014_143648,9,5,32,0,1,144,5,"[1, 1, 0, 1]","[103, 3, 9999, 107]"
