id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171014_150830,14,5,4,5,0,1704,6,"[1, 1, 1, 1]","[98.25830429732869, 98.25830429732869, 98.331475029036, 98.331475029036]"
20171014_150830,13,3,4,5,3,0,6,"[0, 1, 0, 1]","[9999, 98.49221835075494, 9999, 98.3493612078978]"
20171014_150830,12,2,4,5,2,0,7,"[0, 1, 1, 1]","[9999, 98.67735191637631, -1.8422764227642277, 98.15772357723577]"
20171014_150830,12,3,4,0,2,0,6,"[1, 1, 1, 1]","[-1.4655052264808361, 98.53449477351916, -1.5774680603948896, 98.42253193960511]"
20171014_150830,12,6,8,0,0,4,6,"[1, 1, 1, 1]","[-1.6262485481997677, 98.37375145180023, -1.4167247386759583, 98.53449477351916]"
20171014_150830,12,6,8,0,0,12,6,"[1, 1, 0, 1]","[-1.6506387921022068, 98.30058072009291, 9999, 98.60766550522648]"
20171014_150830,12,4,8,0,1,16,6,"[0, 1, 0, 1]","[9999, 98.4404181184669, 9999, 98.4404181184669]"
20171014_150830,11,6,8,5,0,20,5,"[1, 1, 0, 1]","[98.67433217189314, 98.69872241579559, 9999, 98.69872241579559]"
20171014_150830,10,4,8,5,3,20,5,"[1, 1, 1, 1]","[98.9082462253194, 98.88385598141696, 98.62555168408826, 98.60116144018583]"
20171014_150830,10,4,8,5,1,20,5,"[1, 1, 1, 1]","[-1.2768873403019745, -1.3500580720092916, 98.85946573751451, 98.85946573751451]"
20171014_150830,10,5,8,0,3,24,6,"[1, 1, 1, 1]","[98.7862950058072, -1.18931475029036, 98.41602787456446, -1.5839721254355401]"
20171014_150830,11,4,16,0,3,32,5,"[1, 0, 1, 1]","[98.69872241579559, 9999, 98.70522648083623, -1.3679442508710802]"
20171014_150830,11,8,16,0,3,52,4,"[1, 1, 1, 1]","[98.79279907084785, -1.1096399535423924, 98.86596980255517, -1.2072009291521486]"
20171014_150830,10,6,16,0,3,60,4,"[1, 1, 1, 1]","[98.84157955865273, -1.1340301974448315, 98.79279907084785, -1.2072009291521486]"
20171014_150830,10,6,16,0,3,60,4,"[1, 1, 1, 1]","[98.79279907084785, -1.1340301974448315, 98.83507549361208, -1.140534262485482]"
20171014_150830,9,6,16,0,1,64,4,"[1, 1, 1, 1]","[98.85946573751451, -1.0917537746806039, 98.9082462253194, -1.0917537746806039]"
20171014_150830,9,5,16,0,1,64,4,"[1, 1, 1, 0]","[98.83507549361208, -1.140534262485482, 98.95052264808362, 9999]"
20171014_150830,9,3,16,0,3,68,5,"[1, 1, 1, 1]","[99.00232288037166, -0.997677119628339, 98.69221835075494, -1.3077816492450638]"
20171014_150830,9,5,16,0,3,72,4,"[1, 1, 1, 1]","[99.05110336817654, -0.9488966318234611, 98.85946573751451, -1.0917537746806039]"
20171014_150830,9,8,16,0,3,76,4,"[1, 1, 1, 1]","[-1.0006968641114982, -0.9763066202090591, 98.83507549361208, -1.140534262485482]"
20171014_150830,9,6,16,0,1,84,5,"[1, 1, 1, 0]","[98.69221835075494, -1.2590011614401857, 99.02020905923345, 9999]"
20171014_150830,9,3,16,0,1,88,5,"[1, 1, 1, 0]","[98.57677119628339, -1.3744483159117307, 99.1177700348432, 9999]"
20171014_150830,10,4,16,0,1,96,4,"[1, 1, 1, 1]","[98.8903600464576, -1.1584204413472705, 98.85946573751451, -1.116144018583043]"
20171014_150830,10,7,32,0,2,116,4,"[1, 0, 1, 1]","[99.12427409988386, 9999, -1.0673635307781648, -1.0673635307781648]"
20171014_150830,9,11,32,0,2,148,3,"[1, 1, 1, 1]","[99.09337979094077, -0.8334494773519163, -0.8822299651567944, -0.8822299651567944]"
20171014_150830,8,8,32,0,1,148,4,"[1, 1, 1, 1]","[99.02369337979094, -1.0006968641114982, -0.7911730545876887, -0.8155632984901278]"
20171014_150830,8,10,32,0,1,148,4,"[1, 1, 1, 1]","[99.04808362369339, -1.0006968641114982, -0.9828106852497096, -0.9828106852497096]"
20171014_150830,8,9,32,0,1,152,4,"[1, 1, 1, 1]","[99.02369337979094, -1.0250871080139372, -1.0006968641114982, -1.0006968641114982]"
20171014_150830,8,8,32,0,1,160,4,"[1, 1, 1, 1]","[98.97491289198607, -1.0250871080139372, -0.7667828106852497, -0.7180023228803716]"
20171014_150830,8,6,32,0,3,164,4,"[1, 0, 1, 1]","[99.25760743321719, 9999, 98.93263646922183, -1.116144018583043]"
20171014_150830,9,3,32,0,1,172,5,"[1, 1, 1, 0]","[98.62555168408826, -1.3500580720092916, 99.09337979094077, 9999]"
20171014_150830,10,8,32,0,3,192,5,"[1, 1, 1, 1]","[98.85946573751451, -1.140534262485482, 98.62555168408826, -1.2768873403019745]"
20171014_150830,10,9,32,0,1,204,4,"[1, 1, 1, 1]","[98.9082462253194, -1.0673635307781648, 98.88385598141696, -1.0185830429732867]"
20171014_150830,9,5,32,0,1,220,4,"[1, 1, 1, 1]","[98.85946573751451, -1.0673635307781648, -1.0494773519163763, -0.9519163763066202]"
20171014_150830,9,7,32,0,2,220,4,"[1, 0, 1, 0]","[98.95052264808362, 9999, -1.1470383275261322, 9999]"
20171014_150830,8,5,32,0,1,224,4,"[1, 1, 1, 1]","[98.98792102206737, -1.2072009291521486, -0.9375145180023228, -0.7423925667828106]"
20171014_150830,10,6,32,0,3,224,4,"[1, 1, 1, 1]","[99.10336817653891, -1.116144018583043, 98.8171893147503, -1.1828106852497096]"
20171014_150830,10,9,64,0,3,268,4,"[1, 1, 1, 1]","[98.8903600464576, -1.0852497096399536, 98.8171893147503, -1.1340301974448315]"
20171014_150830,10,8,64,0,2,332,4,"[1, 0, 1, 0]","[98.93263646922183, 9999, 98.9082462253194, 9999]"
20171014_150830,9,5,64,5,3,336,4,"[1, 1, 0, 1]","[98.62555168408826, 98.62555168408826, 9999, -1.0494773519163763]"
20171014_150830,8,6,64,0,1,336,4,"[1, 1, 1, 0]","[98.85946573751451, -1.0185830429732867, 99.16004645760744, 9999]"
