id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171016_013133,14,4,2,0,0,14364,0,"[1, 1, 1, 1]","[-1937.3939393939395, 1.053030303030303, -50.363636363636367, -209.45454545454547]"
20171016_013133,13,6,2,100,2,0,0,"[1, 1, 1, 1]","[-82.89079563182527, -13.034126365054602, -154.06240249609985, -14.007800312012481]"
20171016_013133,13,3.0,4,0,0,0,0,"[1, 1, 1, 1]","[-63.512171372930872, -9.1970240993184031, -40.048685491723468, 3.7439143135345665]"
20171016_013133,12,5.0,4,0,2,4,1,"[0, 1, 1, 1]","[inf, -0.15474313798219586, -68.12166172106825, -26.430267062314542]"
20171016_013133,12,3.0,4,0,0,4,0,"[1, 1, 1, 1]","[-62.25872039934255, -12.196323126559932, -55.622532010308234, 1.6454820316146179]"
20171016_013133,11,2.0,4,0,2,8,0,"[1, 1, 1, 1]","[-61.116887310300285, -11.197267516951889, -67.451404585082344, -11.340652244107201]"
20171016_013133,12,6.0,8,0,2,8,0,"[1, 1, 1, 1]","[-41.096915229536066, 11.507757469030848, -46.036434296818065, -11.796939519067283]"
20171016_013133,11,6.0,8,0,0,20,0,"[1, 1, 0, 1]","[-49.302245250431774, 8.5449454879101907, inf, -8.838514680483593]"
20171016_013133,10,4.0,8,0,0,20,0,"[1, 1, 1, 1]","[-54.387041773231033, 13.549432544757034, -52.658994032395562, -25.327578857630009]"
20171016_013133,9,6.0,8,0,0,20,0,"[1, 1, 1, 1]","[-51.642570281124499, 10.572979417670682, -46.927710843373497, -21.78413654618474]"
20171016_013133,8,4.0,8,0,2,20,0,"[1, 1, 1, 1]","[-41.527254707631322, 10.57724231912785, -52.676907829534194, -14.918731417244796]"
20171016_013133,10,7.0,8,0,0,20,0,"[1, 1, 1, 1]","[-78.737226277372258, -3.297103102189781, -43.56204379562044, -20.286496350364963]"
20171016_013133,10,5.0,16,0,2,36,1,"[0, 1, 1, 1]","[inf, 5.8105274086378742, -47.66445182724253, -26.91362126245847]"
20171016_013133,10,3.0,16,0,2,52,1,"[0, 1, 1, 1]","[inf, 1.8046875, -58.532679738562095, -20.052287581699346]"
20171016_013133,11,5.0,16,0,0,56,0,"[1, 1, 1, 1]","[-51.478134110787167, -3.196489310009718, -45.951409135082599, -17.688046647230323]"
20171016_013133,10,4.0,16,0,2,68,0,"[0, 1, 1, 1]","[inf, 1.8138383052708638, -40.926793557833086, -37.951683748169842]"
20171016_013133,10,7.0,16,0,3,68,0,"[0, 1, 0, 1]","[inf, 13.813838305270863, inf, -44.658857979502194]"
20171016_013133,9,6.0,16,0,0,76,0,"[1, 1, 1, 1]","[-40.29296544249636, 13.687842216376712, -22.34929496370389, -35.000564480621378]"
20171016_013133,9,7.0,16,0,2,76,1,"[1, 1, 1, 1]","[-31.035775916494806, 34.546978688777585, -54.731792864458377, -34.437700801099936]"
20171016_013133,9,4.0,16,0,2,80,1,"[1, 1, 1, 1]","[-40.017535962531035, 9.6084095296219694, -54.524554489896801, -22.42533131922908]"
20171016_013133,9,1.0,16,0,2,88,0,"[1, 1, 1, 1]","[-49.072794946131737, 0.61032548835913869, -49.601805314664063, 15.920254719011508]"
20171016_013133,10,6.0,32,0,2,104,0,"[1, 1, 1, 1]","[-32.065485864397822, -36.951528561082561, -40.999904957962912, 10.182824763392849]"
20171016_013133,10,3.0,32,0,0,140,1,"[1, 1, 0, 1]","[-45.486360435492728, -2.4254644530717133, inf, -7.0293880169448393]"
20171016_013133,11,7.0,32,0,0,144,0,"[1, 1, 1, 1]","[-46.686184812442811, 3.8155878316559928, -44.954254345837143, 8.0025160109789564]"
20171016_013133,11,6.0,32,0,0,156,0,"[1, 1, 1, 1]","[-41.044949920500336, 0.8069797531456131, -36.99991186290098, 2.6455971993555387]"
20171016_013133,10,7.0,32,0,0,172,0,"[1, 1, 1, 1]","[-49.718512256973789, 8.8068117779656241, -32.008453085376161, -11.788954635108478]"
20171016_013133,10,2.0,32,0,0,172,1,"[1, 1, 1, 1]","[-55.038884568381292, -5.1906038217975778, -30.427619153427393, -8.6887568047994677]"
20171016_013133,10,3.0,32,0,0,176,0,"[1, 1, 1, 1]","[-39.791652791652787, 12.798638861138862, -38.426351426351424, -4.8542013542013542]"
20171016_013133,10,9.0,32,0,0,180,0,"[1, 1, 1, 1]","[-46.340271207820876, 20.808650005255966, -28.0157678965626, -7.7358351729212664]"
20171016_013133,10,2.0,32,0,2,188,0,"[0, 1, 1, 1]","[inf, -2.1953125, -44.575633687653308, -6.0637775960752247]"
20171016_013133,11,7.0,32,0,2,196,0,"[1, 1, 1, 1]","[-33.155038759689916, 16.8046875, -40.922480620155042, -0.023255813953488413]"
20171016_013133,10,7.0,32,0,0,216,0,"[1, 1, 1, 1]","[-40.85280345488512, 5.8040856927966615, -32.008491641798294, -3.0443748938544761]"
20171016_013133,9,7.0,32,0,0,216,0,"[1, 1, 1, 1]","[-32.304743502582269, 13.806777113822593, -24.304818048448851, -23.954485275700435]"
20171016_013133,9,7.0,32,0,3,216,0,"[0, 1, 1, 1]","[inf, 14.533102181128497, -23.004741583688947, -35.679231863442389]"
20171016_013133,8,8.0,32,0,2,220,0,"[1, 1, 1, 1]","[-7.4477542145011597, 42.839179662839911, -41.559260211835678, -26.01870513689822]"
20171016_013133,7,6.0,32,0,2,220,0,"[1, 1, 1, 1]","[-40.371701195383586, 42.764844989355367, -40.999778851087164, -29.463822986512866]"
20171016_013133,6,6.0,32,0,0,220,0,"[1, 1, 1, 1]","[-43.381049335301064, 43.604438894433983, -36.999778851413211, -21.464338316056711]"
20171016_013133,7,7.0,32,0,2,220,0,"[0, 1, 1, 1]","[inf, 32.658425625074294, -53.060268653167967, 0.14296469469429951]"
20171016_013133,9,8.0,64,0,0,256,0,"[1, 1, 1, 1]","[-36.921015702320638, 9.5971941149533961, -35.002215755498767, 1.7544204322200372]"
20171016_013133,9,8.0,64,0,0,332,0,"[1, 1, 1, 1]","[-40.18529396833685, 5.6041199805640769, -20.927965610019655, 4.1919224883783315]"
20171016_013133,9,6.0,64,0,1,336,0,"[0, 1, 1, 1]","[inf, -32.411671412869026, -29.109825587224002, -7.5277948629020379]"
20171016_013133,8,9.0,64,0,0,340,0,"[1, 1, 1, 1]","[-25.687689504243295, -22.232088713073338, -15.767723716998248, 17.935660701005094]"
20171016_013133,8,11.0,64,0,3,340,0,"[0, 1, 1, 1]","[inf, -10.683291704050028, -17.977236532874983, -22.172459939410054]"
20171016_013133,7,10.0,64,0,2,348,0,"[1, 1, 1, 0]","[-15.314287739694464, 31.531421685038811, -16.804035373763867, inf]"
20171016_013133,6,11.0,64,0,0,348,0,"[1, 1, 0, 1]","[-29.049771867819437, 32.55761304974785, inf, -24.198865076872842]"
20171016_013133,6,8.0,64,0,2,348,0,"[0, 1, 1, 1]","[inf, -0.70508483011315803, -29.982937109919675, -26.236347688378302]"
20171016_013133,7,8.0,64,0,0,352,0,"[1, 1, 1, 1]","[-28.436801243751738, 22.588211334859036, -24.954566146632438, -1.0713009788688268]"
20171016_013133,8,7.0,64,0,0,364,1,"[1, 1, 1, 1]","[-37.087638185406512, 12.599374456574244, -13.705149260940978, -16.234870336889465]"
20171016_013133,8,10.0,64,100,3,388,0,"[1, 1, 1, 1]","[-27.1983043812955, 6.5900016015898792, -20.631167627907615, -27.276751286868855]"
20171016_013133,8,4.0,64,0,2,392,0,"[1, 1, 1, 0]","[-42.362451705847683, 36.820411236985137, -98.435023901512679, inf]"
20171016_013133,7,4.0,64,0,2,408,0,"[1, 1, 1, 1]","[-33.928452931858153, 45.647170838998306, -45.999875266617607, -9.3977123897668733]"
20171016_013133,7,5.0,64,0,0,408,1,"[1, 1, 1, 1]","[-44.061268782690412, 27.646340753552806, -40.999750534272437, -12.397606792120207]"
20171016_013133,9,7.0,64,0,3,412,0,"[1, 1, 0, 1]","[-20.014202512250129, 41.675122167562947, inf, -35.124856028057927]"
20171016_013133,8,5.0,64,0,3,456,0,"[1, 1, 1, 1]","[-11.188352060035925, 6.9143316239113899, -34.875344375035141, -39.00014795919877]"
20171016_013133,8,7.0,64,0,3,456,0,"[1, 1, 1, 1]","[-19.150889359637397, 42.768599332536482, -25.894155552136709, -34.028402702990569]"
20171016_013133,7,5.0,64,0,3,460,1,"[1, 1, 1, 1]","[-26.150746639236687, 35.877998675794231, -35.856421215668192, -44.018917225315974]"
20171016_013133,7,6.0,64,0,3,460,0,"[1, 1, 1, 1]","[-22.169525579526329, 43.877897262328091, -17.818692577364978, -26.075714038786266]"
20171016_013133,7,11.0,64,0,0,464,1,"[1, 1, 1, 1]","[-28.071241249716067, 29.876987158875362, -25.748111295646765, -25.996460062125905]"
20171016_013133,7,12.0,64,0,3,472,0,"[1, 1, 1, 1]","[-10.303972854517177, 39.803500106037042, -20.818558838776568, -28.996465431924221]"
20171016_013133,6,6.0,64,0,2,480,0,"[1, 1, 1, 0]","[-23.368764579749758, 38.952873536134213, -39.819741275713376, inf]"
20171016_013133,5,6.0,64,0,2,480,0,"[1, 1, 1, 1]","[-23.234375392601287, 47.537081514742596, -34.99996304929077, -23.181132376654837]"
