id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171016_013409,14,4,2,0,0,3064,0,"[1, 1, 1, 1]","[-310.94368070953436, -0.67852919438285286, -1.9106060606060606, -1.1151515151515152]"
20171016_013409,13,6,2,0,2,0,0,"[1, 1, 1, 1]","[-1.8201104014555085, 99.279357475912192, -2.1671916451150453, 99.232364105714879]"
20171016_013409,13,5.0,4,0,0,0,0,"[1, 1, 0, 1]","[-2.636729016690559, 99.35155241142489, inf, 99.374067298285496]"
20171016_013409,13,6.0,8,0,0,4,0,"[1, 1, 0, 1]","[-1.7889335583500432, 99.20909429536087, inf, 99.431946999365522]"
20171016_013409,13,5.0,8,0,2,12,0,"[0, 1, 1, 1]","[inf, 99.495395210734387, -1.8229786473688914, 98.884159742696326]"
20171016_013409,12,5.0,8,0,2,16,0,"[0, 1, 1, 1]","[inf, 99.416389569742009, -1.5316331825932241, 98.957728519534442]"
20171016_013409,11,5.0,8,100,3,16,0,"[0, 1, 0, 1]","[inf, 99.625055304817778, inf, 99.110559613564988]"
20171016_013409,10,9.0,8,0,2,16,0,"[1, 1, 1, 1]","[98.485818772154801, 99.822238935015477, -2.4392489065623528, 98.763860644448187]"
20171016_013409,9,1.0,8,0,0,16,0,"[1, 1, 0, 1]","[-1.8774296297621818, 99.489645050820471, inf, 99.026807347493872]"
20171016_013409,11,4.0,8,0,2,16,0,"[1, 1, 1, 1]","[-1.518466724904024, 99.62975732505339, -1.7450607288929176, 99.054983497384811]"
20171016_013409,11,9.0,16,0,2,32,0,"[1, 1, 1, 1]","[-1.1024587411467142, 99.844166310180668, -1.221090844955437, 99.295938128114031]"
20171016_013409,10,9.0,16,0,2,48,0,"[0, 1, 1, 1]","[inf, -1.1046587956952489, -1.1681408255430794, 99.325988992578061]"
20171016_013409,9,9.0,16,0,2,48,0,"[1, 1, 1, 1]","[-1.1744071778916774, -1.1724746636527539, -1.3743524495509241, 99.113457085545633]"
