id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171016_020001,14,4,2,0,0,12076,0,"[1, 1, 1, 1]","[-119.21212121212122, 1.9852035984848484, -111.72727272727273, -32.181818181818187]"
20171016_020001,13,6,2,0,2,0,0,"[1, 1, 1, 1]","[-152.99316439626972, -13.017089009325716, -153.99462916849762, -14.018553781553635]"
20171016_020001,13,7,4,0,2,0,0,"[1, 1, 1, 1]","[-97.345861194373981, 2.6460008951701504, -108.11096040906563, -24.788251569938559]"
20171016_020001,12,3.0,4,0,2,4,1,"[1, 1, 1, 1]","[-104.28297803868476, -8.2918557810748723, -116.09080820747283, -34.281302364808624]"
20171016_020001,12,4.0,4,0,2,4,0,"[1, 1, 1, 1]","[-112.55730803258183, 3.7305185230381239, -130.4197707882079, -13.685479524492308]"
20171016_020001,12,4.0,8,0,0,8,0,"[1, 1, 1, 1]","[-109.72464099341029, -1.3930979316649525, -89.048756332609614, -1.5120938559402735]"
20171016_020001,12,6.0,8,0,2,16,0,"[0, 1, 1, 1]","[inf, 7.6554082491582491, -109.08080808080808, -38.629629629629626]"
20171016_020001,12,4.0,8,100,3,20,0,"[0, 1, 0, 1]","[inf, 3.609375, inf, -23.329192546583851]"
20171016_020001,11,5.0,8,0,2,24,0,"[0, 1, 1, 1]","[inf, -16.323988644428674, -356.9332860184528, -98.96451383960256]"
20171016_020001,10,3.0,8,0,0,24,1,"[1, 1, 1, 1]","[-105.27142303218301, -5.8560730903450953, -99.038774718883289, -18.316789453276463]"
20171016_020001,10,6.0,8,0,0,24,0,"[1, 1, 1, 1]","[-118.48811523449301, 0.070124345945162148, -106.69004144864839, -28.712517975179146]"
20171016_020001,10,1.0,8,0,2,28,0,"[1, 1, 1, 1]","[-107.22646392753154, 8.2210247492720807, -133.16078938854739, -6.6509220317049511]"
20171016_020001,11,5.0,16,0,2,36,1,"[1, 1, 1, 1]","[-94.846673095467693, 11.608998312439731, -105.42140790742526, -20.669720347155256]"
20171016_020001,11,4.0,16,0,0,56,0,"[1, 1, 1, 1]","[-100.80076997112609, 7.6089990375360923, -91.230028873917234, 1.3585178055822897]"
20171016_020001,11,8.0,16,0,2,60,0,"[0, 1, 1, 1]","[inf, 12.142790511727078, -88.364605543710027, -32.224946695095952]"
20171016_020001,10,8.0,16,0,0,68,0,"[1, 1, 1, 1]","[-91.340905505600247, 5.1530604196245466, -91.036809170741961, -39.510911289898509]"
20171016_020001,9,7.0,16,0,2,68,1,"[1, 1, 1, 1]","[-83.323094484512026, 13.161715871945209, -102.36460333108495, -50.141700824988327]"
20171016_020001,10,4.0,16,0,2,68,0,"[1, 1, 1, 1]","[-94.143295803480044, 13.136386898669397, -96.240532241555783, -27.848515864892526]"
20171016_020001,10,7.0,16,0,2,76,0,"[1, 1, 1, 1]","[-78.753914556350281, 9.1458051420838977, -93.536052580707519, -20.623815967523679]"
20171016_020001,9,4.0,16,0,2,84,1,"[1, 1, 1, 1]","[-84.611904068356139, -2.857486163705214, -96.009709680551524, -22.75016991940965]"
20171016_020001,9,6.0,16,0,2,84,0,"[1, 1, 1, 1]","[-85.617522192203793, 13.587056155924353, -98.575453492859907, -18.190274025472789]"
20171016_020001,10,6.0,16,0,0,88,1,"[1, 1, 1, 1]","[-95.630686497747206, 6.6039436073833633, -93.995760864299214, -13.309723366115985]"
20171016_020001,10,7.0,16,0,0,100,0,"[1, 1, 1, 1]","[-166.1371660530539, 16.91267818370622, -92.445010856225821, -48.380251109223074]"
20171016_020001,10,8.0,32,0,3,116,0,"[1, 1, 1, 1]","[-82.041993765160981, 17.61645694486301, -65.915683106814029, -82.507054129139888]"
20171016_020001,9,5.0,32,0,0,148,0,"[1, 1, 1, 1]","[-85.346980908250799, 16.982959647133615, -61.411124728829009, -78.000655398187163]"
20171016_020001,10,5.0,32,0,2,148,0,"[1, 1, 1, 0]","[-87.325299044594146, 4.9820701314003228, -89.731051971004831, inf]"
20171016_020001,9,5.0,32,0,3,160,0,"[1, 1, 1, 1]","[-82.020529665366453, 21.623408950934099, -81.958940669267093, -82.515807842332165]"
20171016_020001,9,6.0,32,0,3,160,0,"[1, 1, 1, 1]","[-77.158280360470769, 9.6718490720175634, -89.46133619259146, -89.997447090960151]"
20171016_020001,9,6.0,32,0,0,164,1,"[1, 1, 1, 0]","[-92.647397665290313, 11.970051485956059, -76.423969006473982, inf]"
20171016_020001,9,4.0,32,0,3,168,0,"[1, 1, 1, 1]","[-87.295546558704459, 25.935792004048583, -88.866396761133601, -98.08097165991903]"
20171016_020001,9,5.0,32,0,0,176,0,"[1, 1, 1, 1]","[-94.630296288805738, 28.944066639700676, -83.796642734351309, -88.992415815552633]"
20171016_020001,10,3.0,32,0,2,180,1,"[0, 1, 1, 1]","[inf, 13.636199034334764, -107.94927818962155, -57.559890753023801]"
20171016_020001,11,6.0,32,0,2,204,1,"[1, 1, 1, 1]","[-99.06209527188858, 16.640180076288477, -115.09252195511398, -33.820899494367069]"
20171016_020001,11,4.0,32,0,2,224,0,"[1, 1, 1, 1]","[-96.036711794121231, 32.442386266617881, -130.31707118754318, -14.176891490832215]"
20171016_020001,12,6.0,64,0,2,256,0,"[1, 1, 1, 1]","[-81.413204238774114, 18.608523290386522, -92.004574216665404, 3.1113821758023938]"
20171016_020001,11,4.0,64,0,2,324,1,"[1, 1, 1, 1]","[-90.357066626010052, 7.6087437109315443, -98.003049245311786, -10.889159932916602]"
20171016_020001,11,7.0,64,0,2,324,0,"[1, 1, 1, 1]","[-83.256455602605485, -1.3914334391639256, -84.012005991561509, 3.1128067721415267]"
20171016_020001,11,9.0,64,0,0,328,0,"[1, 1, 1, 1]","[-75.38871284600684, -74.999237817949009, -75.004573092305975, 12.106928425389047]"
20171016_020001,10,7.0,64,0,2,336,0,"[1, 1, 1, 1]","[-71.193986053463618, -70.419557355651833, -83.018426780683996, -7.613736637410895]"
20171016_020001,9,9.0,64,0,1,336,0,"[1, 1, 1, 1]","[-63.482541467633851, -76.040340222343858, -75.147774039458469, 0.35890729819147182]"
20171016_020001,9,10.0,64,0,2,336,0,"[1, 1, 1, 1]","[-73.479175383068252, -71.46904027962529, -73.999249529548834, 12.631847339300823]"
20171016_020001,9,7.0,64,0,2,340,0,"[1, 1, 1, 1]","[-73.352546074368149, 28.205999283298031, -77.999812381683199, 4.6310016754315697]"
20171016_020001,9,10.0,64,0,2,348,0,"[1, 1, 1, 1]","[-74.142791994677083, 33.202682396214144, -75.148316773947556, -7.6547125096253765]"
20171016_020001,9,11.0,64,0,2,352,0,"[1, 1, 1, 1]","[-70.732693372715531, 28.218386560827025, -76.952741369761867, 5.6605131991877435]"
20171016_020001,8,10.0,64,0,2,356,0,"[1, 1, 1, 1]","[-61.435868264357794, 38.117551454617988, -71.999630620114957, 14.649458489088516]"
20171016_020001,7,8.0,64,0,0,356,0,"[1, 1, 0, 1]","[-69.814389392624321, 34.11765249025872, inf, 15.64349688833078]"
20171016_020001,8,14.0,64,0,2,356,1,"[1, 1, 1, 1]","[-72.187222092206866, 27.125687456119824, -82.85958343084485, -33.391996255558155]"
20171016_020001,8,9.0,64,0,0,380,1,"[1, 1, 1, 1]","[-87.816972786126499, 15.201013562996163, -68.953130034859541, -11.679614494536715]"
20171016_020001,9,6.0,64,0,0,384,0,"[1, 1, 0, 1]","[-85.849932401982883, 16.252901081568275, inf, -35.574583145561057]"
20171016_020001,10,10.0,64,0,0,396,0,"[1, 1, 0, 1]","[-78.036902314302296, 45.25981206178502, inf, -24.293900574621752]"
20171016_020001,9,10.0,64,0,0,420,0,"[1, 1, 1, 1]","[-81.083987392010314, 30.250536037178421, -68.999752978258797, -15.263983900769716]"
20171016_020001,8,7.0,64,0,2,420,1,"[1, 1, 1, 1]","[-81.036855683672925, 38.25103985678934, -82.957879218659514, -33.398831148317804]"
20171016_020001,8,9.0,64,0,2,420,0,"[0, 1, 1, 1]","[inf, 34.957786497978894, -68.958003044779247, -57.479027770486653]"
20171016_020001,8,12.0,64,0,0,424,0,"[1, 1, 1, 1]","[-73.372220653979213, 30.240295675806969, -59.999425585410535, -64.521240210334213]"
20171016_020001,8,10.0,64,0,3,432,0,"[0, 1, 1, 1]","[inf, 39.242419295862931, -76.874634350188046, -89.302966987045551]"
20171016_020001,8,7.0,64,0,0,436,0,"[1, 1, 1, 0]","[-89.989792796370196, 17.315830930170488, -67.572394331356548, inf]"
20171016_020001,9,10.0,64,0,2,440,0,"[1, 1, 1, 1]","[-77.079813955235323, 10.324241845674241, -91.296907913475408, -47.847189140294148]"
20171016_020001,9,6.0,64,0,2,464,0,"[1, 1, 1, 1]","[-70.047337119807509, 21.237552826962393, -77.999925687410041, -37.138951910093652]"
20171016_020001,9,10.0,64,100,3,496,0,"[0, 1, 0, 1]","[inf, -35.132015231269563, inf, -35.663136672861988]"
