id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171014_143158,14,4,2,5,2,6700,6,"[1, 1, 1, 1]","[74, 74, -10, -10]"
20171014_143158,13,6,2,0,2,0,5,"[1, 1, 1, 1]","[-6, 94, -15, 85]"
20171014_143158,12,2,2,0,0,0,6,"[1, 1, 1, 1]","[-13, 87, -7, -7]"
20171014_143158,12,5,4,0,0,0,6,"[1, 1, 1, 1]","[-21, 87, -2, 90]"
20171014_143158,12,3,4,0,0,4,5,"[1, 1, 1, 1]","[-14, 94, 1, 101]"
20171014_143158,11,6,4,0,0,8,4,"[1, 1, 1, 1]","[-15, 93, -9, 91]"
20171014_143158,10,1,4,0,3,8,6,"[1, 1, 1, 1]","[-7, 101, -13, -21]"
20171014_143158,12,4,8,5,2,8,6,"[1, 1, 1, 1]","[-11, -11, -21, 87]"
20171014_143158,12,3,8,0,0,24,6,"[1, 1, 0, 1]","[-1, 95, 9999, 98]"
20171014_143158,12,8,16,0,2,32,5,"[0, 1, 1, 1]","[9999, 106, 2, 90]"
20171014_143158,11,8,16,0,0,48,5,"[1, 1, 1, 1]","[-5, 91, -3, 93]"
20171014_143158,10,6,16,0,0,48,4,"[1, 1, 1, 1]","[-6, 94, 13, 109]"
20171014_143158,9,3,16,0,2,48,6,"[1, 1, 1, 1]","[-6, 102, -7, 89]"
20171014_143158,10,6,16,0,0,48,5,"[1, 1, 1, 1]","[-8, 92, 3, 103]"
20171014_143158,9,5,16,0,0,56,5,"[1, 1, 1, 1]","[-8, 92, -5, 95]"
20171014_143158,9,5,16,0,0,56,5,"[1, 1, 1, 1]","[-5, 95, 7, 107]"
20171014_143158,10,7,16,0,0,60,4,"[1, 1, 1, 1]","[1, 101, 3, 91]"
20171014_143158,10,7,16,0,2,72,5,"[1, 1, 1, 1]","[10, 106, 3, 95]"
20171014_143158,10,4,16,0,0,80,4,"[1, 1, 1, 1]","[2, 102, 22, 114]"
20171014_143158,9,7,16,0,2,96,4,"[1, 1, 1, 1]","[2, 106, -2, 98]"
20171014_143158,9,5,32,0,0,96,5,"[1, 1, 0, 1]","[-9, 91, 9999, 113]"
20171014_143158,10,6,32,0,2,128,4,"[1, 1, 1, 1]","[2, 98, -3, 93]"
20171014_143158,10,6,32,0,0,136,4,"[1, 1, 0, 1]","[13, 105, 9999, 104]"
20171014_143158,10,6,32,0,2,144,4,"[0, 1, 1, 1]","[9999, 104, 5, 105]"
20171014_143158,10,7,32,0,1,152,4,"[0, 1, 0, 1]","[9999, 10, 9999, 112]"
20171014_143158,9,8,32,0,0,156,4,"[1, 1, 0, 1]","[-1, 7, 9999, 113]"
20171014_143158,8,5,32,0,1,156,3,"[0, 1, 1, 1]","[9999, 14, 16, 124]"
20171014_143158,7,8,32,0,0,156,3,"[1, 0, 1, 1]","[11, 9999, 22, 122]"
20171014_143158,6,6,32,0,2,156,3,"[1, 1, 1, 1]","[19, 11, 6, 106]"
20171014_143158,7,6,32,0,2,156,2,"[1, 1, 1, 1]","[18, 14, 12, 112]"
20171014_143158,7,8,32,0,1,176,3,"[1, 1, 1, 1]","[18, 10, 10, 106]"
20171014_143158,7,8,32,0,0,184,3,"[1, 1, 1, 1]","[7, 15, 18, 146]"
20171014_143158,6,9,32,0,2,188,3,"[1, 1, 1, 1]","[15, 11, 10, 114]"
20171014_143158,7,7,32,0,1,188,3,"[1, 1, 0, 1]","[22, 14, 9999, 19]"
20171014_143158,7,8,32,0,2,200,3,"[1, 0, 1, 1]","[15, 9999, 2, 102]"
20171014_143158,7,4,32,0,0,216,4,"[1, 1, 1, 1]","[11, 95, 34, 114]"
20171014_143158,8,8,32,0,2,220,4,"[1, 1, 1, 1]","[18, 102, -1, 99]"
20171014_143158,8,6,32,0,2,232,4,"[1, 1, 1, 1]","[21, 109, 19, 107]"
20171014_143158,8,13,32,0,2,236,3,"[1, 1, 1, 1]","[24, 120, 22, 102]"
20171014_143158,7,11,32,0,1,244,3,"[0, 1, 0, 1]","[9999, -5, 9999, 105]"
20171014_143158,6,4,32,0,1,244,2,"[1, 1, 1, 1]","[38, -2, 7, 139]"
20171014_143158,5,3,32,0,2,244,4,"[1, 0, 1, 1]","[25, 9999, -9, 111]"
20171014_143158,8,3,32,0,2,244,4,"[1, 1, 1, 1]","[6, 122, 3, 123]"
20171014_143158,8,7,32,0,2,300,4,"[1, 1, 1, 1]","[21, 121, -5, 111]"
20171014_143158,8,4,32,0,0,308,4,"[1, 1, 0, 1]","[22, 102, 9999, 130]"
20171014_143158,9,12,64,0,0,312,3,"[1, 1, 1, 1]","[17, 105, 33, 121]"
20171014_143158,8,10,64,0,0,384,3,"[1, 1, 1, 1]","[21, 117, 25, 129]"
20171014_143158,8,13,64,0,0,384,3,"[1, 1, 1, 1]","[17, 109, 30, 30]"
20171014_143158,8,9,64,0,3,388,3,"[0, 1, 0, 1]","[9999, 114, 9999, 14]"
20171014_143158,7,11,64,0,0,392,4,"[1, 1, 1, 1]","[15, 119, 35, 19]"
20171014_143158,8,10,64,0,2,392,3,"[0, 1, 1, 1]","[9999, 138, 1, 117]"
20171014_143158,8,6,64,0,2,404,3,"[1, 1, 1, 1]","[18, 138, 9, 113]"
20171014_143158,8,8,64,0,0,420,3,"[1, 1, 1, 1]","[13, 137, 16, 120]"
20171014_143158,8,10,64,0,3,424,3,"[1, 1, 1, 1]","[18, 138, 14, 10]"
20171014_143158,7,9,64,0,2,456,2,"[1, 1, 1, 1]","[16, 140, 13, 17]"
20171014_143158,6,8,64,0,2,456,2,"[1, 1, 1, 1]","[33, 129, 18, 30]"
20171014_143158,5,6,64,0,0,456,3,"[1, 1, 0, 1]","[10, 138, 9999, 27]"
20171014_143158,7,10,64,0,2,456,2,"[1, 1, 1, 1]","[17, 117, 12, 112]"
