id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_221625,14,5,4,5,0,10156,6,"[1, 1, 1, 1]","[108, 108, 108, 108]"
20171012_221625,13,4,4,5,2,0,6,"[1, 1, 1, 1]","[104, 104, 16, 116]"
20171012_221625,12,8,4,0,0,0,6,"[1, 1, 1, 1]","[4, 112, 8, 108]"
20171012_221625,12,3,4,0,2,0,6,"[1, 1, 1, 1]","[12, 120, 8, 58]"
20171012_221625,13,4,8,0,2,4,6,"[0, 1, 1, 1]","[999, 116, 16, 116]"
20171012_221625,12,6,8,0,0,16,6,"[1, 1, 1, 1]","[12, 104, 20, 120]"
20171012_221625,12,6,8,0,0,16,6,"[1, 1, 1, 1]","[4, 112, 24, 116]"
20171012_221625,12,3,8,0,2,20,6,"[0, 1, 1, 1]","[999, 120, 24, 120]"
20171012_221625,12,8,16,0,2,28,5,"[1, 1, 1, 1]","[32, 124, 24, 124]"
20171012_221625,11,5,16,0,2,44,5,"[1, 1, 1, 1]","[24, 120, 16, 116]"
20171012_221625,11,6,16,0,2,44,4,"[1, 1, 1, 1]","[24, 124, 20, 120]"
20171012_221625,10,8,16,0,2,48,3,"[1, 1, 1, 1]","[36, 120, 20, 120]"
20171012_221625,9,6,16,0,0,48,3,"[1, 1, 0, 1]","[28, 116, 999, 28]"
20171012_221625,9,5,16,0,0,48,3,"[1, 1, 1, 1]","[20, 116, 24, 32]"
20171012_221625,9,3,16,0,0,56,3,"[1, 1, 1, 1]","[24, 120, 24, 124]"
20171012_221625,8,4,16,0,0,60,3,"[1, 1, 1, 1]","[20, 128, 28, 104]"
20171012_221625,8,7,16,0,0,60,3,"[1, 1, 1, 1]","[16, 112, 24, 108]"
20171012_221625,7,3,16,0,0,64,3,"[1, 1, 1, 1]","[12, 116, 20, 120]"
20171012_221625,7,3,16,0,0,64,3,"[1, 1, 1, 1]","[16, 116, 28, 132]"
20171012_221625,7,6,16,0,0,68,3,"[1, 1, 1, 1]","[24, 124, 24, 124]"
20171012_221625,7,8,16,0,3,72,3,"[1, 1, 1, 1]","[24, 124, 24, 16]"
20171012_221625,7,6,16,0,3,80,3,"[1, 1, 1, 1]","[32, 98, 16, 12]"
20171012_221625,7,4,16,0,0,84,4,"[1, 1, 1, 0]","[20, 74, 32, 999]"
