id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_222623,14,4,2,0,3,2860,6,"[1, 1, 1, 1]","[34, 34, 34, -16]"
20171012_222623,13,6,2,0,2,0,6,"[1, 1, 1, 1]","[35, 35, -15, 35]"
20171012_222623,13,7,4,0,2,0,5,"[1, 1, 1, 1]","[-15, 85, -17, 33]"
20171012_222623,12,4,4,0,0,4,6,"[1, 1, 1, 1]","[-16, 34, -15, 35]"
20171012_222623,12,5,4,0,2,4,5,"[1, 1, 1, 1]","[-13, 37, -15, 35]"
20171012_222623,12,5,8,0,2,8,5,"[1, 1, 1, 1]","[-12, 88, -13, 36]"
20171012_222623,11,6,8,0,2,16,5,"[1, 1, 1, 1]","[-12, 87, -15, 38]"
20171012_222623,11,5,8,0,0,16,5,"[1, 1, 1, 1]","[-15, 35, -13, 39]"
20171012_222623,11,4,8,0,2,20,4,"[1, 1, 1, 1]","[-10, 40, -11, 92]"
20171012_222623,10,5,8,0,2,28,4,"[1, 1, 1, 1]","[-8, 88, -11, 92]"
20171012_222623,9,3,8,0,0,28,5,"[1, 1, 1, 1]","[-11, 91, -9, 91]"
20171012_222623,10,4,16,0,2,28,5,"[1, 1, 1, 1]","[-12, 88, -13, 87]"
20171012_222623,11,6,16,0,3,48,4,"[0, 1, 0, 1]","[999, 93, 999, 90]"
20171012_222623,10,9,16,5,2,60,4,"[1, 1, 1, 1]","[94, 94, -9, 92]"
20171012_222623,9,7,16,0,0,60,4,"[1, 1, 1, 1]","[-12, 88, -7, 90]"
20171012_222623,9,4,16,0,0,60,3,"[1, 1, 1, 1]","[-9, 93, -9, 91]"
20171012_222623,8,3,16,0,0,64,3,"[1, 1, 1, 1]","[-7, 96, -6, 88]"
20171012_222623,8,8,16,0,2,64,4,"[1, 1, 1, 1]","[-5, 96, -6, -6]"
20171012_222623,8,10,16,0,3,68,4,"[1, 1, 1, 1]","[-2, 93, -4, -6]"
20171012_222623,7,8,16,0,0,76,3,"[1, 1, 1, 1]","[-4, 43, -3, -3]"
20171012_222623,7,9,16,0,2,76,3,"[1, 1, 1, 1]","[-4, 45, -9, 93]"
20171012_222623,7,4,16,0,2,80,3,"[1, 1, 1, 1]","[-7, 98, -9, 44]"
20171012_222623,8,5,16,0,0,88,4,"[1, 1, 1, 1]","[-10, 93, -4, 46]"
20171012_222623,8,5,16,0,0,108,4,"[1, 1, 1, 1]","[-14, 86, -6, 93]"
20171012_222623,9,2,16,0,2,112,5,"[1, 1, 1, 1]","[-10, 93, -11, 89]"
20171012_222623,11,8,32,0,2,124,5,"[1, 1, 1, 1]","[-7, 93, -10, 90]"
20171012_222623,11,9,32,0,2,180,5,"[1, 1, 1, 1]","[-7, 91, -10, 90]"
20171012_222623,10,8,32,0,2,184,5,"[1, 1, 1, 1]","[-4, 90, -7, 93]"
20171012_222623,9,7,32,0,2,184,5,"[1, 1, 1, 1]","[-6, 90, -9, 91]"
20171012_222623,9,8,32,0,0,184,3,"[1, 1, 1, 1]","[-5, 95, -4, 92]"
20171012_222623,8,9,32,0,2,188,4,"[1, 1, 1, 1]","[-4, 96, -6, 92]"
20171012_222623,8,9,32,0,1,188,4,"[1, 1, 0, 1]","[-4, -8, 999, 94]"
20171012_222623,8,4,32,0,2,196,4,"[1, 0, 1, 1]","[-4, 999, -12, 38]"
20171012_222623,9,2,32,0,0,200,4,"[1, 1, 1, 1]","[-12, 87, -8, 41]"
20171012_222623,9,0,32,0,2,220,3,"[1, 1, 1, 1]","[-8, 89, -11, 94]"
20171012_222623,9,4,32,0,2,252,3,"[1, 1, 1, 1]","[-7, 92, -9, 96]"
20171012_222623,9,6,32,0,2,260,3,"[1, 1, 1, 1]","[-5, 96, -7, 96]"
20171012_222623,8,6,32,0,0,264,3,"[1, 1, 0, 1]","[-3, 96, 999, -1]"
20171012_222623,8,11,64,0,3,264,4,"[1, 1, 1, 1]","[-5, 94, -6, -8]"
20171012_222623,8,7,64,0,0,328,4,"[1, 1, 1, 1]","[-9, 46, -2, -6]"
20171012_222623,9,10,64,0,0,332,4,"[1, 1, 1, 1]","[-9, 44, -5, 91]"
20171012_222623,9,9,64,0,2,344,4,"[1, 1, 1, 1]","[-7, 45, -9, 94]"
20171012_222623,9,5,64,0,0,352,4,"[1, 1, 1, 1]","[-9, 97, -7, 91]"
20171012_222623,9,6,64,0,2,368,4,"[0, 1, 1, 1]","[999, 96, -4, 91]"
20171012_222623,9,14,64,0,0,372,4,"[1, 1, 1, 1]","[-6, 94, -4, 93]"
20171012_222623,9,11,64,0,2,380,4,"[1, 1, 1, 1]","[-3, 97, -7, 93]"
