id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_225017,14,6,2,5,0,4156,6,"[1, 1, 1, 1]","[-14, -14, -14, -14]"
20171012_225017,13,1,4,5,2,0,7,"[0, 1, 1, 1]","[999, 91, -14, -14]"
20171012_225017,13,2,4,0,0,0,5,"[1, 1, 1, 1]","[-5, 45, 10, 60]"
20171012_225017,12,4,4,0,0,4,5,"[1, 1, 1, 1]","[0, 108, 11, 111]"
20171012_225017,11,5,4,0,0,4,4,"[1, 1, 1, 1]","[-7, 101, 20, 104]"
20171012_225017,10,0,4,0,3,4,6,"[0, 1, 1, 1]","[999, 90, -1, -9]"
20171012_225017,12,3,8,5,0,4,5,"[1, 1, 1, 1]","[-5, -5, 8, 100]"
20171012_225017,12,4,8,0,3,20,6,"[0, 1, 1, 1]","[999, 70, 99, 15]"
20171012_225017,12,9,16,0,0,28,5,"[1, 1, 1, 1]","[24, 108, 108, 24]"
20171012_225017,11,11,16,0,3,44,5,"[1, 1, 1, 1]","[20, 116, 100, 4]"
20171012_225017,11,7,16,0,3,44,5,"[1, 1, 1, 1]","[24, 108, 113, 9]"
20171012_225017,10,5,16,0,0,48,5,"[1, 1, 1, 0]","[12, 112, 110, 999]"
20171012_225017,11,4,16,0,0,48,5,"[1, 1, 1, 1]","[8, 108, 101, 13]"
20171012_225017,11,7,16,0,3,60,4,"[1, 1, 1, 1]","[13, 113, 101, 9]"
20171012_225017,10,6,16,0,2,64,4,"[0, 1, 1, 0]","[999, 118, 14, 999]"
20171012_225017,9,7,16,0,3,64,4,"[0, 1, 0, 1]","[999, 53, 999, 11]"
20171012_225017,8,4,16,0,0,64,4,"[1, 1, 1, 1]","[-2, 98, 4, 16]"
20171012_225017,9,3,16,0,3,64,6,"[0, 1, 1, 1]","[999, 111, 101, 5]"
20171012_225017,10,6,16,0,3,72,6,"[0, 1, 1, 1]","[999, 126, 93, 9]"
20171012_225017,10,9,16,0,0,88,4,"[1, 1, 1, 1]","[2, 94, 108, 8]"
20171012_225017,9,6,16,0,0,104,4,"[1, 1, 1, 1]","[3, 111, 117, 13]"
20171012_225017,8,5,16,0,0,104,3,"[1, 1, 1, 1]","[12, 116, 122, 26]"
20171012_225017,7,9,16,0,0,104,3,"[1, 1, 1, 1]","[4, 116, 115, 19]"
20171012_225017,7,7,16,0,0,104,2,"[1, 1, 1, 1]","[-3, 113, 102, 2]"
20171012_225017,6,3,16,0,0,108,1,"[1, 1, 1, 1]","[-2, 102, 110, 10]"
20171012_225017,5,3,16,0,0,108,2,"[1, 1, 1, 1]","[6, 106, 115, 15]"
20171012_225017,5,2,16,0,0,108,2,"[1, 1, 1, 1]","[5, 121, 112, 12]"
20171012_225017,6,9,16,0,0,112,1,"[1, 1, 1, 1]","[2, 106, 103, 11]"
20171012_225017,5,4,16,0,3,124,5,"[1, 1, 1, 1]","[10, 110, 107, 3]"
20171012_225017,8,5,32,0,3,124,4,"[1, 1, 1, 1]","[15, 111, 123, 11]"
20171012_225017,8,7,32,0,0,180,3,"[1, 1, 1, 1]","[19, 107, 124, 20]"
20171012_225017,8,9,32,0,0,188,3,"[1, 1, 1, 1]","[23, 119, 131, 27]"
20171012_225017,8,7,32,0,0,196,3,"[1, 1, 1, 1]","[15, 111, 27, 19]"
20171012_225017,8,4,32,0,3,200,5,"[0, 1, 1, 1]","[999, 116, 110, 6]"
