id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_231034,14,4,2,5,2,3232,6,"[1, 1, 1, 1]","[74, 74, -26, -26]"
20171012_231034,13,0,2,0,1,0,7,"[1, 1, 0, 1]","[80, -20, 999, 77]"
20171012_231034,13,5,4,0,2,0,6,"[1, 0, 1, 1]","[95, 999, -10, 90]"
20171012_231034,13,6,8,0,1,4,6,"[1, 1, 1, 1]","[99, -1, 1, 101]"
20171012_231034,12,4,8,0,2,12,6,"[1, 0, 1, 1]","[94, 999, -9, 87]"
20171012_231034,12,6,8,0,1,12,5,"[1, 1, 1, 1]","[98, -2, 2, 98]"
20171012_231034,11,7,8,0,1,16,5,"[1, 1, 0, 1]","[86, -6, 999, 97]"
20171012_231034,11,6,8,0,1,16,5,"[1, 1, 1, 1]","[91, -1, 5, 105]"
20171012_231034,10,6,8,0,0,20,4,"[1, 0, 0, 1]","[86, 999, 999, 86]"
20171012_231034,9,2,8,5,1,20,3,"[0, 1, 1, 1]","[999, -11, 95, 107]"
20171012_231034,8,4,8,0,2,20,4,"[1, 0, 1, 1]","[126, 999, -15, 93]"
20171012_231034,10,3,8,0,2,20,4,"[1, 1, 1, 1]","[-6, -6, -10, 106]"
20171012_231034,9,4,8,0,2,36,3,"[1, 1, 1, 1]","[3, 3, -3, 113]"
20171012_231034,8,2,8,0,2,36,4,"[1, 1, 1, 1]","[-6, -2, -13, 103]"
20171012_231034,8,3,8,0,2,36,4,"[1, 1, 1, 1]","[6, -2, -17, 83]"
20171012_231034,8,2,8,0,2,40,4,"[1, 1, 1, 1]","[3, 3, -1, 111]"
20171012_231034,8,2,16,0,1,48,6,"[1, 1, 0, 1]","[81, -19, 999, 92]"
20171012_231034,10,3,16,0,2,64,5,"[1, 1, 1, 1]","[90, -10, -12, 88]"
20171012_231034,9,4,16,0,1,80,5,"[1, 1, 1, 1]","[99, -1, -1, 87]"
20171012_231034,10,3,16,0,2,80,5,"[1, 1, 1, 1]","[122, 14, -5, 99]"
20171012_231034,10,6,16,0,1,104,4,"[1, 1, 1, 1]","[101, -3, 6, 106]"
20171012_231034,10,6,32,0,1,108,4,"[1, 1, 1, 1]","[101, 5, 5, 97]"
20171012_231034,10,10,32,0,1,140,4,"[1, 1, 1, 1]","[102, 10, 10, 10]"
20171012_231034,9,8,32,0,2,144,4,"[1, 0, 1, 1]","[113, 999, 7, 15]"
20171012_231034,8,6,32,0,3,144,4,"[1, 1, 1, 1]","[121, 9, 15, 7]"
20171012_231034,8,8,32,0,3,144,4,"[1, 1, 1, 1]","[135, 23, 3, -1]"
20171012_231034,8,10,32,0,1,148,4,"[1, 1, 1, 1]","[98, 6, 9, 9]"
20171012_231034,9,8,32,0,2,152,4,"[1, 1, 1, 1]","[131, 15, 14, 114]"
20171012_231034,9,6,32,0,1,168,3,"[1, 1, 1, 1]","[101, 9, 18, 118]"
20171012_231034,8,4,32,0,2,184,3,"[1, 1, 1, 1]","[105, 9, -3, 105]"
20171012_231034,8,5,32,0,1,184,4,"[1, 1, 1, 1]","[98, -2, 4, 112]"
20171012_231034,9,6,32,0,1,188,4,"[1, 1, 1, 1]","[90, -10, 10, 18]"
20171012_231034,9,4,32,0,1,200,3,"[1, 1, 1, 1]","[113, 1, 5, 105]"
20171012_231034,8,2,32,0,2,204,4,"[1, 0, 1, 1]","[96, 999, 5, 105]"
20171012_231034,10,8,32,0,0,204,4,"[1, 0, 0, 1]","[90, 999, 999, 90]"
20171012_231034,9,4,32,5,1,232,3,"[1, 1, 1, 1]","[101, 25, 87, 111]"
20171012_231034,8,12,32,0,3,232,4,"[1, 1, 1, 1]","[97, 21, 20, 16]"
20171012_231034,7,10,32,0,2,232,3,"[1, 0, 1, 0]","[117, 999, 11, 999]"
20171012_231034,6,8,32,0,1,232,3,"[1, 1, 1, 1]","[102, 18, 18, 26]"
20171012_231034,7,10,32,0,2,232,3,"[1, 0, 1, 1]","[121, 999, 25, 121]"
20171012_231034,8,12,64,0,1,272,3,"[1, 1, 1, 1]","[118, 22, 32, 128]"
20171012_231034,7,10,64,0,2,340,3,"[1, 0, 1, 1]","[113, 999, 10, 122]"
20171012_231034,7,9,64,0,1,340,3,"[1, 1, 0, 1]","[109, 17, 999, 135]"
20171012_231034,8,10,64,0,1,344,3,"[1, 1, 1, 1]","[105, 13, 25, 109]"
20171012_231034,8,5,64,0,1,356,3,"[1, 1, 1, 1]","[105, 5, 10, 102]"
20171012_231034,8,7,64,0,1,360,3,"[1, 1, 1, 1]","[121, 17, 24, 124]"
20171012_231034,8,7,64,0,3,368,4,"[1, 0, 1, 1]","[122, 999, 15, -5]"
20171012_231034,8,5,64,0,3,384,4,"[1, 1, 1, 1]","[138, 6, 12, 0]"
20171012_231034,7,6,64,0,3,388,3,"[1, 1, 1, 1]","[151, 11, 11, 7]"
20171012_231034,6,7,64,0,1,388,3,"[1, 1, 1, 1]","[142, 18, 22, 18]"
20171012_231034,7,12,64,0,2,388,3,"[1, 1, 1, 1]","[150, 10, 1, 97]"
20171012_231034,8,6,64,0,1,412,4,"[1, 1, 1, 1]","[123, 7, 16, 100]"
20171012_231034,8,8,64,0,1,448,4,"[1, 1, 1, 1]","[106, 6, 19, 23]"
20171012_231034,9,7,64,0,3,452,4,"[1, 0, 1, 1]","[133, 999, 15, -5]"
20171012_231034,8,7,64,0,3,464,3,"[1, 1, 1, 1]","[98, -2, 10, -6]"
20171012_231034,7,4,64,0,3,464,3,"[1, 1, 1, 1]","[146, 10, 18, -2]"
20171012_231034,7,6,64,0,3,464,3,"[1, 1, 1, 1]","[145, 21, 14, 6]"
20171012_231034,7,7,64,0,1,468,4,"[1, 1, 1, 1]","[151, 11, 15, 15]"
20171012_231034,8,7,64,0,1,476,4,"[1, 1, 1, 1]","[107, -9, 15, 7]"
20171012_231034,8,2,64,0,1,500,4,"[1, 1, 1, 1]","[107, -5, -4, 96]"
20171012_231034,8,5,64,0,2,516,5,"[1, 1, 1, 1]","[100, 0, -8, 92]"
20171012_231034,9,7,64,0,1,520,3,"[1, 1, 1, 1]","[145, 1, 3, 103]"
20171012_231034,8,2,64,0,1,556,3,"[1, 1, 1, 1]","[149, 5, 12, 88]"
