id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_211830,14,0,2,5,0,7032,6,"[1, 1, 1, 1]","[-26, -26, -26, -26]"
20171012_211830,14,2,2,0,0,0,6,"[1, 1, 1, 1]","[-18, -18, -18, -18]"
20171012_211830,13,3,4,5,3,0,6,"[0, 1, 1, 1]","[999, 79, 79, -13]"
20171012_211830,12,2,4,0,3,4,5,"[1, 1, 1, 1]","[-2, 90, 82, -14]"
20171012_211830,12,0,4,0,2,4,5,"[1, 1, 1, 1]","[-10, -10, -22, -22]"
20171012_211830,13,3,4,0,0,4,6,"[1, 1, 1, 1]","[-20, -20, -11, -11]"
20171012_211830,12,6,4,0,0,8,6,"[1, 1, 1, 1]","[-16, 84, -2, 2]"
20171012_211830,12,2,8,0,0,12,6,"[1, 1, 1, 1]","[-8, 92, -6, 86]"
20171012_211830,11,6,8,0,0,20,5,"[1, 1, 0, 1]","[-1, 83, 999, 103]"
20171012_211830,10,3,8,0,2,24,4,"[1, 1, 1, 1]","[6, 86, -2, 94]"
20171012_211830,10,4,8,0,0,24,6,"[1, 1, 1, 1]","[-19, 81, 6, 98]"
20171012_211830,11,5,8,0,0,24,5,"[1, 1, 1, 1]","[-14, -14, -7, 101]"
20171012_211830,12,2,8,0,2,32,6,"[1, 1, 1, 1]","[-11, -11, -16, 84]"
20171012_211830,11,2,16,0,0,48,6,"[1, 1, 1, 1]","[-8, 92, -5, 87]"
20171012_211830,11,6,16,0,0,64,5,"[1, 1, 1, 1]","[3, 103, 3, 103]"
20171012_211830,11,6,16,0,2,68,5,"[1, 1, 1, 1]","[7, 107, -9, 103]"
20171012_211830,10,7,16,0,2,68,4,"[1, 1, 1, 1]","[7, 91, 2, 110]"
20171012_211830,10,5,16,0,2,72,4,"[1, 1, 1, 1]","[18, 86, -2, 102]"
20171012_211830,9,5,16,0,2,72,3,"[1, 1, 1, 1]","[6, 106, -3, 105]"
20171012_211830,8,9,16,0,0,76,5,"[1, 1, 1, 1]","[-9, 87, 2, 122]"
20171012_211830,10,2,16,0,1,76,5,"[1, 1, 0, 1]","[-9, -17, 999, 90]"
20171012_211830,11,2,16,0,2,96,5,"[1, 1, 1, 1]","[13, 5, -13, 87]"
20171012_211830,10,0,16,0,2,112,4,"[1, 1, 1, 1]","[126, 2, -18, 82]"
20171012_211830,9,4,16,0,2,120,3,"[1, 1, 1, 1]","[114, 6, -7, 101]"
20171012_211830,9,7,16,0,2,120,3,"[1, 1, 1, 1]","[114, 6, 1, 113]"
20171012_211830,8,2,16,0,1,120,4,"[1, 1, 0, 1]","[117, 5, 999, 96]"
20171012_211830,10,4,32,0,1,124,3,"[1, 1, 1, 1]","[120, 8, 10, 98]"
20171012_211830,10,4,32,0,2,176,4,"[1, 1, 1, 1]","[117, 13, -2, -2]"
20171012_211830,9,3,32,0,3,176,4,"[1, 1, 1, 1]","[102, 10, 3, -5]"
20171012_211830,8,8,32,0,0,180,4,"[1, 1, 1, 0]","[-2, -2, 16, 999]"
20171012_211830,9,6,32,0,3,180,4,"[1, 1, 1, 1]","[24, 24, 15, 7]"
20171012_211830,8,8,32,0,3,192,3,"[1, 1, 1, 1]","[31, 143, 26, 18]"
20171012_211830,8,9,32,0,3,192,3,"[1, 1, 1, 1]","[24, 124, 30, 22]"
20171012_211830,7,8,32,0,0,192,4,"[1, 1, 1, 1]","[15, 15, 17, 21]"
20171012_211830,8,9,32,0,2,196,3,"[0, 1, 1, 1]","[999, 34, 22, 22]"
20171012_211830,7,8,32,0,2,208,2,"[1, 1, 1, 1]","[29, 137, 21, 21]"
20171012_211830,7,10,32,0,0,208,4,"[1, 1, 1, 1]","[17, 125, 29, 29]"
20171012_211830,6,11,32,0,0,208,3,"[1, 1, 0, 1]","[23, 135, 999, 34]"
20171012_211830,7,5,32,0,3,212,2,"[1, 1, 1, 1]","[30, 130, 13, 9]"
20171012_211830,7,6,32,0,0,220,3,"[1, 1, 1, 1]","[6, 138, 21, 13]"
20171012_211830,9,7,32,0,2,236,4,"[0, 1, 1, 1]","[999, 145, 39, 111]"
20171012_211830,8,16,64,0,3,272,4,"[0, 1, 0, 1]","[999, 152, 999, 48]"
