id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_213035,14,0,2,5,0,10044,6,"[1, 1, 1, 1]","[74, 74, 83, 83]"
20171012_213035,13,1,4,0,2,0,7,"[0, 1, 1, 1]","[999, 56, -28, 47]"
20171012_213035,13,2,4,0,0,0,5,"[1, 1, 1, 1]","[-19, 56, -2, 73]"
20171012_213035,12,2,4,0,2,4,6,"[0, 1, 1, 1]","[999, 61, -1, 83]"
20171012_213035,12,9,8,0,0,4,5,"[1, 1, 1, 1]","[2, 90, 2, 90]"
20171012_213035,11,8,8,0,0,12,5,"[1, 1, 1, 1]","[-10, 90, 13, 109]"
20171012_213035,11,5,8,0,2,12,5,"[1, 1, 1, 1]","[-3, 97, -22, 53]"
20171012_213035,11,2,8,0,0,16,5,"[1, 1, 1, 1]","[-10, 98, -8, 67]"
20171012_213035,11,5,8,0,0,24,4,"[1, 1, 1, 1]","[-15, 93, 2, 102]"
20171012_213035,10,1,8,0,0,28,4,"[1, 1, 1, 1]","[-7, 101, -4, 96]"
20171012_213035,10,5,8,0,0,28,4,"[1, 1, 1, 1]","[-15, 93, 5, 105]"
20171012_213035,10,3,8,0,0,32,4,"[1, 1, 1, 1]","[-10, 106, 2, -2]"
20171012_213035,9,6,8,0,0,36,4,"[1, 1, 1, 1]","[-13, 95, -1, -9]"
20171012_213035,8,1,8,0,0,36,4,"[1, 1, 1, 1]","[-9, 99, -9, -9]"
20171012_213035,8,4,8,0,0,36,4,"[1, 1, 1, 1]","[-14, 90, 7, 7]"
20171012_213035,9,4,8,0,0,40,4,"[1, 1, 1, 1]","[-19, 56, 9, 109]"
20171012_213035,10,2,8,0,2,52,5,"[1, 1, 1, 1]","[-7, 1, -10, 65]"
20171012_213035,11,5,16,0,2,68,5,"[0, 1, 1, 1]","[999, 117, 10, 118]"
20171012_213035,11,12,32,0,2,100,4,"[1, 1, 1, 1]","[14, 102, 5, 113]"
20171012_213035,10,8,32,0,2,132,4,"[1, 1, 1, 1]","[13, 109, -2, 98]"
20171012_213035,9,6,32,0,2,132,4,"[1, 1, 1, 1]","[5, 97, 2, 106]"
20171012_213035,9,7,32,0,2,132,4,"[1, 1, 1, 1]","[22, 14, 3, 99]"
20171012_213035,8,7,32,0,2,136,4,"[1, 1, 1, 1]","[19, 19, -1, 99]"
20171012_213035,8,4,32,0,1,136,4,"[1, 1, 1, 1]","[3, -1, 3, 111]"
20171012_213035,8,10,32,0,2,140,4,"[1, 1, 1, 1]","[9, 9, 6, 73]"
20171012_213035,9,8,32,0,0,144,4,"[1, 1, 0, 1]","[10, 114, 999, 88]"
20171012_213035,9,6,32,0,0,160,4,"[1, 1, 0, 1]","[2, 110, 999, 101]"
20171012_213035,9,7,32,0,2,176,5,"[1, 1, 1, 1]","[9, 117, -5, 91]"
20171012_213035,10,6,32,0,2,180,4,"[1, 1, 1, 1]","[9, 113, 6, 114]"
20171012_213035,9,4,32,0,0,192,4,"[1, 1, 0, 1]","[9, 113, 999, 97]"
