id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_213450,14,0,2,0,3,3096,6,"[1, 1, 0, 1]","[27, 7, 999, -6]"
20171012_213450,13,2,2,0,2,0,5,"[1, 1, 1, 1]","[46, 26, 13, 13]"
20171012_213450,12,4,2,0,2,0,4,"[1, 1, 1, 1]","[11, 31, -20, 0]"
20171012_213450,11,2,2,0,0,0,6,"[1, 1, 1, 1]","[-9, 11, 12, 12]"
20171012_213450,12,4,4,0,2,0,5,"[1, 1, 1, 1]","[41, 93, -6, 118]"
20171012_213450,11,4,4,0,2,8,5,"[1, 1, 1, 1]","[26, 142, -13, 79]"
20171012_213450,10,3,4,0,2,8,5,"[1, 1, 1, 1]","[38, 178, -5, -1]"
20171012_213450,10,1,4,0,2,8,4,"[1, 1, 1, 1]","[24, 24, 17, 45]"
20171012_213450,10,5,8,0,2,12,4,"[1, 1, 1, 1]","[43, 119, -3, 17]"
20171012_213450,10,3,8,0,2,20,4,"[1, 1, 1, 1]","[23, 111, 0, 20]"
20171012_213450,11,4,8,0,0,24,5,"[1, 1, 0, 1]","[86, 202, 999, 125]"
20171012_213450,11,5,16,0,0,36,6,"[1, 1, 0, 1]","[52, 184, 999, 161]"
20171012_213450,11,6,16,0,0,52,5,"[1, 1, 1, 1]","[54, 114, 65, 157]"
20171012_213450,11,4,16,0,2,56,5,"[0, 1, 1, 1]","[999, 117, 86, 162]"
20171012_213450,11,8,16,0,2,64,4,"[1, 1, 1, 1]","[105, 153, 73, 149]"
20171012_213450,10,7,16,0,0,68,4,"[1, 1, 1, 1]","[49, 117, 86, 178]"
20171012_213450,10,4,16,0,2,68,5,"[0, 1, 1, 1]","[999, 162, 107, 167]"
20171012_213450,10,4,16,0,2,72,5,"[1, 1, 1, 1]","[94, 114, 55, 131]"
20171012_213450,10,7,16,0,2,80,5,"[1, 1, 1, 1]","[90, 110, 64, 164]"
20171012_213450,9,8,16,0,2,84,5,"[1, 1, 1, 1]","[85, 185, 32, 132]"
20171012_213450,9,5,16,0,0,84,4,"[1, 1, 1, 1]","[30, 130, 46, 178]"
20171012_213450,9,6,16,0,0,88,3,"[1, 1, 1, 1]","[12, 232, 64, 252]"
20171012_213450,9,5,16,0,0,96,3,"[1, 1, 1, 1]","[25, 261, 121, 181]"
20171012_213450,8,3,16,0,0,112,3,"[1, 1, 1, 1]","[45, 241, 106, 214]"
20171012_213450,8,7,16,0,0,112,2,"[1, 1, 1, 1]","[56, 276, 165, 229]"
20171012_213450,7,5,16,0,0,116,3,"[1, 1, 1, 1]","[34, 242, 174, 234]"
20171012_213450,7,6,16,0,0,116,3,"[1, 1, 1, 1]","[74, 214, 129, 253]"
20171012_213450,7,10,16,0,0,120,3,"[1, 1, 1, 1]","[99, 303, 135, 283]"
20171012_213450,6,11,16,0,0,128,3,"[1, 1, 1, 1]","[79, 283, 181, 345]"
20171012_213450,6,7,16,0,1,128,3,"[1, 1, 1, 1]","[159, 151, 177, 313]"
20171012_213450,6,9,16,0,2,132,3,"[1, 0, 1, 1]","[250, 999, 54, 270]"
20171012_213450,7,2,16,0,2,140,3,"[1, 1, 1, 1]","[156, 248, 74, 234]"
20171012_213450,7,9,16,0,0,160,5,"[1, 1, 1, 1]","[92, 220, 99, 251]"
20171012_213450,9,5,32,5,0,164,4,"[1, 1, 1, 1]","[162, 210, 230, 246]"
20171012_213450,9,4,32,5,1,208,4,"[1, 1, 1, 1]","[125, 17, 202, 282]"
20171012_213450,10,5,32,0,1,224,4,"[1, 1, 1, 1]","[166, 26, 174, 310]"
20171012_213450,9,7,32,0,1,260,3,"[1, 1, 1, 1]","[169, 41, 179, 279]"
20171012_213450,8,4,32,0,2,260,5,"[1, 0, 1, 1]","[216, 999, 164, 264]"
20171012_213450,9,10,64,0,1,260,3,"[1, 1, 0, 1]","[277, 185, 999, 235]"
20171012_213450,8,10,64,0,1,332,4,"[1, 1, 0, 1]","[243, 151, 999, 338]"
20171012_213450,8,5,64,0,2,332,4,"[1, 1, 1, 1]","[222, 194, 142, 318]"
20171012_213450,9,9,64,0,1,336,4,"[1, 1, 1, 1]","[238, 138, 164, 376]"
20171012_213450,9,7,64,0,2,348,4,"[1, 0, 1, 1]","[265, 999, 110, 418]"
20171012_213450,9,7,64,0,1,352,4,"[1, 1, 0, 1]","[246, 186, 999, 287]"
20171012_213450,9,7,64,0,2,360,3,"[1, 1, 1, 1]","[192, 164, 141, 397]"
20171012_213450,8,9,64,0,2,376,3,"[1, 1, 1, 1]","[215, 163, 141, 405]"
20171012_213450,8,10,64,0,0,376,3,"[1, 0, 0, 1]","[126, 999, 999, 338]"
20171012_213450,7,10,64,0,1,380,3,"[1, 1, 1, 1]","[135, 119, 134, 310]"
20171012_213450,6,9,64,0,2,380,3,"[1, 1, 1, 1]","[127, 139, 93, 345]"
20171012_213450,8,6,64,0,2,380,3,"[1, 1, 1, 1]","[254, 194, 102, 414]"
20171012_213450,7,4,64,0,0,396,4,"[1, 1, 0, 1]","[154, 186, 999, 383]"
20171012_213450,9,5,64,5,2,396,4,"[0, 1, 1, 1]","[999, 327, 173, 173]"
20171012_213450,10,2,64,5,0,424,5,"[1, 1, 1, 1]","[188, 284, 200, 200]"
20171012_213450,9,8,64,5,2,464,4,"[1, 1, 1, 1]","[207, 287, 170, 314]"
20171012_213450,9,5,64,5,1,464,4,"[1, 1, 1, 1]","[210, 182, 190, 342]"
20171012_213450,9,8,64,5,1,480,4,"[1, 1, 1, 1]","[190, 162, 241, 329]"
20171012_213450,9,6,64,5,1,484,4,"[1, 1, 1, 1]","[223, 171, 250, 514]"
20171012_213450,8,7,64,5,1,488,4,"[1, 1, 1, 1]","[212, 164, 275, 531]"
20171012_213450,7,6,64,5,1,488,4,"[1, 1, 1, 1]","[200, 172, 255, 511]"
20171012_213450,7,7,64,5,0,488,3,"[1, 1, 1, 1]","[218, 218, 218, 538]"
20171012_213450,7,6,64,5,2,492,3,"[0, 1, 1, 1]","[999, 247, 185, 297]"
20171012_213450,8,4,64,5,0,500,4,"[1, 1, 1, 1]","[211, 267, 217, 329]"
20171012_213450,8,10,64,5,2,512,4,"[1, 1, 1, 1]","[198, 278, 178, 290]"
20171012_213450,9,8,64,5,0,528,5,"[1, 1, 1, 1]","[56, 104, 171, 135]"
20171012_213450,9,10,64,0,2,564,4,"[1, 1, 1, 1]","[174, 362, 38, 326]"
20171012_213450,9,6,64,0,2,628,4,"[1, 1, 1, 1]","[194, 374, 11, 359]"
20171012_213450,8,5,64,0,2,632,3,"[1, 1, 1, 1]","[155, 431, 22, 354]"
20171012_213450,7,3,64,0,2,632,4,"[1, 1, 1, 1]","[173, 417, 12, 320]"
20171012_213450,7,7,64,0,2,632,3,"[1, 1, 1, 1]","[177, 437, 50, 398]"
20171012_213450,7,10,64,0,2,636,3,"[1, 1, 1, 1]","[141, 369, 30, 410]"
20171012_213450,7,8,64,0,2,644,3,"[1, 1, 1, 1]","[174, 450, 23, 399]"
20171012_213450,6,5,64,0,2,648,3,"[1, 1, 1, 1]","[159, 371, 31, 399]"
20171012_213450,6,3,64,0,2,648,2,"[1, 1, 1, 1]","[187, 391, 69, 153]"
20171012_213450,6,6,64,0,0,652,2,"[1, 1, 0, 1]","[156, 384, 999, 242]"
20171012_213450,7,9,128,0,2,660,4,"[1, 1, 1, 1]","[165, 417, 143, 275]"
20171012_213450,8,10,128,0,2,792,4,"[1, 1, 1, 1]","[229, 545, 206, 250]"
20171012_213450,9,7,128,0,2,808,4,"[1, 1, 1, 1]","[262, 522, 202, 230]"
20171012_213450,9,10,128,0,2,828,4,"[1, 1, 1, 1]","[302, 354, 211, 263]"
20171012_213450,8,7,128,0,0,832,4,"[1, 1, 0, 1]","[206, 466, 999, 240]"
20171012_213450,9,10,128,0,0,832,3,"[1, 1, 0, 1]","[265, 461, 999, 335]"
20171012_213450,8,8,128,0,0,856,3,"[1, 1, 0, 1]","[265, 481, 999, 330]"
20171012_213450,8,12,128,0,3,856,3,"[1, 1, 1, 1]","[252, 492, 274, 234]"
20171012_213450,7,5,128,5,3,860,3,"[1, 1, 1, 1]","[259, 511, 282, 226]"
20171012_213450,7,10,128,5,3,860,3,"[1, 1, 1, 1]","[259, 571, 278, 246]"
20171012_213450,7,10,128,5,0,868,3,"[1, 1, 1, 0]","[270, 582, 451, 999]"
20171012_213450,7,7,128,5,0,872,3,"[1, 1, 1, 1]","[314, 602, 330, 354]"
20171012_213450,7,12,128,5,0,904,3,"[1, 1, 1, 1]","[331, 587, 370, 374]"
20171012_213450,6,16,128,5,0,908,3,"[1, 1, 1, 1]","[268, 580, 338, 378]"
20171012_213450,5,8,128,5,0,908,3,"[1, 1, 1, 1]","[288, 600, 318, 382]"
20171012_213450,5,13,128,5,0,908,3,"[1, 1, 1, 1]","[276, 556, 385, 449]"
20171012_213450,5,11,128,5,0,912,2,"[1, 1, 1, 1]","[295, 647, 378, 426]"
20171012_213450,4,8,128,5,2,920,2,"[0, 1, 1, 1]","[999, 554, 382, 406]"
20171012_213450,5,11,128,5,3,920,2,"[1, 1, 0, 1]","[414, 678, 999, 375]"
20171012_213450,4,12,128,5,0,940,2,"[1, 1, 1, 0]","[347, 619, 398, 999]"
20171012_213450,4,10,128,5,2,940,2,"[1, 1, 1, 1]","[373, 621, 347, 387]"
20171012_213450,4,11,128,5,0,944,3,"[1, 1, 1, 1]","[344, 594, 360, 368]"
20171012_213450,5,12,128,5,2,952,2,"[1, 1, 1, 1]","[434, 618, 339, 371]"
20171012_213450,4,10,128,5,3,964,1,"[1, 1, 1, 1]","[374, 614, 358, 318]"
20171012_213450,3,9,128,5,0,964,3,"[1, 1, 1, 1]","[303, 623, 378, 338]"
20171012_213450,6,10,128,5,3,964,3,"[1, 1, 1, 1]","[303, 615, 458, 274]"
20171012_213450,7,13,128,5,3,996,2,"[1, 1, 1, 1]","[310, 646, 477, 293]"
20171012_213450,6,17,128,5,3,1036,2,"[1, 1, 1, 1]","[327, 663, 446, 310]"
20171012_213450,5,11,128,5,0,1036,3,"[1, 1, 1, 1]","[328, 424, 410, 354]"
20171012_213450,5,9,128,5,3,1036,3,"[1, 1, 1, 1]","[356, 444, 350, 332]"
20171012_213450,5,10,128,5,3,1100,3,"[1, 1, 1, 1]","[326, 626, 359, 303]"
20171012_213450,6,12,128,5,3,1104,3,"[1, 1, 1, 1]","[321, 685, 339, 299]"
20171012_213450,6,11,128,5,0,1116,2,"[1, 1, 1, 1]","[301, 665, 372, 308]"
20171012_213450,6,12,128,5,3,1120,3,"[0, 1, 1, 1]","[999, 698, 350, 286]"
20171012_213450,7,12,128,5,3,1136,3,"[1, 1, 1, 1]","[324, 636, 303, 295]"
20171012_213450,6,15,128,5,3,1148,3,"[1, 1, 1, 1]","[295, 651, 323, 291]"
20171012_213450,6,9,128,5,0,1148,4,"[1, 1, 1, 0]","[236, 600, 316, 999]"
20171012_213450,7,9,128,5,3,1152,3,"[1, 1, 1, 1]","[357, 813, 394, 318]"
