id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_214118,14,0,2,5,2,3164,7,"[0, 1, 1, 1]","[999, 74, -17, -17]"
20171012_214118,14,5,4,0,2,0,7,"[0, 1, 1, 1]","[999, 4, -20, 80]"
20171012_214118,13,4,4,0,2,4,6,"[1, 1, 1, 1]","[-7, 3, -9, 91]"
20171012_214118,12,6,4,0,0,4,5,"[1, 1, 1, 1]","[-14, 82, -14, 86]"
20171012_214118,11,4,4,0,2,4,5,"[1, 1, 1, 1]","[-6, 86, -22, -12]"
20171012_214118,11,2,4,0,0,4,5,"[1, 1, 1, 1]","[-14, -4, -6, 86]"
20171012_214118,11,4,4,0,0,8,5,"[1, 1, 1, 1]","[-2, 12, -2, 98]"
20171012_214118,11,3,8,0,2,12,5,"[1, 1, 1, 1]","[2, 16, -6, 94]"
20171012_214118,11,6,8,0,0,20,5,"[1, 1, 1, 1]","[-1, 91, 1, 101]"
20171012_214118,10,6,8,0,2,24,4,"[0, 1, 1, 1]","[999, 98, -2, 90]"
20171012_214118,9,2,8,0,0,24,5,"[1, 1, 1, 1]","[-17, 1, -10, 90]"
20171012_214118,10,0,8,0,2,24,6,"[1, 1, 1, 1]","[-13, 1, -20, -10]"
20171012_214118,11,3,8,0,0,36,5,"[1, 1, 1, 1]","[-2, 8, -2, 12]"
20171012_214118,11,9,16,0,0,48,4,"[1, 1, 1, 1]","[-7, 7, 3, 91]"
20171012_214118,10,5,16,0,0,64,3,"[1, 1, 1, 1]","[0, 14, 9, 97]"
20171012_214118,9,4,16,0,2,64,4,"[1, 1, 1, 1]","[8, 18, 6, 98]"
20171012_214118,9,8,16,0,2,64,4,"[1, 1, 1, 1]","[3, 103, -2, 106]"
20171012_214118,9,6,16,0,2,68,3,"[1, 1, 1, 1]","[10, 106, 5, 113]"
20171012_214118,8,4,16,0,2,72,3,"[1, 1, 1, 1]","[7, 91, 1, 97]"
20171012_214118,8,5,16,0,2,72,3,"[1, 1, 1, 1]","[17, 97, 13, 13]"
20171012_214118,8,10,16,0,2,76,3,"[1, 1, 1, 1]","[18, 10, 9, 9]"
20171012_214118,8,9,16,0,0,84,4,"[1, 1, 1, 1]","[-2, 98, 10, 10]"
20171012_214118,9,6,16,0,2,92,5,"[1, 1, 1, 1]","[1, 109, -5, 107]"
20171012_214118,10,6,16,0,2,116,5,"[1, 1, 1, 1]","[6, 114, 3, 127]"
20171012_214118,10,8,32,0,2,136,5,"[1, 1, 1, 1]","[17, 97, -8, 92]"
20171012_214118,9,5,32,0,2,168,5,"[1, 1, 1, 1]","[14, 102, -12, 88]"
20171012_214118,9,4,32,0,2,168,5,"[1, 1, 1, 1]","[6, 98, -1, 103]"
