id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_214419,14,5,4,5,2,3080,6,"[1, 1, 1, 1]","[82, 82, -18, -18]"
20171012_214419,13,4,4,0,1,0,6,"[1, 1, 1, 1]","[91, -9, -7, -7]"
20171012_214419,12,6,4,0,1,0,5,"[1, 1, 1, 1]","[86, -14, -2, 90]"
20171012_214419,11,4,4,0,2,0,5,"[1, 1, 1, 1]","[-6, -6, -22, -22]"
20171012_214419,11,4,4,0,0,0,6,"[1, 1, 1, 1]","[-20, -20, -12, -12]"
20171012_214419,11,3,4,0,0,4,5,"[1, 1, 1, 1]","[-10, -6, -2, 102]"
20171012_214419,11,5,8,0,0,8,5,"[1, 1, 1, 1]","[-5, 103, -2, 90]"
20171012_214419,10,3,8,0,0,16,5,"[1, 1, 1, 1]","[-17, 91, -17, 91]"
20171012_214419,10,3,8,0,0,16,4,"[1, 1, 1, 1]","[-14, 90, -10, 98]"
20171012_214419,9,3,8,0,0,20,4,"[1, 1, 1, 1]","[-10, 98, -3, 109]"
20171012_214419,9,3,8,0,2,20,6,"[0, 1, 1, 1]","[999, 95, -19, 89]"
20171012_214419,10,3,8,0,2,24,5,"[1, 1, 1, 1]","[-3, 9, -5, -5]"
20171012_214419,10,2,8,0,0,36,6,"[1, 1, 1, 1]","[-8, 92, -3, 1]"
20171012_214419,11,5,16,0,3,44,5,"[0, 1, 0, 1]","[999, 95, 999, 91]"
20171012_214419,10,5,16,5,0,64,5,"[1, 1, 1, 1]","[95, 95, 106, 102]"
20171012_214419,10,6,16,5,0,64,4,"[1, 1, 1, 1]","[90, 90, 113, 101]"
20171012_214419,9,4,16,5,1,68,4,"[1, 1, 1, 1]","[98, 94, 105, 101]"
20171012_214419,9,5,16,5,3,68,4,"[1, 1, 1, 1]","[121, 105, 106, 102]"
20171012_214419,9,9,16,5,1,72,4,"[1, 1, 1, 1]","[118, 10, 101, 101]"
