id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_215137,14,4,2,5,2,7600,6,"[1, 1, 1, 1]","[74, 74, -26, -26]"
20171012_215137,13,3,4,5,0,0,6,"[1, 1, 1, 1]","[-2, -2, 79, 87]"
20171012_215137,13,5,4,0,2,0,6,"[0, 1, 1, 1]","[999, -5, -10, -10]"
20171012_215137,13,6,8,0,2,4,5,"[1, 1, 1, 1]","[-1, 83, -15, -15]"
20171012_215137,12,6,8,0,2,12,4,"[1, 1, 1, 1]","[-9, 87, -12, -12]"
20171012_215137,11,2,8,0,0,12,5,"[1, 1, 1, 1]","[-2, 98, 0, 0]"
20171012_215137,11,3,8,0,2,12,5,"[0, 1, 1, 1]","[999, 89, -6, 86]"
20171012_215137,11,3,8,0,2,16,5,"[1, 1, 1, 1]","[-1, 83, -14, 82]"
20171012_215137,11,4,8,0,0,20,5,"[1, 1, 1, 1]","[-10, -10, -7, 89]"
20171012_215137,11,5,8,0,2,24,4,"[1, 1, 1, 1]","[2, 6, -3, 109]"
20171012_215137,10,6,8,0,2,32,3,"[1, 1, 1, 1]","[-6, 94, -8, 104]"
20171012_215137,9,4,8,0,2,32,3,"[1, 1, 1, 1]","[1, 89, 0, 112]"
20171012_215137,9,5,8,0,0,32,4,"[1, 1, 0, 1]","[2, 106, 999, 101]"
20171012_215137,9,4,16,0,0,36,4,"[1, 1, 1, 1]","[-6, 114, 2, 102]"
20171012_215137,9,4,16,0,2,52,4,"[0, 1, 1, 1]","[999, 3, -7, 93]"
20171012_215137,10,5,16,0,2,56,4,"[1, 1, 1, 1]","[9, 113, -11, 89]"
20171012_215137,10,4,16,0,2,68,4,"[1, 1, 1, 1]","[5, 101, -6, 106]"
20171012_215137,9,5,16,0,0,72,4,"[1, 1, 0, 1]","[14, 102, 999, 113]"
20171012_215137,9,10,16,0,0,72,3,"[1, 1, 1, 1]","[9, 93, 21, 97]"
20171012_215137,8,8,16,0,2,80,4,"[1, 1, 1, 1]","[17, 97, 3, 95]"
20171012_215137,8,6,16,0,1,80,4,"[1, 1, 0, 1]","[11, 3, 999, 98]"
20171012_215137,8,7,16,0,2,84,4,"[1, 1, 1, 1]","[8, 8, 7, 15]"
20171012_215137,8,4,16,0,0,88,4,"[1, 1, 1, 1]","[3, 23, 3, 7]"
20171012_215137,8,7,16,0,0,96,3,"[1, 1, 1, 1]","[6, 18, 15, 107]"
20171012_215137,7,6,16,0,1,112,2,"[0, 1, 1, 1]","[999, 17, 18, 118]"
20171012_215137,6,7,16,0,3,112,3,"[1, 1, 1, 1]","[17, 21, 18, 14]"
20171012_215137,7,11,16,0,0,112,4,"[1, 1, 1, 1]","[4, 100, 142, 30]"
20171012_215137,7,7,16,0,0,120,3,"[1, 1, 1, 1]","[14, 102, 128, 24]"
20171012_215137,7,9,16,0,3,124,2,"[1, 1, 1, 1]","[22, 98, 108, 12]"
20171012_215137,7,5,16,0,0,132,3,"[1, 1, 1, 1]","[2, 10, 116, 8]"
20171012_215137,7,8,16,0,3,136,3,"[1, 1, 1, 1]","[13, 21, 13, 1]"
20171012_215137,8,6,16,0,0,144,4,"[1, 1, 1, 1]","[-6, 110, 13, 21]"
20171012_215137,9,5,32,5,0,168,4,"[1, 1, 1, 1]","[-3, 133, 113, 105]"
20171012_215137,10,6,32,0,0,216,4,"[1, 1, 1, 1]","[-10, 90, 109, 21]"
