id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_215640,14,4,2,0,0,3760,7,"[1, 1, 1, 0]","[-17, 33, 40, 999]"
20171012_215640,14,5,4,0,0,0,6,"[1, 1, 1, 1]","[-6, 44, 44, -6]"
20171012_215640,13,7,4,0,3,4,6,"[1, 1, 1, 1]","[-7, 43, 79, -13]"
20171012_215640,12,5,4,0,3,4,6,"[1, 1, 1, 1]","[-14, 82, 87, -21]"
20171012_215640,12,2,4,0,0,4,6,"[1, 1, 1, 0]","[-1, 83, 94, 999]"
20171012_215640,12,8,8,0,3,8,6,"[0, 1, 1, 1]","[999, 94, 87, -9]"
20171012_215640,12,6,8,0,3,16,6,"[1, 1, 1, 1]","[2, 102, 79, -13]"
20171012_215640,12,5,8,0,3,20,6,"[1, 1, 1, 1]","[-2, 90, 92, -8]"
20171012_215640,11,6,8,0,3,24,5,"[1, 1, 1, 1]","[3, 103, 91, -1]"
20171012_215640,10,7,8,0,3,24,4,"[1, 1, 1, 1]","[6, 86, 94, -2]"
20171012_215640,9,6,8,0,3,24,4,"[1, 1, 1, 1]","[0, 96, 106, -2]"
20171012_215640,9,3,8,0,0,24,6,"[1, 1, 1, 0]","[-15, 81, 91, 999]"
20171012_215640,10,4,8,0,3,28,4,"[1, 1, 1, 1]","[2, 114, 106, -6]"
20171012_215640,9,2,8,0,3,40,5,"[1, 1, 1, 1]","[-3, 109, 92, -12]"
20171012_215640,9,6,8,0,3,40,4,"[1, 1, 1, 1]","[-9, 91, 36, -14]"
20171012_215640,9,3,8,0,0,44,5,"[1, 1, 1, 1]","[-5, 91, 47, 1]"
20171012_215640,10,7,16,0,0,52,5,"[1, 1, 1, 1]","[-8, 92, 105, 5]"
20171012_215640,9,5,16,0,0,72,4,"[1, 1, 1, 1]","[-9, 99, 114, 14]"
20171012_215640,8,3,16,0,3,72,4,"[0, 1, 1, 1]","[999, 102, 110, 10]"
20171012_215640,9,5,16,0,0,72,4,"[1, 1, 1, 0]","[6, 86, 89, 999]"
20171012_215640,9,7,16,0,2,84,4,"[0, 1, 1, 0]","[999, 113, 95, 999]"
20171012_215640,8,5,16,5,0,88,4,"[1, 1, 0, 1]","[102, 114, 999, 120]"
