id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_220157,14,4,2,5,2,6916,6,"[1, 1, 1, 1]","[86, 86, 2, 2]"
20171012_220157,13,6,2,0,2,0,5,"[1, 1, 1, 1]","[6, 56, -5, 45]"
20171012_220157,12,6,2,0,2,0,4,"[1, 1, 1, 1]","[-1, 49, -12, 38]"
20171012_220157,11,2,2,0,0,0,6,"[1, 1, 1, 1]","[-5, 45, 42, 42]"
20171012_220157,12,0,4,0,2,0,6,"[1, 1, 1, 1]","[-5, 45, -13, 37]"
20171012_220157,12,2,4,0,0,8,5,"[1, 1, 1, 1]","[3, 53, 3, 103]"
20171012_220157,12,5,8,0,2,12,5,"[0, 1, 1, 1]","[999, 62, 8, 96]"
20171012_220157,11,7,8,0,0,20,4,"[1, 1, 1, 1]","[5, 105, 17, 105]"
20171012_220157,10,6,8,0,0,20,4,"[1, 1, 1, 1]","[1, 93, 9, 105]"
20171012_220157,10,5,8,0,2,20,5,"[1, 1, 1, 1]","[9, 101, 1, 97]"
20171012_220157,10,4,8,0,2,24,5,"[0, 1, 1, 1]","[999, 98, 1, 43]"
20171012_220157,10,5,8,0,2,28,4,"[1, 1, 1, 1]","[10, 102, 5, 55]"
20171012_220157,10,7,16,0,0,36,5,"[1, 1, 1, 1]","[5, 105, 10, 72]"
20171012_220157,10,8,16,0,2,52,4,"[1, 1, 1, 1]","[9, 109, 2, 122]"
20171012_220157,9,4,16,0,0,56,4,"[1, 1, 0, 1]","[5, 101, 999, 127]"
20171012_220157,10,7,16,0,2,56,4,"[1, 1, 1, 1]","[13, 109, 9, 101]"
20171012_220157,10,7,16,0,2,68,4,"[1, 1, 1, 1]","[18, 18, 1, 93]"
20171012_220157,10,5,16,0,0,76,6,"[1, 1, 0, 1]","[5, 101, 999, 106]"
20171012_220157,10,6,16,0,2,80,5,"[1, 1, 1, 1]","[9, 43, -2, 98]"
20171012_220157,9,4,16,0,0,88,5,"[1, 1, 1, 1]","[5, 55, 6, 106]"
20171012_220157,10,5,16,0,2,88,4,"[1, 1, 1, 1]","[17, 75, 14, 114]"
20171012_220157,9,10,16,0,2,108,3,"[1, 1, 1, 1]","[10, 110, 7, 99]"
20171012_220157,8,6,16,0,2,108,2,"[1, 1, 1, 1]","[18, 110, 0, 100]"
20171012_220157,7,4,16,0,2,108,3,"[1, 1, 1, 1]","[10, 106, 0, 100]"
20171012_220157,7,1,16,0,2,108,3,"[1, 1, 1, 1]","[3, 111, -5, 111]"
20171012_220157,8,3,16,0,2,112,3,"[1, 1, 1, 1]","[17, 125, 3, 119]"
20171012_220157,8,7,16,0,2,124,2,"[1, 1, 1, 1]","[14, 130, 8, 100]"
20171012_220157,7,5,16,0,2,128,2,"[1, 1, 1, 1]","[19, 127, 0, 100]"
20171012_220157,7,1,16,0,2,128,2,"[1, 1, 1, 1]","[14, 122, 8, 104]"
20171012_220157,7,5,16,0,2,132,2,"[1, 1, 1, 1]","[26, 138, 0, 96]"
20171012_220157,7,4,16,0,0,140,4,"[1, 1, 0, 1]","[14, 134, 999, 105]"
20171012_220157,9,8,32,0,3,144,4,"[0, 1, 0, 1]","[999, 143, 999, 15]"
20171012_220157,8,10,32,0,0,200,3,"[1, 1, 1, 1]","[19, 61, 32, 24]"
20171012_220157,8,6,32,0,2,200,4,"[0, 1, 1, 1]","[999, 66, 11, 19]"
20171012_220157,8,11,32,0,0,204,3,"[1, 1, 1, 1]","[11, 123, 12, 16]"
20171012_220157,8,7,32,0,0,208,3,"[1, 1, 1, 1]","[16, 128, 19, 23]"
20171012_220157,7,7,32,0,0,216,3,"[1, 1, 1, 1]","[21, 117, 23, 23]"
20171012_220157,6,9,32,0,3,216,2,"[1, 1, 1, 1]","[26, 122, 29, 21]"
20171012_220157,6,11,32,0,2,216,2,"[1, 1, 1, 1]","[25, 161, 18, 26]"
20171012_220157,5,6,32,0,3,232,2,"[1, 1, 1, 1]","[33, 113, 26, 18]"
20171012_220157,5,5,32,0,3,232,2,"[1, 1, 1, 1]","[25, 95, 18, 10]"
20171012_220157,5,6,32,0,0,236,3,"[1, 1, 1, 1]","[16, 140, 34, 26]"
