id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171012_221144,14,4,2,0,2,5372,6,"[1, 1, 1, 1]","[2, 52, -14, 36]"
20171012_221144,13,2,2,0,2,0,5,"[1, 1, 1, 1]","[6, 56, -13, 37]"
20171012_221144,12,0,2,0,0,0,7,"[1, 1, 0, 1]","[-14, 36, 999, 38]"
20171012_221144,13,2,4,0,2,0,6,"[1, 1, 1, 1]","[10, 60, -9, 99]"
20171012_221144,12,3,4,0,2,8,6,"[1, 1, 1, 1]","[11, 61, -12, 88]"
20171012_221144,11,1,4,0,0,8,6,"[1, 1, 0, 1]","[3, 103, 999, 89]"
20171012_221144,12,6,8,0,0,8,6,"[1, 1, 1, 1]","[-4, 96, 12, 108]"
20171012_221144,11,4,8,0,2,20,5,"[0, 1, 1, 1]","[999, 105, 4, 104]"
20171012_221144,11,6,8,0,0,20,5,"[1, 1, 1, 1]","[9, 101, 13, 113]"
20171012_221144,10,8,8,0,2,24,4,"[1, 1, 1, 1]","[14, 106, 6, 98]"
20171012_221144,9,3,8,0,0,24,5,"[1, 1, 0, 1]","[-7, 43, 999, 95]"
20171012_221144,10,2,8,0,2,24,4,"[1, 1, 1, 1]","[12, 58, 2, 114]"
20171012_221144,9,5,8,0,2,36,3,"[1, 1, 1, 1]","[8, 116, -5, 111]"
20171012_221144,8,3,8,0,2,36,3,"[1, 1, 1, 1]","[5, 105, 3, 111]"
20171012_221144,8,5,8,0,2,36,3,"[1, 1, 1, 1]","[6, 114, -5, 107]"
20171012_221144,8,3,8,0,1,40,5,"[1, 1, 1, 1]","[4, -4, 0, 116]"
20171012_221144,11,4,16,5,2,44,5,"[1, 1, 1, 1]","[113, 105, 4, 120]"
20171012_221144,11,2,16,0,1,80,6,"[1, 1, 1, 1]","[104, 4, 8, 124]"
20171012_221144,11,6,32,0,1,96,5,"[1, 1, 1, 1]","[105, 9, 20, 104]"
20171012_221144,10,7,32,0,1,128,5,"[1, 1, 1, 1]","[109, 1, 17, 117]"
20171012_221144,10,3,32,0,1,128,5,"[1, 1, 1, 1]","[117, 9, 12, 108]"
20171012_221144,10,4,32,0,1,132,5,"[1, 1, 1, 1]","[101, 1, 17, 109]"
20171012_221144,10,7,32,0,2,136,6,"[1, 1, 1, 1]","[117, 21, 20, 120]"
20171012_221144,11,6,32,0,2,140,6,"[1, 1, 1, 1]","[113, 29, 8, 108]"
20171012_221144,11,6,32,0,1,156,5,"[1, 1, 0, 1]","[113, 17, 999, 117]"
