id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171014_150822,14,5,4,5,2,7372,6,"[1, 1, 1, 1]","[98.11544715447154, 98.11544715447154, -1.6685249709639953, -1.6685249709639953]"
20171014_150822,13,7,4,0,0,0,6,"[1, 1, 1, 1]","[-1.6506387921022068, 98.30058072009291, -1.507781649245064, 98.49221835075494]"
20171014_150822,12,1,4,0,0,0,6,"[1, 1, 1, 1]","[-1.6994192799070849, 98.3493612078978, -1.6994192799070849, 98.3493612078978]"
20171014_150822,12,4,4,0,0,0,5,"[1, 1, 1, 1]","[-1.4898954703832752, 98.53449477351916, -1.4102206736353078, 98.58977932636469]"
20171014_150822,11,3,4,0,0,4,5,"[1, 1, 1, 1]","[-1.3988385598141695, 98.67433217189314, -1.3679442508710802, 98.63205574912892]"
20171014_150822,10,1,4,0,0,4,5,"[1, 1, 1, 1]","[-1.4232288037166085, 98.60116144018583, -1.4167247386759583, 98.58327526132405]"
20171014_150822,10,0,4,0,2,4,6,"[1, 1, 1, 1]","[-1.4232288037166085, 98.60116144018583, -1.632752613240418, 98.36724738675959]"
20171014_150822,11,3,8,0,2,8,6,"[1, 1, 1, 1]","[-1.4411149825783973, 98.60766550522648, -1.608362369337979, 98.39163763066202]"
20171014_150822,11,4,8,0,0,20,5,"[1, 1, 1, 1]","[-1.3923344947735192, 98.58327526132405, -1.3500580720092916, 98.57677119628339]"
20171014_150822,11,7,16,0,0,28,4,"[1, 1, 1, 1]","[-1.2072009291521486, 98.79279907084785, -1.1096399535423924, 98.8171893147503]"
20171014_150822,10,6,16,0,2,44,5,"[1, 1, 1, 1]","[-1.2559814169570265, 98.74401858304297, -1.3012775842044135, 98.67433217189314]"
20171014_150822,10,10,16,0,2,44,5,"[1, 1, 1, 1]","[-1.1828106852497096, 98.76840882694542, -1.3679442508710802, 98.60766550522648]"
20171014_150822,11,6,16,0,0,48,5,"[1, 1, 0, 1]","[-1.3256678281068526, 98.64994192799071, 9999, 98.69872241579559]"
