id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171013_024411,14,0,2,5,2,2936,6,"[1, 1, 1, 1]","[996, 996, 994, 994]"
20171013_024411,14,2,4,0,0,0,6,"[1, 1, 1, 1]","[-5, -5, 995, 995]"
20171013_024411,13,5,4,0,2,0,6,"[1, 1, 1, 1]","[-3, 497, -5, 995]"
20171013_024411,13,6,8,0,0,4,5,"[1, 1, 1, 1]","[-5, 495, -5, 995]"
20171013_024411,13,4,8,0,2,4,6,"[1, 1, 1, 1]","[-2, 498, -3, 997]"
20171013_024411,12,5,8,0,0,12,5,"[1, 1, 1, 1]","[-7, 996, -6, 994]"
20171013_024411,12,3,8,0,0,16,5,"[1, 1, 1, 1]","[-4, 996, -4, 996]"
20171013_024411,11,4,8,0,0,16,4,"[1, 1, 1, 1]","[-6, 996, -3, 497]"
20171013_024411,11,3,8,0,0,20,4,"[1, 1, 1, 1]","[-4, 997, -2, 997]"
20171013_024411,11,5,8,0,2,20,5,"[1, 1, 1, 1]","[-2, 999, -3, 997]"
20171013_024411,10,5,8,0,0,24,4,"[1, 1, 1, 1]","[-4, 996, -3, 997]"
20171013_024411,9,5,8,0,0,32,3,"[1, 1, 1, 1]","[-3, 996, -1, 997]"
20171013_024411,9,4,16,0,2,32,3,"[1, 1, 1, 1]","[-3, 998, -5, 995]"
20171013_024411,10,3,16,0,0,32,5,"[1, 1, 1, 1]","[-2, 996, -2, 997]"
20171013_024411,10,4,16,0,0,48,4,"[1, 1, 1, 1]","[-4, 996, -4, 996]"
20171013_024411,9,3,16,0,0,56,4,"[1, 1, 1, 1]","[-3, 997, -3, 997]"
20171013_024411,9,4,16,0,0,64,4,"[1, 1, 1, 1]","[-6, 994, -1, 999]"
20171013_024411,9,8,16,0,0,64,3,"[1, 1, 1, 1]","[-4, 998, -2, 998]"
20171013_024411,9,6,16,0,0,68,3,"[1, 1, 1, 1]","[-4, 995, 0, 0]"
20171013_024411,8,5,16,0,0,76,3,"[1, 1, 1, 1]","[-2, 998, -2, 998]"
20171013_024411,8,6,16,0,0,80,3,"[1, 1, 1, 1]","[-6, 996, -6, 994]"
20171013_024411,9,4,16,0,0,80,3,"[1, 1, 1, 1]","[-3, 999, -3, 997]"
20171013_024411,9,4,16,0,2,84,4,"[1, 1, 1, 1]","[-3, 997, -4, 996]"
20171013_024411,9,5,16,0,0,96,4,"[1, 1, 1, 1]","[-3, 997, -1, 999]"
20171013_024411,8,6,16,0,0,112,3,"[1, 1, 1, 1]","[-5, 995, 3, 998]"
20171013_024411,8,5,32,0,2,116,3,"[0, 1, 1, 1]","[9999, 998, -2, 998]"
20171013_024411,9,9,32,0,0,116,3,"[1, 1, 1, 1]","[-3, 998, -3, 997]"
20171013_024411,8,5,32,0,3,148,3,"[1, 1, 1, 1]","[-4, 998, -4, -5]"
20171013_024411,9,5,32,0,0,160,4,"[1, 1, 1, 1]","[-4, 497, -1, -2]"
20171013_024411,10,3,32,0,2,160,5,"[0, 1, 1, 1]","[9999, 496, -6, 994]"
20171013_024411,10,1,32,0,2,172,4,"[1, 1, 1, 1]","[0, 1000, -4, 996]"
20171013_024411,11,4,32,0,0,196,4,"[1, 1, 0, 1]","[-1, 998, 9999, 1000]"
20171013_024411,12,9,64,0,2,212,5,"[0, 1, 1, 1]","[9999, 999, 0, 1000]"
20171013_024411,12,8,64,0,0,248,5,"[1, 1, 0, 1]","[1, 1003, 9999, 1000]"
20171013_024411,11,9,64,0,2,316,5,"[1, 1, 1, 1]","[0, 1000, -1, 999]"
20171013_024411,11,4,64,0,0,324,6,"[1, 1, 0, 1]","[-1, 999, 9999, 997]"
20171013_024411,11,7,64,0,0,324,5,"[1, 1, 1, 1]","[0, 1000, 1, 1001]"
20171013_024411,10,6,64,0,0,328,4,"[1, 1, 1, 1]","[-3, 997, -3, 998]"
20171013_024411,9,8,64,0,0,336,3,"[1, 1, 1, 1]","[0, 1000, 2, 999]"
20171013_024411,8,8,64,0,0,336,2,"[1, 1, 1, 1]","[1, 1001, 2, 1002]"
20171013_024411,8,10,64,0,2,336,3,"[1, 1, 1, 1]","[6, 1006, 4, 4]"
20171013_024411,7,5,64,0,3,336,2,"[1, 1, 1, 1]","[-1, 0, 1, -2]"
