id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171017_191659,14,4,2,100,0,5432,0,"[1, 1, 1, 1]","[89.369105691056916, 99.354471544715452, 99.233983739837399, 98.356422764227645]"
20171017_191659,13,7,4,0,2,0,0,"[1, 1, 1, 1]","[98.376221298241092, 99.42230604731354, -3.6937817023161443, 99.104988069212851]"
20171017_191659,13,9,4,0,0,0,0,"[1, 1, 1, 1]","[-2.6028918289952285, 99.578684237053949, -1.6244278713612457, 99.170795991568951]"
20171017_191659,13,9,8,0,2,4,0,"[1, 1, 1, 1]","[-1.455364296712462, 99.57222209725488, -1.6850413538991356, 99.148199301447249]"
20171017_191659,12,2.0,8,0,0,12,0,"[1, 1, 1, 1]","[-1.6583276405446439, 99.342416974727286, -1.5008069047262129, 99.249093914960923]"
20171017_191659,11,4.0,8,0,0,12,1,"[1, 1, 1, 1]","[-1.7996139116276737, 99.199565968088024, -1.4325850754406944, 99.145749969254751]"
20171017_191659,11,4.0,8,0,0,12,0,"[1, 1, 1, 1]","[-1.9953343588377079, 99.195330725160787, -1.4406443503758688, 99.280234757193085]"
20171017_191659,11,2.0,8,0,2,16,0,"[0, 1, 1, 1]","[inf, 99.262896624636781, -1.7850519899968615, 99.140531948283368]"
20171017_191659,12,8.0,16,0,2,24,0,"[1, 1, 1, 1]","[-1.532911223079324, 99.415827323092699, -1.5786596513131494, 99.156258081776429]"
20171017_191659,11,5.0,16,0,2,44,0,"[1, 1, 1, 1]","[-1.2705908250418243, 99.489023461576565, -1.4774676411024039, 99.291485427489647]"
20171017_191659,11,7.0,16,0,2,44,0,"[1, 1, 1, 1]","[-1.2349242307366035, 99.774928718390285, -1.2946873828364169, 99.296333969340665]"
20171017_191659,10,8.0,16,0,2,48,0,"[1, 1, 1, 1]","[-1.0950808724515237, 99.617765111824312, -1.4410286826456482, 99.442735099061338]"
20171017_191659,10,6.0,16,0,2,48,0,"[1, 1, 1, 1]","[-1.3958906070642212, 99.48225615464807, -1.447262497903147, 99.289855358853899]"
20171017_191659,9,6.0,16,0,2,52,0,"[1, 1, 1, 1]","[-1.5126491994070965, 99.485800453735635, -1.6010483480912168, 99.196881019157047]"
20171017_191659,9,4.0,16,0,2,52,0,"[1, 1, 1, 1]","[-1.3698077582916692, 99.696135581051522, -1.3804847656045567, 99.284647858653912]"
20171017_191659,8,5.0,16,0,2,60,1,"[1, 1, 1, 1]","[-1.0962260047015664, 99.690589279122875, -1.4503200945050247, 99.288095482885026]"
20171017_191659,8,7.0,16,0,2,60,0,"[1, 1, 1, 1]","[-0.9674204334813179, 100.04427739193852, -1.0153147470931625, 99.577260479706439]"
20171017_191659,8,6.0,16,0,2,64,0,"[0, 0, 1, 1]","[inf, inf, -1.0878018417375341, 99.504147919604705]"
20171017_191659,8,8.0,16,0,0,72,0,"[1, 1, 0, 1]","[-0.99122716452123327, -0.89484848212755475, inf, 99.566251171265634]"
20171017_191659,7,7.0,16,0,2,76,1,"[0, 1, 1, 1]","[inf, -0.64655225927839655, -1.3088602665542639, 99.028974371820851]"
20171017_191659,7,4.0,16,0,0,76,1,"[1, 1, 1, 1]","[-1.4939078862452222, -1.206584104339339, -1.2362402884989543, 99.381851727616009]"
20171017_191659,8,8.0,16,0,2,80,1,"[1, 1, 1, 1]","[-1.3402463376604663, -0.66146232045245745, -1.3906670114419191, 99.407434583327884]"
20171017_191659,8,4.0,16,0,2,96,0,"[1, 1, 1, 1]","[-1.2637272140120404, -0.6814464029476609, -1.4069402078428914, 99.731320317695349]"
20171017_191659,9,10.0,32,0,0,112,0,"[1, 1, 0, 1]","[-0.96772973489417113, -0.83091594371753053, inf, 99.720679909877546]"
20171017_191659,8,11.0,32,0,0,148,0,"[1, 1, 1, 1]","[-0.80890983155117613, -0.66642859865309789, -0.72854097649744565, 99.755736336917266]"
20171017_191659,7,12.0,32,0,0,148,0,"[1, 1, 1, 1]","[-0.95521270062922337, -0.80598841667230781, -0.66177798400023791, -0.89412882408154981]"
20171017_191659,7,10.0,32,0,0,148,0,"[1, 1, 1, 1]","[-0.81170541851212041, -0.51312759694956522, -0.59661223581398526, 99.602415755859468]"
20171017_191659,6,8.0,32,0,0,152,1,"[1, 1, 1, 1]","[-1.027720455646123, -0.8721914612886007, -0.38175677295583499, 99.676345344112846]"
20171017_191659,6,9.0,32,0,0,152,0,"[1, 1, 1, 1]","[-0.59932305044234024, -0.43339752080198635, -0.52626412201714834, 99.747782765654719]"
20171017_191659,6,10.0,32,0,3,156,0,"[1, 1, 1, 1]","[-0.66530067676155957, -0.64317570071642149, -0.44709359338441967, -0.74524855682759306]"
20171017_191659,5,10.0,32,0,0,164,1,"[1, 1, 1, 0]","[-0.81499989413540186, 100.10419285656077, -0.23649177723120496, inf]"
20171017_191659,6,14.0,32,0,0,164,1,"[1, 1, 1, 1]","[-0.95314349803568288, 100.05157676143379, -0.522329385373698, -0.59514239261743118]"
20171017_191659,7,8.0,32,0,0,184,0,"[1, 1, 0, 1]","[-0.8823406621790445, 99.908342058411122, inf, -0.58842877876585131]"
20171017_191659,8,12.0,32,0,3,200,0,"[1, 1, 1, 1]","[-0.65868124673014761, 100.4139666605263, -0.65527289752337547, -0.81952859108733078]"
20171017_191659,7,11.0,32,0,3,220,0,"[1, 1, 1, 1]","[-0.53907720784764279, 100.34307658552542, -0.71746670975051263, -0.88122230466661877]"
20171017_191659,6,8.0,32,0,3,220,0,"[1, 1, 1, 1]","[-0.54240160322909647, 100.26739674952066, -0.71770178315407329, -0.73493317946146763]"
20171017_191659,6,11.0,32,0,3,220,0,"[1, 1, 1, 1]","[-0.47573230992747717, 100.28334673649502, -0.57778723533941434, -0.59506961506438782]"
20171017_191659,5,10.0,32,0,3,224,1,"[1, 1, 1, 1]","[-0.55540535581457784, 100.41975262568556, -0.7939730173373587, -0.88426822407509464]"
20171017_191659,5,10.0,32,0,3,224,0,"[1, 1, 1, 1]","[-0.33588090979587537, 100.49055296323552, -0.44944912933454673, -0.52189890526048521]"
20171017_191659,5,14.0,32,0,0,228,0,"[1, 1, 1, 1]","[-0.84863480862347918, 100.28092764302477, -0.59584294354037171, -0.59513339554206557]"
20171017_191659,6,11.0,32,0,3,236,0,"[1, 1, 1, 1]","[-0.66849223260448587, 100.5657179248995, -0.86129650520822609, -0.88526603538657955]"
20171017_191659,7,11.0,32,0,0,272,0,"[1, 1, 1, 1]","[-1.040021297283686, 100.00720876647165, -0.70483596743113397, -0.72838065304591093]"
20171017_191659,8,8.0,32,0,2,296,0,"[0, 1, 1, 1]","[inf, 99.927604168978107, -1.0427180090517014, 99.261359021538112]"
20171017_191659,8,12.0,32,0,2,304,0,"[1, 1, 1, 1]","[-0.66651950235021318, -0.45256017161819684, -1.0149425567200234, 99.387622111989828]"
20171017_191659,8,12.0,32,0,0,312,0,"[1, 1, 1, 1]","[-1.0183221573547123, 100.12420639404101, -0.80022053681186822, 99.906192836908915]"
20171017_191659,8,10.0,32,0,2,320,0,"[1, 1, 1, 1]","[-0.94704267292098576, 100.19739391137757, -1.0054826685450968, -0.53218919849191904]"
20171017_191659,9,11.0,32,0,0,336,0,"[1, 1, 1, 1]","[-1.5012946830539939, 100.06580537422371, -1.0146245487808891, -0.5414435105642722]"
