id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171016_013018,14,5,4,0,2,4824,0,"[1, 1, 1, 1]","[-105.61089494163424, -6.030398832684825, -193.61089494163423, -18.951361867704279]"
20171016_013018,13,9.0,4,0,0,0,0,"[1, 1, 1, 1]","[-63.571193616178846, -9.1972101239606499, -50.999238570949963, -7.2559010751378183]"
20171016_013018,12,5.0,4,0,0,0,0,"[1, 1, 1, 1]","[-44.487102112333304, -0.16244037768908789, -41.995741263506275, -13.710697946072228]"
20171016_013018,11,3.0,4,0,2,0,1,"[1, 1, 1, 1]","[-59.14454277286135, 7.8450175147492622, -71.932153392330378, -31.519174041297934]"
20171016_013018,12,2.0,4,0,0,0,0,"[1, 1, 1, 1]","[-80.248730964467015, 2.9920685279187818, -66.482233502538065, -7.1522842639593911]"
20171016_013018,12,6.0,8,0,2,8,0,"[1, 1, 1, 1]","[-38.075921327640728, 11.843691384269102, -43.219504933397644, -17.611985446923548]"
20171016_013018,11,7.0,8,0,0,16,0,"[1, 1, 1, 1]","[-52.453832605776661, -0.15258345588448996, -37.999128094537802, -13.00392357457989]"
20171016_013018,11,5.0,8,0,2,16,1,"[1, 1, 1, 1]","[-45.274773976245349, 12.837960911185959, -68.564793476333989, -28.186314483247649]"
20171016_013018,11,2.0,8,0,2,20,0,"[1, 1, 1, 1]","[-50.031191515907672, 7.8718223643169054, -59.966313162819716, -17.471147847785403]"
20171016_013018,11,5.0,16,0,0,28,0,"[1, 1, 0, 1]","[-38.045713179378517, 11.609197133156217, inf, -11.854187506498443]"
20171016_013018,11,8.0,16,0,2,44,0,"[1, 1, 1, 1]","[-29.732154626472195, 8.5853869960168492, -40.998746310571107, -4.2088718227927888]"
20171016_013018,10,8.0,16,0,2,48,0,"[1, 1, 1, 1]","[-35.745415070693525, 10.589783418353838, -44.367376837943269, 3.258803593807917]"
20171016_013018,10,6.0,16,0,2,48,0,"[1, 1, 1, 1]","[-50.299406850608285, 0.54258028891540944, -51.908801054487803, -15.501718886375377]"
20171016_013018,9,4.0,16,0,2,56,0,"[1, 1, 1, 1]","[-36.582861364196013, 4.5406999775167822, -44.019985082563366, -7.5284733895056917]"
20171016_013018,9,4.0,16,0,0,56,0,"[1, 1, 0, 1]","[-38.910284073684402, -32.987713322752647, inf, -10.528541113112327]"
20171016_013018,9,8.0,16,0,2,60,0,"[1, 1, 1, 1]","[-27.687514533855037, -37.412596344714395, -39.008088406280649, -6.4739367958452565]"
20171016_013018,8,7.0,16,0,0,64,1,"[1, 1, 1, 1]","[-37.074451996742731, -34.801206521197216, -34.680703970219199, -14.22172735279943]"
20171016_013018,8,9.0,16,0,0,64,0,"[1, 1, 1, 1]","[-45.435203101175176, -28.568104466208233, -42.677389800123706, -18.086122439529397]"
20171016_013018,8,5.0,16,0,0,68,0,"[1, 1, 1, 1]","[-32.047117359534646, -19.485215018420973, -27.523558679767319, -15.034189082983467]"
20171016_013018,8,6.0,16,0,0,76,0,"[1, 1, 1, 1]","[-39.291332018925203, -26.47727524901206, -21.781500985806098, -34.406129352554416]"
20171016_013018,8,7.0,16,0,2,80,1,"[0, 1, 1, 1]","[inf, -29.241596502179078, -38.156902010738627, -21.325169679903066]"
20171016_013018,8,4.0,16,0,2,84,1,"[1, 1, 1, 1]","[-39.061826361767018, -17.392128179296449, -53.522156746387708, -17.426519093029352]"
20171016_013018,8,5.0,16,0,2,92,0,"[1, 1, 1, 1]","[-35.055546600870393, -9.725999032894002, -56.267057641997198, -10.531895899718545]"
20171016_013018,8,7.0,32,0,2,108,1,"[1, 1, 1, 1]","[-24.880028384742282, -21.442525504796834, -45.004423596199402, -8.0326516694467731]"
20171016_013018,8,6.0,32,0,2,140,0,"[1, 1, 1, 1]","[-34.921088666056036, -35.442709206813745, -43.016217939621342, -14.035537560195278]"
20171016_013018,8,6.0,32,0,2,144,0,"[1, 1, 1, 1]","[-29.938768554494999, 17.521272381920916, -46.999355186968145, -10.031855606096615]"
20171016_013018,8,7.0,32,0,2,152,0,"[1, 1, 1, 1]","[-34.328156377236134, 5.5215460859632639, -45.999815766686936, -9.031927633154627]"
20171016_013018,7,5.0,32,0,2,156,0,"[1, 1, 1, 1]","[-39.608750667417588, 3.5189107744969683, -43.123455796841746, -5.3088552599820087]"
20171016_013018,7,6.0,32,0,2,156,0,"[1, 1, 1, 1]","[-37.11326757422755, 14.447687424103623, -37.363592463978065, -12.647471541078136]"
20171016_013018,6,7.0,32,0,0,160,1,"[1, 1, 1, 1]","[-44.47199407804294, 7.451337727801473, -25.004229969332727, -4.4630053932108957]"
20171016_013018,7,6.0,32,0,2,160,1,"[1, 1, 1, 1]","[-22.167209084687052, 10.52858519687679, -40.356965764809416, -12.110792954618468]"
20171016_013018,7,9.0,32,0,2,180,0,"[1, 1, 1, 1]","[-36.878802850718664, -33.673127763995716, -40.419898515525183, 5.1451328538217904]"
20171016_013018,8,7.0,32,0,0,184,0,"[1, 1, 0, 1]","[-27.021117041618865, 10.392594070600754, inf, 2.1115046307843244]"
20171016_013018,8,7.0,32,0,2,196,0,"[1, 1, 1, 1]","[-31.678083284582243, 18.392550390895071, -35.002659150135621, -10.881508269956921]"
20171016_013018,8,9.0,32,0,0,204,1,"[1, 1, 1, 1]","[-33.079603809017335, 0.38228108952520234, -25.999916906253631, -5.8807106177189112]"
20171016_013018,8,5.0,32,0,0,208,0,"[1, 1, 0, 1]","[-33.888900667868121, 5.5323929290787657, inf, -25.624138662143537]"
20171016_013018,9,10.0,32,0,0,216,0,"[1, 1, 1, 1]","[-39.075575709077981, 2.577220592157909, -18.999777718502713, -6.6500992857354575]"
20171016_013018,8,5.0,32,0,0,236,1,"[1, 1, 1, 1]","[-41.073386676767193, 0.57758273755977463, -26.96449031769329, -22.767009137824914]"
20171016_013018,8,6.0,32,0,3,236,0,"[1, 1, 0, 1]","[-24.05263157894737, 22.584263392857142, inf, -34.305451127819545]"
20171016_013018,7,8.0,32,0,0,240,0,"[1, 1, 1, 1]","[-51.298524192041846, 27.764880674388195, -20.682421072295909, -36.997664860825708]"
20171016_013018,7,8.0,32,0,2,240,1,"[1, 1, 1, 1]","[-41.007874635798103, 0.67670928813292386, -50.147019450350427, -16.898338451846605]"
20171016_013018,8,9.0,64,0,0,272,1,"[1, 1, 1, 1]","[-39.910053065173415, 15.600499501597819, -6.9765457797062354, 21.65991380574042]"
20171016_013018,9,8.0,64,0,2,340,0,"[1, 1, 1, 1]","[-30.846306173379872, 33.623495836524917, -38.999867630084324, -6.3934916359862584]"
20171016_013018,8,7.0,64,0,0,352,1,"[1, 1, 1, 1]","[-40.986892881315853, 19.625750418504747, -39.004941753492979, 1.6060937115304341]"
20171016_013018,9,8.0,64,0,2,352,0,"[1, 1, 1, 1]","[-20.051959817740943, 13.825468304511178, -31.001332303018998, -23.140557968504353]"
20171016_013018,8,6.0,64,0,3,372,0,"[1, 1, 1, 1]","[-28.114379954248022, 17.807233202106719, -33.93616002553599, -42.053864978454008]"
20171016_013018,7,6.0,64,0,0,372,1,"[1, 1, 1, 1]","[-42.931652262868752, 7.9907000843635201, -32.882173390284244, -37.000332139844161]"
20171016_013018,9,7.0,64,0,0,372,0,"[1, 1, 1, 1]","[-49.209014789889665, 17.985816574066828, -14.816104546521636, -42.999347888462843]"
20171016_013018,9,3.0,64,0,2,392,0,"[0, 1, 1, 1]","[inf, 14.966347377800407, -35.830957230142559, -25.598778004073321]"
20171016_013018,10,11.0,64,0,2,408,1,"[1, 1, 1, 1]","[-36.076982294072359, 13.806792484603541, -42.942263279445726, -30.173210161662819]"
20171016_013018,10,8.0,64,0,0,444,0,"[1, 1, 1, 1]","[-45.616265557167885, 0.80649502351262337, -16.980506499840438, -8.2798333343368604]"
20171016_013018,10,5.0,64,0,2,448,0,"[0, 1, 1, 1]","[inf, 33.647140248834333, -28.980968693500813, -20.274169759253972]"
20171016_013018,10,10.0,64,0,3,456,0,"[0, 1, 0, 1]","[inf, 41.675214422985668, inf, -20.261578248078195]"
20171016_013018,9,12.0,64,0,3,464,0,"[1, 1, 1, 1]","[-11.004720042480379, 66.768976045784413, -27.739807658268923, -27.995869962829666]"
20171016_013018,9,10.0,64,0,3,464,0,"[1, 1, 1, 1]","[-19.004719986784039, 54.768683772685435, -18.739220730181955, -22.996460009911978]"
20171016_013018,8,13.0,64,0,0,468,0,"[1, 1, 1, 1]","[-26.03656867833719, 31.877686618222999, -25.771150851696319, -26.018874156561132]"
20171016_013018,7,12.0,64,0,0,468,0,"[1, 1, 1, 1]","[-25.004714646047944, 12.728060689281252, -17.739515805850878, -22.015322599655832]"
20171016_013018,6,8.0,64,0,0,468,0,"[1, 1, 1, 1]","[-25.036534200725967, 8.7279454226182054, -24.827935699806723, -17.028284542497524]"
20171016_013018,6,9.0,64,0,2,468,1,"[0, 1, 1, 1]","[inf, 25.579915740260965, -38.809223232370812, -27.009421074944648]"
