id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171016_013708,14,4,2,100,0,8928,0,"[1, 1, 1, 1]","[-1141.8527716186254, -0.79216555801921651, -4.8424242424242427, 98.339393939393929]"
20171016_013708,13,2.0,2,0,2,0,0,"[0, 1, 1, 1]","[inf, 99.279386266918422, -2.6051736881005172, 98.849371766444946]"
20171016_013708,13,4.0,4,0,0,0,0,"[1, 1, 1, 1]","[-1.8930664152404897, 99.206406446922728, -1.5751551572524707, 99.175918642044678]"
20171016_013708,12,3.0,4,0,2,4,1,"[1, 1, 1, 1]","[-1.7376763032806049, 99.352712408114499, -1.9551241281468041, 98.864009702169142]"
20171016_013708,12,4.0,4,0,2,4,0,"[1, 1, 1, 1]","[-1.5817362443287355, 99.563229985003503, -1.8670929630644622, 99.212651106848156]"
20171016_013708,12,10.0,8,0,0,8,0,"[1, 1, 1, 1]","[-1.685850719090173, 99.422513217868612, -1.5073102974602985, 99.24274052036796]"
20171016_013708,12,6.0,8,0,0,16,0,"[1, 1, 1, 1]","[-1.6567664355238052, 99.342423073184406, -1.3609695158366106, 99.30371761787795]"
20171016_013708,11,4.0,8,0,0,20,0,"[1, 1, 1, 1]","[-1.4654839585281696, 99.555394935382509, -1.4325486838845645, 99.1457599474668]"
20171016_013708,10,6.0,8,0,0,20,0,"[1, 1, 1, 1]","[-1.3917103163634414, 99.62861426043014, -1.3170281331885345, 99.171526326482379]"
20171016_013708,10,7.0,8,0,2,20,1,"[1, 1, 1, 1]","[-1.2226138972867093, 99.77504236627658, -1.8640848740087665, 98.968462391342712]"
20171016_013708,11,5.0,8,0,2,24,0,"[1, 1, 1, 1]","[-1.4774668792891466, 99.772336264380584, -1.6891393282450831, 99.526109174791316]"
20171016_013708,11,8.0,16,0,2,36,0,"[1, 1, 1, 1]","[-1.2078294144586255, 99.623858510150768, -1.4134565142631952, 99.356629355566369]"
20171016_013708,10,5.0,16,0,2,52,1,"[1, 1, 1, 1]","[-1.376878077409065, 99.697447330589455, -1.5085120066394455, 99.219562639536107]"
20171016_013708,10,6.0,16,0,0,52,0,"[1, 1, 1, 1]","[-1.301241412341261, 99.691155256225684, -1.2925818331986907, 99.326964127448193]"
20171016_013708,9,9.0,16,0,2,56,0,"[1, 1, 1, 1]","[-1.1678337323450387, 99.831024363454361, -1.29395488554114, 99.331115682031225]"
20171016_013708,9,9.0,16,0,0,56,0,"[1, 1, 1, 1]","[-1.3608215807833175, 99.617373284380349, -1.1493279527737412, 99.251086827734966]"
20171016_013708,9,3.0,16,0,2,64,0,"[1, 1, 1, 1]","[-1.1623906087453841, 99.757303653483021, -1.3591967538838516, 99.149293240051861]"
20171016_013708,10,4.0,16,0,2,68,0,"[0, 1, 1, 1]","[inf, 99.618449915451421, -1.3794826755469354, 99.10429451875163]"
20171016_013708,10,9.0,16,0,2,80,0,"[1, 1, 1, 1]","[-1.1559483245246818, 99.617827371338066, -1.2276393807760795, 99.250376869593111]"
20171016_013708,9,9.0,16,0,0,84,0,"[1, 1, 1, 1]","[-1.421401888803818, -1.1368235008934771, -1.0877932956968102, 99.243848637587007]"
20171016_013708,9,6.0,16,0,2,84,1,"[0, 1, 1, 1]","[inf, -0.88114782324615426, -1.5444396445975568, 98.985193376655772]"
20171016_013708,9,9.0,16,0,2,92,0,"[1, 1, 1, 1]","[-1.385547880927434, -0.73872881136844237, -1.6411031224512331, 99.423113646559315]"
20171016_013708,9,5.0,32,0,0,108,0,"[1, 1, 1, 1]","[-1.1968643070344638, -1.1215141159542394, -1.15352948333058, 99.435336205561455]"
20171016_013708,9,10.0,32,0,2,140,0,"[1, 1, 1, 1]","[-1.0181357780241704, -1.0886485601808293, -1.2279811440049615, 99.332129948772817]"
20171016_013708,9,7.0,32,0,0,144,0,"[1, 1, 0, 1]","[-1.1555979388264683, 99.543582303019576, inf, 99.549385294243223]"
20171016_013708,9,11.0,32,0,0,152,1,"[1, 1, 1, 1]","[-1.4445681363306946, 99.473902825245418, -1.2341445807078393, 99.323320211266619]"
20171016_013708,9,4.0,32,0,2,168,1,"[1, 1, 1, 1]","[-1.2830860501763972, 99.763378501019659, -1.5239949180175907, 99.107228056687006]"
20171016_013708,9,5.0,32,0,0,172,0,"[1, 1, 1, 1]","[-1.209133215422963, 99.836669007962527, -1.116566407012979, 99.309463875165534]"
20171016_013708,9,5.0,32,0,0,176,0,"[1, 1, 0, 1]","[-1.1546788980864089, 99.763955830294009, inf, -1.0378691528151336]"
20171016_013708,9,5.0,32,0,0,184,0,"[1, 1, 0, 1]","[-1.2280568958380531, 99.617612871383443, inf, -1.1108635940344809]"
20171016_013708,9,10.0,32,0,0,188,0,"[1, 1, 1, 1]","[-1.0154663021471371, 99.903387323835474, -1.014632514663413, -0.96413394946557762]"
20171016_013708,8,7.0,32,0,0,196,0,"[1, 1, 1, 1]","[-1.1643033967777283, 99.757069470724602, -1.0853090377825576, -0.95321466255427945]"
20171016_013708,8,8.0,32,0,2,196,1,"[1, 1, 1, 1]","[-1.0244289635910637, 100.04323882716841, -1.536689336614004, 99.028876389004125]"
20171016_013708,8,5.0,32,0,2,200,0,"[1, 1, 1, 1]","[-1.1682117958002305, 99.976723341704769, -1.280085448071234, 99.493905193469075]"
20171016_013708,9,8.0,32,0,2,208,0,"[1, 1, 1, 1]","[-1.0177343207262726, 99.971293968364989, -1.3716586090487914, 99.359159061945206]"
20171016_013708,9,6.0,32,0,0,228,0,"[1, 1, 1, 1]","[-1.16825447718454, 99.544275955295277, -1.1609710579289942, 99.498364021529625]"
20171016_013708,9,5.0,32,0,2,232,0,"[0, 1, 1, 1]","[inf, 99.464757270168846, -1.1605644616994533, 98.955588734295574]"
20171016_013708,9,9.0,32,0,0,240,0,"[1, 1, 1, 1]","[-1.0938370971957538, 99.61114396954062, -0.94153438191822825, 99.318006246274948]"
20171016_013708,8,11.0,32,0,3,244,0,"[1, 1, 1, 1]","[-0.87488786414060038, 100.03807998891216, -0.87479527835178417, -1.0385472789109551]"
