id,empty_cells_count,neighbour_difference_heuristic,highest_tile,highest_tile_in_corner_heuristic,best_move,score,amount_of_combineable_tiles,move_possible_array,heuristic_array
20171016_015224,14,2.0,4,100,2,3992,0,"[0, 1, 1, 1]","[inf, 100.09695062404725, 96.097560975609753, 99.097560975609753]"
20171016_015224,13,3.0,4,100,2,0,0,"[0, 1, 1, 1]","[inf, 100.04481367578937, 98.056532425789371, 99.588201928530907]"
20171016_015224,12,3.0,4,0,0,0,0,"[1, 1, 1, 1]","[-3.0149010304692712, 100.09713544369485, 98.146554229372072, 99.683416116835943]"
20171016_015224,12,4.0,4,0,2,0,0,"[1, 1, 1, 1]","[-2.1593252108716028, 99.99964854732896, -2.5889165733269333, 99.572595454164485]"
20171016_015224,12,8.0,8,0,2,4,0,"[1, 1, 1, 1]","[-1.6668865653370069, 100.18803484622737, -1.804783192690727, 99.695257459919162]"
20171016_015224,11,6.0,8,0,0,12,0,"[1, 1, 1, 1]","[-2.0181845008597561, 100.09051571659487, -1.7086177363734791, 99.792686313973036]"
20171016_015224,11,4.0,8,0,0,12,0,"[1, 1, 1, 1]","[-1.9547928997040085, 100.0907990269391, -1.8609205720918436, 99.569219389750373]"
20171016_015224,10,3.0,8,0,2,16,0,"[0, 1, 1, 1]","[inf, 100.28573300569363, -2.0349311379549126, 99.133492344387179]"
20171016_015224,11,5.0,8,0,0,16,0,"[1, 1, 1, 1]","[-3.6836659275683665, 100.19489098300073, -1.8551367331855138, 99.155580192165559]"
20171016_015224,12,6.0,16,0,0,28,0,"[1, 1, 1, 1]","[-1.7099842478706744, 100.24229498998649, -1.7076980981278662, 99.292778183068549]"
20171016_015224,11,8.0,16,0,0,52,0,"[1, 1, 1, 1]","[-1.8291348858791798, 100.24224964473188, -1.804021925118181, 99.086859429830923]"
20171016_015224,10,2.0,16,0,2,52,0,"[1, 1, 1, 1]","[-1.7492960836654843, 100.38859238444802, -1.7740885654733607, 99.066076717738682]"
20171016_015224,11,9.0,16,0,2,52,0,"[1, 1, 1, 1]","[-1.7191339121663003, 100.28662448886767, -1.7472349317289333, 99.227654285405492]"
20171016_015224,10,7.0,16,0,0,60,0,"[1, 1, 1, 1]","[-1.7310090313504845, 100.28514879140029, -1.6584960169443128, 99.320669200850162]"
20171016_015224,9,8.0,16,0,3,60,0,"[1, 1, 1, 1]","[-1.8077991280906549, 100.13888411976397, -1.6097503699544853, -1.8225076215583196]"
20171016_015224,8,7.0,16,0,0,60,0,"[1, 1, 1, 1]","[-2.012664516589985, 100.34044154665949, -1.6903824500129325, -1.9023481916813854]"
20171016_015224,9,4.0,16,0,2,60,1,"[1, 1, 1, 1]","[-1.8062500750480652, 100.4325408935677, -1.9139280875823881, 98.973554013249]"
20171016_015224,10,8.0,16,0,2,72,0,"[1, 1, 1, 1]","[-1.8253935451243211, 100.37884748814011, -2.3781540715714136, 99.447127313720259]"
20171016_015224,10,7.0,32,0,0,92,1,"[1, 1, 1, 1]","[-1.7583819473560764, 100.17904159245967, -1.5609720235922351, 99.729675230440549]"
20171016_015224,10,7.0,32,0,2,124,1,"[1, 1, 1, 1]","[-1.6179790304070241, 100.38242783345775, -1.8481765813546669, 99.62726882750782]"
